Job Title,Company,Salary,Job Type,Location,Job Description,Posted Date,Today Date,Listing Date
"Senior Business Analyst (Avaloq)
",PENTAFIN PTE. LTD.,"$11,000 - $12,500 a month "," Permanent, Full-time",Singapore,"About Pentafin
Pentafin exists to making banking transformation a pleasant experience. We are committed to provide our clients with the best people and technology to achieve success in their banking transformations journeys.
About the role
We are looking for a Senior Business Analyst to be the business gatekeeper for our client’s Avaloq platform, whereby you will drive the evolution of the Avaloq platform to meet the ongoing needs of the business.

The successful candidate can look forward to a market-leading compensation and benefits package. But most importantly, you will be part of an ace team of highly experienced professionals who consider transparency, honesty, humility and collaboration as sacred pillars to do good work for our clients.
Responsibilities
Formulate and get approved the annual business change strategy of the Avaloq platform
Create and get approved detailed business requirements documents for approved change requests, and co-design ideal solutions for said business requirements with the Bank’s IT teams
Provide governance and testing support to ensure the quality and timeliness of all deliveries
Conduct training of the Avaloq platform to new and existing end users
Be the champion within the Bank to increase the adoption and stickiness of the Avaloq platform
Location & commitments
Singapore-based role (office in Raffles Place), with ad-hoc regional business travel to Bank HQ when needed
Office hours, but with ad-hoc weekend work to support the promotion of deliveries to Production
Candidate Requirements
Degree in Software Engineering / Banking & Finance / Economics
Expert in Avaloq platform functionalities, with at least 5 years of demonstrable similar experience from current or previous roles
Exceptional problem-solving skills along with strong analytical and conceptual abilities
Organised and takes an autonomous approach towards work
Good interpersonal and communication skills with strong influencing skills
Good command of both written and spoken English
For enquiries and applications
Please send your enquiries and applications via email to hr@pentafin.c o. We aim to fill this role urgently, so please be prepared to be available at short notice to accommodate a time-sensitive selection process.",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Data Analyst
",SALT TALENT SEARCH PTE. LTD.,"$5,000 - $5,700 a month "," Full-time, Contract",Singapore,"Salt is looking for a Data Analyst to join the leading client in a 12months contract role.

You will be working on various Geo related problems and provide critical insights to guide the products to success. This requires working closely with various teams within client's(Product, Data, Engineering, Operations, etc.) to understand the data requirements, identify and track key metrics, and provide data-driven insights that are tailored and relevant to evolving needs. Our client is looking for an innovative soul to help take the analytics in the their Geo team to the next level!




The Day-to-Day Activities
1. Generate data-driven hypotheses to solve key Product/Business problems
2. Use data to identify trends, spot anomalies and deepdive into their root causes
3. Partner closely with the broader product and engineering team to design and analyze experiments that drive key product decisions, deepdive into existing data to recommend new product ideas to solve for the most impactful customer problems
4. Provide catered analysis for specific products and operations, define critical business metrics and track them rigorously, and provide regular recommendations to achieve continuous improvements



Essential Experience / Criteria:
1. 1-2 year of experience in data analytics related roles analyzing large data sets and informing company strategy (map-making, ride-hiding, or delivery related industry experience is a plus)
2. Strong SQL skills and experience in scripting languages such as Python or R
3. Strong data visualization skills. Experience in creating dashboard reporting in Tableau, PowerBI or a similar visualization tool
4. Problem solver: ability to evaluate and design creative solutions for various tasks in a timely manner

If interested, please apply or share your updated CV at spanda@welovesalt.com
(CEI No: R1654663 / EA No: 07C3147)",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Business Analyst/QA – Cash Management (Payments)
",Crédit Agricole CIB,,,Singapore,"Description du poste
Main responsibilities

Executing Business Analysis & software testing best practices and Engagement of Stakeholders across Front-to-Back functions.
Responsible for all analysis of functional requirements arising from the requirements of business stakeholders, business users and technology.
Multi-tasking: Work in Agile – Scrum environment as a BA & QA. Should be able to refine/groom future stories & perform BA tests within the sprint time-box.
Managing the requirements and provide design options for the solutions available and guide the team.
Evaluation of alternative IT solutions and provide appropriate recommendations.
Provide Payments domain expertise to help define a viable business solution, working with the key business sponsors.
Ensuring that the services delivered conforms with, and contributes to the development of the business strategy.
Assess the impacts on the project plans resulting from change requests, adhoc projects, or technology issues.
Coordinating with various users groups and interface teams and getting them on board as interface services for various financial services.
Managing stakeholders, risks, issues, quality, and project controls.
Work closely with the technical implementation team in bridging the gap from translating functional to technical details
Involve in QA activities when needed.
Provide functional Guidance to the Team, working closely with developers/Tech Leads for assisting in resolution of queries
Professional Skills and Qualifications

The position requires a minimum of 4 years of relevant business analyst experience with banking IT systems (Payment systems and Core Banking applications)

Key Functional Skills

Experience of working on Instant Payment-Europe region or any similar Real time payment processing system or Payment Engine. – Must Have
End-to-End payments system knowledge with detailed insights on payment file format ISO20022 (SEPA) and SWIFT. Experience with payments field/value mapping and validations. – Must Have
Hands on experience on payment systems and exposure to Payments Hub, Clearing and Settlement, Automated clearing house programs and channels. – Must Have
Extensive knowledge on payment life-cycle (Client <> Clearing) for High Value, Mass & Bulk payments and Instant Payments. Also, experience on handling R-Msgs. – Must Have
Proficient in User Acceptance Testing (UAT), Functional & System Integration testing of banking and financial applications. – Must have
Break SFD & EPIC into developable stories for developers by creating linkage & traceability of requirements. – Must have
Should have high experience in creating Cucumber test cases (gherkin) & working with developers in Behavior Driven Development (BDD). – Good to have
Functional automation of Test cases using SOAP UI / Selenium and other automation tools – good to have

Critères de candidature
Niveau d'étude minimum
Bac + 3 / L3
Formation / Spécialisation
Degree and above in relevant discipline
Niveau d'expérience minimum
3 - 5 ans
Entreprise Crédit Agricole CIB
A propos de Crédit Agricole Corporate and Investment Bank (Crédit Agricole CIB) Crédit Agricole CIB est la banque de financement et d'investissement du groupe Crédit Agricole, 10ème groupe bancaire mondial en taille de bilan 2021 (The Banker, juillet 2022). Près de 8600 collaborateurs répartis dans plus de 30 implantations en Europe, Amériques, Asie-Pacifique, Moyen-Orient et Afrique du Nord, accompagnent les clients de la Banque dans la couverture de leurs besoins financiers à travers le monde. Crédit Agricole CIB propose à ses clients grandes entreprises et institutionnels une gamme de produits et services dans les métiers de la banque de marchés, de la banque d'investissement, des financements structurés, de la banque commerciale et du commerce international. Pionnier dans le domaine de la finance Climat, la Banque occupe aujourd'hui une position de leader sur ce segment avec une offre complète pour l'ensemble de ses clients. La majorité des postes est éligible au télétravail dans les conditions prévues par notre accord reposant sur le double volontariat (collaborateur & manager) et après une période d'intégration réussie. Crédit Agricole CIB s'engage en faveur de l'insertion des personnes en situation de handicap, ainsi ce poste est ouvert à toutes et à tous. Pour plus d'information : www.ca-cib.fr Twitter: https://twitter.com/ca_cib LinkedIn: https://www.linkedin.com/company/credit-agricole-cib/",PostedJust posted,2024-03-21,2024-03-21 00:00:00
System Analyst,PERSOLKELLY,"Up to $10,500 a month ", Temporary,Central Singapore,"The System Analyst - Market Data will be responsible for analyzing and interpreting market data to provide insights and recommendations for business decisions. This role will involve working closely with stakeholders to understand their data needs and develop solutions to improve data accuracy and efficiency. The ideal candidate will have a strong background in data analysis, market research, and experience with data visualization tools.
Duration: 12 months contract
Working hours: Monday – Friday (8.30AM to 6.00PM / 9.00AM to 6.30PM)
Working locations: Central.
Salary up to $10500
Responsibilities:

Own functional Market Data requirements & analysis for Market Risk (VaR, ES) projects and risk regulatory initiatives
Plan & collaborate across different application/infra teams to manage functional dependencies of the solution
Collaborate with business stakeholders Market Risk Business, technology team to help finalise requirements and deliver solution.
Assist with completion of System Integration Testing (SIT), User Acceptance Testing (UAT), application performance testing.
Escalate issues that impacts project schedule on timely basis and propose workarounds/resolutions

Requirement:
Strong experience in Market data, Market Risk
Manage end to end functional knowledge and business analysis skills on all key market data modules like Data Sourcing from various market data vendors, Backfilling, Calibration & Historical Scenarios.
With direct experiences in Historical Market Data Domain to cater to Market Risk requirements for data sourcing from various market data vendors backfilling, calibration, proxy & historical scenarios generation for VaR & ES.
More than 10 years (for L4) track record in analysing requirements and tracking delivery of global/regional IT capabilities for a bank or multi-national/regional company
Good to have some scripting/coding capabilities in either one or more of the following skills: Windows batch/Unix shell scripting, java script, SQL, PL-SQL, vendor proprietary language etc.

PERSOLKELLY Singapore Pte Ltd • RCB No. 200007268E • EA License No. 01C4394
R1989324 (Tandon Kopal)",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Project Manager/Business Analyst, Fiscal Transparency
",ANTAES ASIA PTE. LTD.,"$10,000 - $13,000 a month ", Permanent,Singapore,"Job Description:
Contribute to IT projects in the banking industry for Antaes clients
Facilitate committees and work closely with the project team to deliver the project deliverables, prioritization, estimations and planning
Creates partnership with product owners, stakeholders and transversal teams (security, solution architects, compliance…)
Ensure the team’s adherence to delivery schedule and estimates
Ensure coherent of the tasks and commitment based on release and functionality of overall product
Contributes & ensures compliance to project governance, Secure SDLC frameworks
Assures transparency of the work that is being done and its progress
Provide regular update and reporting to his/her Division Managers (Domain Heads if required)
Understand the impediments/blockers faced by the team and help the team to remove as much as possible
Manage the release planning and management of the deliveries and update necessary tools required
Able to multi-task and work on multiple projects if required
Experience in handling any of the Regulatory topics which is IRS871m, SRD2, AEOI/CRS, FATCA or Tax Statement.
Gather the requirements from the Product Owner and end users
Writes GFS (or user stories) and confirm the understanding with the developers.
Perform system analysis with the BA of other applications squads/teams when involved in multi-systems features and interfaces.
Work with developers on system development and unit testing.
Work with the testing team to conduct SIT to ensure quality of delivery.
Support UAT (reproduce issues, monitoring, fixing with the team).
Contribute to the promotion of Antaes services on top of assistance provided to clients
Job Requirements:
Bachelor’s Degree or equivalent experience required.
Experience in working with large distributed IT teams
At least 10 years of experience in the banking IT field ( private banking ) as a Project Manager
Knowledge of Regulatory AND Tax matters with proven experience
Knowledge of Transactions (Corporate Actions and Securities in particular) and securities transactions
Knowledge on Standard Core Banking systems (ie Olympic, Corporate Actions Systems)
Knowledge on Front Office applications (ie AAA ordering Tools, Client Management Tools)
Excellent communication skills , able to spearhead Steering Committees and engage with end users and stakeholders at various levels
Excellent written and oral communication skills
IT experience: general knowledge (SQL, PL/SQL, Scripting, Java, 3-tier Architecture, IT Architecture principles, IT security concepts)
Organization and management of tests (SIT / Non-regression, UAT)
Methodology (Agile, CMMI, PMI, Prince 2)
JIRA, Confluence, Release Management Tools, Skype, Microsoft Teams, Clarity
Exposure to applications revolving around : AAA, Olympic, Client Management Systems, Datawarehouse, Batch processing of reports",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Regional Financial Planning & Analysis (FP&A) Analyst
",Louis Dreyfus Company,,Permanent,Singapore•Hybrid work,"Company Description

Louis Dreyfus Company is a leading merchant and processor of agricultural goods. Our activities span the entire value chain from farm to fork, across a broad range of business lines, we leverage our global reach and extensive asset network to serve our customers and consumers around the world. Structured as a matrix organization of six geographical regions and ten platforms, Louis Dreyfus Company is active in over 100 countries and employs approximately 17,000 people globally.

Job Description

LDC in South & Southeast Asia (SSEA)
LDC first established a presence in Asia more than 100 years ago with an office opening in Melbourne, Australia in 1913, trading grains to the international market. Our regional headquarters opened in Singapore in 1993, which now serves as the hub for our origination and merchandizing activities in the South & Southeast Asia Region, which spans across 7 platforms - Grains & Oilseeds, Rice, Freight, Global Markets, Coffee, Cotton, and Sugar across 7 countries of Singapore, Australia, India, Indonesia, Vietnam, Pakistan, and Malaysia.
As a Regional FP&A Analyst, your primary responsibility will be to support the SSEA Regional FP&A team in Regional Planning (Budgeting and Forecasting), and Management Reporting and analysis activity across SSEA. You will play a key role in annual Budgeting (BUD) and monthly Landing processes with responsibility for Singapore and Malaysia OPEX budgets. You will also assist the Regional FP&A Manager in the BUD process across the Region with country Finance and HR teams. You will also have the responsibility in the production of the monthly management reporting.

Main Responsibilities:
Support Regional FP&A team in co-ordination of Monthly Management Reporting for SSEA Region including production and analysis of cost presentation.
Production and Co-ordination of Regional Finance and RRM presentations.
Analyze numbers to ensure accuracy and quality of numbers.
Support the Budgeting process for Singapore and Malaysia including co-ordination for Singapore/Regional Support Functions
Support and assist in BUD Presentations and Ad-hoc BUD Analysis
Support Regional FP&A team for Ad-Hoc tasks and Profitability Analysis as required by Regional Management/Global Finance
Experience:
1-3 years’ experience in Business Analysis/Product Control/Audit
Working knowledge of Financial/Commodity Markets is preferred
Understanding of Accounting principles is required
Other skills (Computer Skills, etc):
Strong analytical skills and good attention to detail.
Ability to handle multiple responsibilities and to prioritize.
Ability to work independently in a high-pressure atmosphere.
Highly proficient with Microsoft Excel.
Languages:
English (Fluent)
Academics:
Degree in Business/ Accounting / Economics / Commerce or related field

Additional Information

Additional Information for the job
Diversity & Inclusion

LDC is driven by a set of shared values and high ethical standards, with diversity and inclusion being part of our DNA. LDC is an equal opportunity employer committed to providing a working environment that embraces and values diversity, equity and inclusion.

LDC encourages diversity, supports local communities and environmental initiatives. We encourage people of all backgrounds to apply.
Sustainability

Sustainable value is at the heart of our purpose as a company.

We are passionate about creating fair and sustainable value, both for our business and for other value chain stakeholders: our people, our business partners, the communities we touch and the environment around us
What We Offer
We provide a dynamic and stimulating international environment, which will stretch and develop your abilities and channel your skills and expertise with outstanding career development opportunities in one of the largest and most solid private companies in the world.
We offer
A workplace culture that embraces diversity and inclusivity
Regular events that foster team engagement
Access to Training and Development
Hybrid work arrangement offered (availability varies by role).
Comprehensive insurance coverage and flexible benefits",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Senior Business Analyst / Project Manager
",Crédit Agricole CIB,,"Permanent, Contract",Singapore,"Job description
Business type
Types of Jobs - IT, Digital et Data
Job title
Senior Business Analyst / Project Manager
Contract type
Permanent Contract
Job summary
Position

CSI department is responsible for development and maintenance of Compliance, Referentials, Counterparty/Credit Risks and Finance applications used by worldwide users, composed of the following divisions :
Compliance IT handles Business Compliance & Financial Security application portfolio, based on internal and regulatory models
Referentials IT covers Know Your Customer processes & Counterparty referential management
Credit Risk IT covers Front office Applications, Credit Decision Processing tool, Global Authorization Repository system and Default History Data Base
Counterparty Risk IT handles applications responsible for risk data collection, risk
calculation and monitoring for CACIB worldwide
Finance IT is responsible for applications handling financial accounting and liqauidity and yied financial risks for CACIB worldwide.

CSI applications are in-house developments.

Main responsibilities

As a Delivery Project Manager you will :

Liaise with IT business lines contacts for clarification and understanding of requirements.
Analyze functional impacts considering technical constraints with technical lead and business analyst contributions
Prepare and present functional aspects of changes/evolutions to developers
Provide detailed cost and planning estimations
Manage the resources “workload capacity” and communicate to Client Project Manager
Handle relationships related to the delivery between the project and other GIT teams
Coordinate delivery during all the project phases and resolves conflicts
Maintain project detailed schedules ( in respect of budget scope, time and quality)
Provide timely reporting of issue(s) that impact project progress
Follow-up delivery progress
Assesse activities and deliverables and report the result of this assessments through the KPIs
Identifie risk and define risks/ mitigations plans with the Client Project Manager
Organize and lead operational committees

As a senior Business Analyst you will :

Liaise with IT business lines contacts for clarification and understanding of requirements.
Analyze functional impacts considering technical constraints with technical lead and business analyst contributions
Prepare and present functional aspects of changes/evolutions to developers

Responsible for the functional testing of development

Develop tests strategy in coordination with Technical leads / Business Analysts

Involved in support of application for functional incident

3rd level support work on request escalated from level 2
Reproduce, make first analysis and investigate verifying codification and data
Analyze and/or solve functional problems in coordination with developers

Supplementary Information
Qualifications and Profile

This position requires a minimum of 8 years as a Delivery Project Manager with at least 2 years into a CIB organization.

General
Advanced Experience in Project Delivery lifecycle methodologies
Proficient in Waterfall and Agile methodologies
Experienced in team distributed context
Excellent stakeholder management skills
Excellent communication skills
Pro active and result oriented
Strong sense of confidentiality & Sense of commitment

Technical
Any Project Management certification
Microsoft Project (advanced level)
Microsoft Excel (advanced level)
Kanbans, Burndown charts (advanced level)
Software Factory & DevOps principles Knowledge
MS TFS and Altassian JIRA or equivalents

Functional
Risk and Finance domain knowledge (strong asset)
Corporate Investment Banking Environment (must have)
Strong technical skills in Data Mining

Education & Work Experience:

§ Intermediate or Senior Level (8-12 years exp)
§ Master or Bachelor’s degree in relevant specialities
Position location
Geographical area
Asia, Singapore
City
Singapour
Candidate criteria
Minimal education level
Bachelor Degree / BSc Degree or equivalent
Academic qualification / Speciality
Degree and above in relevant discipline
Level of minimal experience
6-10 years",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Business Analyst
",TECHNOPALS CONSULTANTS PTE. LTD.,"$6,000 - $9,000 a month ", Contract,Singapore,"Skills:
At least 4-6 years of strong Business Analysis or relevant experience
Business transformation & management skills/experience is a must
Change management experience is strongly preferred.
Strong communication skills and ability to tailor complex content to stakeholder audiences.
Proven experience in the coordination of multiple dependencies and stakeholders in complex, large-scale deployment environments",PostedJust posted,2024-03-21,2024-03-21 00:00:00
Business Analyst ,SYNAPXE PTE. LTD.,"$4,800 - $6,400 a month "," Permanent, Full-time",Singapore,"This role will be expected to drive and manage the Business Requirements and Functional Solution aspects of developing an enterprise solution for the new Vanguard Enterprise system to support HR, Finance and Procurement services in Vanguard Nursing Home.

You will also help to advise the organisation on the key ICT trends and best practices locally and internationally to meet the vertical business domain’s objectives. Assess applicability for adoption, manage user requirements, and provide IT solutions to bridge business needs.
Involvement in Business Analysis Planning and Monitoring
Analysis of stakeholders’ needs, scope the problem and develop business case to address the problem
Assess current state, analyse stated requirements of stakeholders and accurately defines business need within specified scope
Uncovering and capturing requirements as stories into a master story list
Build narratives and acceptance criteria for the highest priority stories in upcoming iterations/sprints
Validate the acceptance tests
Progressively sign off completed stories with users
Provide continual feedback to the development team

Requirements / Qualifications:
Graduate Degree in any discipline
Experience in Agile will be an advantage
Consulting or Business Analysis experience
Strong analytical, conceptualisation and problem solving skills
Ability to take a broad, strategic perspective as well as drill deep to understand business needs and challenges
Results and customer oriented
Team player with strong organization and people handling skills
Excellent communication skills, both oral and written, with ability to pitch ideas and influence stakeholders",PostedJust posted,2024-03-21,2024-03-21 00:00:00
"Business System Analyst (Manufacturing MNC)
",RECRUITPEDIA PTE. LTD.,"$3,500 - $4,200 a month "," Permanent, Full-time",Singapore,"Our client is a global manufacturer. Due to business needs, they are now recruiting a Business Process Analyst to be part of their Business Improvement team for ongoing transformation projects. They are located in the North Area - easily accessible.
Responsibility of Business Process Analyst:
Evaluates business systems and workflows, conducting a thorough process analysis of current and future Finance & Manufacturing systems/processes.
Mapping existing processes and suggesting new/improved processes, aligning with the department’s strategic directives and operational guidelines.
Collaborates with various departmental business process owners to assess current systems and processes, identifying areas for automation and integration to enhance overall operational efficiency and reduce costs.
Collects and documents requirements, encompassing business processes and needs, and translates them into detailed functional specifications.
Provides support for ad-hoc projects and initiatives as required.
Requirements:
Diploma in any discipline
Min 3 years of system improvement process experience
Proficiency in Microsoft Office
Experience in manufacturing industry is a bonus

We regret that only shortlisted candidate will be notified.
Email Address: jobs@recruitpedia.sg
Recruitpedia Pte. Ltd.
EA License No. 19C9682
EA Reg. No. R2198636 (Oh Puey Xin)",PostedJust posted,2024-03-21,2024-03-21 00:00:00
