job title,description,company,salary range,url
Data Science Intern,ResponsibilitiesReview and test Holmusk specific libraries for working with real world mental health dataEnhance the documentation surrounding the librariesSuggest improvements and contribute to the development of new functionsWhat we are looking forWillingness to learnFamiliarity with R or PythonGood written and spoken communication skillsGood attention to detailsGood to haveExperience with writing technical documentationFamiliarity with SQLWhat's in it for youYou will be working on our flagship product and learn about the complexities of working with real world dataYour work will directly impact user experience on the NeuroBlu platformYou will work alongside experienced Data Scientists and will have the chance to learn new skills and expand your understanding of the role in HolmuskYou will work cross functionally with engineering and product teams and have the opportunity to sharpen your technical and business acumenAt Holmusk we take pride in our diverse workforce and inclusive culture. We believe it takes all kinds of people to build the best products and bring real change to the healthcare space.,Holmusk (KKT Technology Pte Ltd),"$1,500 monthly",https://www.internsg.com/job/holmusk-kkt-technology-pte-ltd-data-science-intern/?f_p=107&f_i&filter_s
IT Support Engineer,"This position provides the desktop support for the first contact point for customers, you will be responsible to provide prompt assistance to customers, addressing a range of IT topics and issues. Besides, you will ensure that software, licenses and operations comply with standards.Perform End User Support – Client ManagementPerform troubleshooting for client platform related problems.Respond promptly to incident, investigate & provide temporary &/or permanent resolution of incidents escalated. Provide timely status updates to relevant parties.Perform service request related to client platforms.Monitor the agreed service level, document & maintain the configuration of the systems; provide regular reporting to relevant parties.Involve in client platform implementation/upgrade project.Perform follow-up with vendor on replacement of hardware.Perform asset management & update asset records.Perform user account management (eg. Create password, reset & delete)Perform local server administration to facilitate software distribution & patch management service.Manage client platform implementation / upgrade project.Ensure deliverables meet service level requirement. Propose and implement action plan when required.Established facility management standards/best practices to ensure operation consistency across project / facility management teams.Submit progress reports.Qualifications:Candidate with minimum Higher Nitec, Diploma Certification in Computer/Electronic Engineering or equivalent disciplinePreferably with 1 or more years related experience in Technology Administration. Some network knowledge will be an advantage.Computer literacy in MS OfficeProficiency in Technology will be added advantageIndependent, resourceful, result-oriented individuals with a ""can-do"" attitude",NCS Group,"$1,900 - 2,400 monthly",https://www.internsg.com/job/ncs-group-it-support-engineer/?f_p=107&f_i&filter_s
Security Analyst Intern,"SOC Intern Security Analyst InternResponsibilities:We’re currently seeking a motivated Level 1 SOC Analyst Intern to be part of our high-powered Cyber Security Operations Center team.Active and vigilant monitoring of Univers’s infrastructure to identify security incidents.Triage and investigation of security alerts, offering insights into security risk management.Collection of necessary data and context, initiating Level 2 escalations when required.Direct response to security incidents, honing your problem-solving skills.Overseeing the health of our security sensors and SIEM infrastructure.Monitor advanced security tools and technologies.Production and delivery of both scheduled and ad-hoc reports.Collaborative work with our Level 2 & CERT teams for continuous operational enhancements.Requirements/ Qualifications & Experience:A foundational understanding of cybersecurity concepts (attacks and threats).The ability to apply theoretical knowledge to practical scenarios.Strong written and oral communication skills.Problem-solving, critical thinking, and innovative skills.Flexibility for on-call responsibilities in urgent situations.An enthusiasm for learning about Operational Technology (AIoT, IIoT), Edge, and Cloud technologies.Desired, but not essential:Familiarity with malware analysis methods and investigation tools.Experience with a scripting language.Knowledge in network and WinOS.Possession of professional Cyber/IT certificates.",Univers,"$2,300 monthly",https://www.internsg.com/job/univers-security-analyst-intern-3/?f_p=107&f_i&filter_s
AI / Ml Research Intern,"Our team is made up of people from diverse backgrounds and experiences, united by a common goal of connecting people in a meaningful way. We value innovation, creativity, and teamwork, and we are committed to creating a work environment that fosters growth and development. Download and try our app at our website: https://youapp.aiJob DescriptionAs an AI/ML research intern, you will be part of our team focused on exploring and implementing the latest AI technologies and machine learning techniques. Your primary responsibility will be to conduct research, identify cutting-edge technologies, and provide recommendations on how YouApp can leverage them effectively. Additionally, you will contribute to writing papers and documentation outlining the use of these technologies in the context of YouApp.ResponsibilitiesConduct research on AI and machine learning technologies relevant to YouApp's objectives.Identify areas where AI can be applied to enhance YouApp's features and functionality.Write papers and documentation on recommendations for the application of AI/ML technologies in YouAppStay up-to-date with the latest advancements of AI/ML and make recommendations for how YouApp can continue to innovate in this areaAny other miscellaneous tasks.RequirementsCurrently pursuing a degree in Computer Science, Data Science, or a related fieldStrong interest in artificial intelligence, machine learning, and related fieldsFamiliarity with programming languages such as Python or JavaExcellent research and analytical skillsStrong communication skillsPrevious experience in AI/ML research or related fields is a plus",YouApp Pte Ltd,"$800 - 1,500 monthly",https://www.internsg.com/job/youapp-pte-ltd-ai-ml-research-intern-3/?f_p=107&f_i&filter_s
IT Intern,"We are seeking a talented and motivated IT intern to join our team as an AI Research and Development Intern. As an intern, you will primarily focus on researching and coding artificial intelligence (AI) solutions. This is an excellent opportunity to gain hands-on experience in the field of AI while working alongside a team of experienced professionals.Responsibilities:Conduct research on various AI technologies, algorithms, and methodologiesCollaborate with the team to understand project requirements and goalsDevelop and implement AI models, algorithms, and solutionsCollect, clean, and analyse data for AI training and validation purposesTest and evaluate AI models for performance and accuracyAssist in documenting and reporting research findings and project progressStay updated with the latest advancements and trends in AI technologyRequirements:Currently pursuing a degree in Computer Science, Information Technology, or a related fieldStrong interest and passion for artificial intelligence and machine learningProficiency in programming languages such as javascript, javaFamiliarity with data analysis and data visualisation toolsExcellent problem-solving and analytical skillsStrong communication and teamwork abilitiesAbility to work independently and take initiative",YouApp Pte Ltd,"$800 - 1,500 monthly",https://www.internsg.com/job/youapp-pte-ltd-it-intern-4/?f_p=107&f_i&filter_s
AI Intern,"Our team is made up of people from diverse backgrounds and experiences, united by a common goal of connecting people in a meaningful way. We value innovation, creativity, and teamwork, and we are committed to creating a work environment that fosters growth and development. Download and try our app at our website: https://youapp.aiJob DescriptionAs an AI/ML research intern, you will be part of our team focused on exploring and implementing the latest AI technologies and machine learning techniques. Your primary responsibility will be to conduct research, identify cutting-edge technologies, and provide recommendations on how YouApp can leverage them effectively. Additionally, you will contribute to writing papers and documentation outlining the use of these technologies in the context of YouApp.ResponsibilitiesConduct research on AI and machine learning technologies relevant to YouApp's objectives.Identify areas where AI can be applied to enhance YouApp's features and functionality.Write papers and documentation on recommendations for the application of AI/ML technologies in YouAppStay up-to-date with the latest advancements of AI/ML and make recommendations for how YouApp can continue to innovate in this areaAny other miscellaneous tasks.RequirementsCurrently pursuing a degree in Computer Science, Data Science, or a related fieldStrong interest in artificial intelligence, machine learning, and related fieldsFamiliarity with programming languages such as Python or JavaExcellent research and analytical skillsStrong communication skillsPrevious experience in AI/ML research or related fields is a plus.",YouApp Pte Ltd,"$800 - 1,500 monthly",https://www.internsg.com/job/youapp-pte-ltd-ai-intern-3/?f_p=107&f_i&filter_s
Data Science Intern,"Job descriptionWe are looking for data analytics & data science intern. You will assist in collecting, analyzing, and interpreting data to provide actionable insights and assist senior data analysts in various analytical projects.Role and Responsibilities:Perform data mining, processing, cleansing, and validation to ensure the integrity and accuracy of data used in constructing analytical systems.Assist in conducting exploratory data analysis, applying basic statistical methods, and visualizing data to identify trends, patterns, and outliers.Create reports, dashboards and visualization to present insights and key findings to empower clients and stakeholders with actionable information for informed decision-making.Build and implement machine learning / predictive/optimization models to generate useful insights and make data-driven predictions.Engage in collaborative efforts with cross-functional implementation teams to formulate and convert problems into high-impact actionable insights, covering diverse core business areas.Research new data science techniques, tools, and algorithms to enhance the team's capabilities and contribute to innovation.Assist in organizing and managing data repositories, documenting data sources, methodologies, and findings, and ensuring data security and privacy.Skills:Proficiency in conducting data analysis, exploring data sets, identifying patterns, and deriving insights using statistical techniques.Ability to work with large datasets, ensuring accuracy and attention to detail in data analysis and interpretation.Understanding of statistical concepts, and familiarity with machine learning algorithms, such as linear regression, decision trees, clustering, etc.Drive to learn new technologies, statistical methods, and data manipulation techniques.Excellent written and verbal communication skills to effectively convey analysis results and collaborate with team members and stakeholders.Ability to work well in a team-oriented environment, collaborating with colleagues and contributing to team objectives.Qualifications and Professional Expertise:Bachelor's degree or Postgraduate degree in Data Analytics, Data Science, Statistics, Operation Research (OR), Artificial Intelligence or equivalent qualificationsProficient in working with at least one of the following programming skills: Python, SQL to manipulate data, implement algorithms, and perform data analysis tasks.Proficient in data visualization tools (Tableau, PowerBI, matplotlib or other python graphing libraries etc) to present data findings in a visually appealing and informative manner.",Strides Digital,"$1,500 monthly",https://www.internsg.com/job/strides-digital-data-science-intern/?f_p=107&f_i&filter_s
No Code Developer Intern with AI & Chatbot Experience,"Job ResponsibilitiesCollaborate with the team to develop and implement innovative solutions.Design, develop, and maintain WordPress and WooCommerce websites.Create and optimize AI-powered chatbots to enhance customer engagement and user experience.Troubleshoot and resolve IT issues to ensure seamless operations.Write clean, efficient, and well-documented code in PHP, Java, HTML, and CSS.Test and debug software applications to ensure optimal performance.Stay updated with the latest industry trends and technologies to recommend innovative solutions.Work closely with cross-functional teams to achieve project goals and objectives.Assist in creating technical documentation for software and applications developed.Ideal CandidateCurrently pursuing or recently completed a degree in Computer Science, IT, or a related field.Familiarity with AI, chatbots, and no-code platforms such as WordPress, woo-commerce, Shopify, etc.Strong problem-solving skills and attention to detail.Ability to work collaboratively in a team environment.Excellent communication skills, both written and verbal.Proactive attitude with a willingness to learn and adapt.Able to work independently.What We Offer:Hands-on experience working on real-world projects.Opportunity to learn from experienced professionals in the field.Hybrid work arrangement.Very competitive internship stipend.Join UsAt ClearSK, we value innovation, excellence, and the continuous pursuit of enhancing beauty and confidence through safe and effective treatments. Join our team and play a key role in driving technological advancements in the medical aesthetics industry!",ClearSK Healthcare Pte Ltd,"$1,400 - 2,200 monthly",https://www.internsg.com/job/clearsk-healthcare-pte-ltd-no-code-developer-intern-with-ai-chatbot-experience/?f_p=107&f_i&filter_s
"Intern, Automation","ABOUT THE ROLEWe are looking for a detail-oriented Intern, Automation to join the dynamic Human Resources team to assist in developing automated processes. The successful candidate will possess strong hands-on experience to support automation projects, developing formulas, and creation of templates.KEY RESPONSIBILITIESCollaborate with HR team members to identify areas for process automationDesign and develop automated templates to streamline HR processes for enhanced employee onboarding, employee experience, and data analysisUtilize advanced Excel functions and formulas to manipulate data and generate reportsTest and troubleshoot automated templates to ensure accuracy and efficiencyDevelop tools to validate weekly, monthly, quarterly and yearly HR analytics reportsSupport in developing a reporting tool for analyzing HR data, support to assist with queries from stakeholders including liaison with finance, management, regulators, auditors etcWork cross functionally with other teams to develop a FAQ bot & company resource portal for employeesContinuously evaluate and enhance automation processes to optimize efficiency and productivityESSENTIAL QUALIFICATIONSCurrently pursuing a Diploma or Degree in Information Technology, Computer Science or relevant fieldProficiency in Microsoft Excel, including functions such as VBA, Macros, Power tools such as Power Pivot, Automate etcExcellent analytical and problem-solving skillsDetail-oriented with a high level of accuracyIndependent, goal-oriented, inquisitive and self-motivated with the ability to work in a fast paced, highly dynamic environmentOUR MISSION & VALUESOur fast-growing biotechnology company is committed to discovering and developing important new drugs for cancer and autoimmune diseases, and living by our values: Excellence, Determination, Teamwork, Intellectual Integrity and Audacity.JOIN US AT THE FRONTIER OF DRUG DISCOVERY AND DEVELOPMENTWe are looking for passionate and motivated individuals committed to solving important, complex problems. As an intern, you will have the opportunity to learn from a multi-disciplinary team and work towards transforming the therapeutic landscape for hard-to-treat diseases. We are committed to the personal and professional development of our team and offer robust learning and development programs. Hummingbird Bioscience understands the need for flexibility for our team and offers a generous paid time off program with flexibility to support employees through different life stages. We invest in our team’s health and offer a comprehensive and holistic employee assistance program. We foster a more collaborative, productive, and sociable culture with on-site lunches and snacks. Finally, we believe in creating social impact beyond our business through corporate social responsibility initiatives.Are you ready to join us on our mission to discover and develop important new drugs for cancer and autoimmune disease? Click on ‘Apply for this Job’ to submit your application.Hummingbird Bioscience is firmly committed to Equal Employment Opportunity (EEO) and to compliance with all Singapore and US federal, state and local laws and/or guidelines that prohibit employment discrimination on the basis of age, race, color, gender, sexual orientation, gender identity, ethnicity, national origin, citizenship, religion, genetic carrier status, disability, pregnancy, childbirth or related medical conditions, marital status, protected veteran status and other protected classifications.",Hummingbird Bioscience,"$800 - 1,000 monthly",https://www.internsg.com/job/hummingbird-bioscience-intern-automation/?f_p=107&f_i&filter_s
AI / ML Research Intern,"Our team is made up of people from diverse backgrounds and experiences, united by a common goal of connecting people in a meaningful way. We value innovation, creativity, and teamwork, and we are committed to creating a work environment that fosters growth and development. Download and try our app at our website: https://youapp.aiJob DescriptionAs an AI/ML research intern, you will be part of our team focused on exploring and implementing the latest AI technologies and machine learning techniques. Your primary responsibility will be to conduct research, identify cutting-edge technologies, and provide recommendations on how YouApp can leverage them effectively. Additionally, you will contribute to writing papers and documentation outlining the use of these technologies in the context of YouApp.ResponsibilitiesConduct research on AI and machine learning technologies relevant to YouApp's objectives.Identify areas where AI can be applied to enhance YouApp's features and functionality.Write papers and documentation on recommendations for the application of AI/ML technologies in YouAppStay up-to-date with the latest advancements of AI/ML and make recommendations for how YouApp can continue to innovate in this areaAny other miscellaneous tasks.RequirementsCurrently pursuing a degree in Computer Science, Data Science, or a related fieldStrong interest in artificial intelligence, machine learning, and related fieldsFamiliarity with programming languages such as Python or JavaExcellent research and analytical skillsStrong communication skillsPrevious experience in AI/ML research or related fields is a plus",YouApp Pte Ltd,"$800 - 1,500 monthly",https://www.internsg.com/job/youapp-pte-ltd-ai-ml-research-intern-2/?f_p=107&f_i&filter_s
