job_id,titles,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay
74570578,Intern - Data Analytics and Customer Services,Daimler South East Asia Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T17:14:00Z,1d ago
74568682,"Associate, FCC Data Analytics",Standard Chartered Bank,Central Region,Consulting & Strategy,Management & Change Consulting,Full time,,2024-03-19T12:36:00Z,1d ago
74526931,Manager / Assistant Senior Manager (Data Analytics),National University of Singapore,Central Region,"Manufacturing, Transport & Logistics",Import/Export & Customs,Full time,,2024-03-18T05:13:56Z,2d ago
74601534,18 Months Contract Data Analytics and Operations Manager (#SAF-001),RECRUIT EXPRESS PTE LTD,Central Region,Information & Communication Technology,Management,Contract/Temp,"$5,000 – $6,000 per month",2024-03-20T08:10:08Z,15h ago
74537971,Business Data Analyst (Global),Gradiant International Holdings Pte. Ltd.,West Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-03-18T13:22:05Z,2d ago
74566173,Customer Excellence Data Analytics & Reporting Lead - CASC APAC,Cargill International Trading Pte Ltd,Central Region,Banking & Financial Services,Analysis & Reporting,Full time,,2024-03-19T10:47:00Z,1d ago
74603575,Data Analyst (Junior/ Entry Level),Private Advertiser,North-East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"$3,500 – $4,600 per month",2024-03-20T09:26:13Z,14h ago
74597066,Data Analyst,PRIMESTAFF MANAGEMENT SERVICES PTE LTD,Central Region,Information & Communication Technology,Database Development & Administration,Full time,"$6,500 – $8,000 per month",2024-03-20T05:36:51Z,18h ago
74540291,APAC Head of Data & Analytics - Business Development (Sales),The Bank of New York Mellon,Central Region,Banking & Financial Services,Banking - Corporate & Institutional,Full time,,2024-03-18T16:17:00Z,2d ago
74511425,Business Risk Specialist - Data & Advanced Analytics,Hays Specialist Recruitment Pte Ltd,Central Region,Banking & Financial Services,Banking - Corporate & Institutional,Contract/Temp,$4000.0 - $6500.0 p.m. + Attractive salary & caree,2024-03-17T07:10:02Z,3d ago
74553451,Senior Data Analyst - Marketplace Product,SHOPEE SINGAPORE LITE ADS,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T01:49:00Z,1d ago
74502829,Data Scientist-Analytics - TikTok,TIKTOK PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-15T20:15:00Z,5d ago
74541074,"Post Doctoral Fellow (Laboratory of Systems Biology & Data Analytics), GIS",A*STAR Research Entities (A*STAR),Central Region,Education & Training,Research & Fellowships,Contract/Temp,,2024-03-18T14:22:00Z,2d ago
74568258,Data Analyst,Pan-Malayan Pharmaceuticals Pte Ltd,Central Region,"Manufacturing, Transport & Logistics",Analysis & Reporting,Full time,,2024-03-19T12:35:00Z,1d ago
74467462,Data Scientist (Analytics),GRABTAXI HOLDINGS PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-14T14:10:00Z,6d ago
74599516,"Manager, Marketing Data Analyst",Changi Airport Group (Singapore) Pte. Ltd.,East Region,Marketing & Communications,Market Research & Analysis,Full time,,2024-03-20T04:10:00Z,19h ago
74456924,Data Analyst (Tech MNC/ SQL / Product Analytics / UP5.9K),Adecco Personnel Pte Ltd.,Central Region,Information & Communication Technology,Business/Systems Analysts,Contract/Temp,$5k - $5900 p.m.,2024-03-14T06:26:00Z,6d ago
74604170,Data Analyst & BI Intern,Munich Reinsurance,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-20T07:24:00Z,16h ago
74604515,Data Analyst,LINEAR FURNISHINGS PTE. LTD.,Central Region,Information & Communication Technology,Networks & Systems Administration,Full time,,2024-03-20T05:20:00Z,18h ago
74458214,"Intern, Supply Chain Project Assistant - Data Analytics / Project Management",ROBERT BOSCH (SOUTH EAST ASIA) PTE. LTD.,Central Region,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Full time,,2024-03-14T04:13:00Z,6d ago
74511174,Data Analyst Intern,INFOSUN LEARNING SYSTEMS PTE. LTD.,Central Region,Banking & Financial Services,Analysis & Reporting,Contract/Temp,,2024-03-17T04:39:00Z,3d ago
74513879,Data Analyst Intern,Razer Inc.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-17T17:39:00Z,3d ago
74426466,"Executive, Procurement (Data Analytics)",ST Engineering Ltd,North-East Region,"Manufacturing, Transport & Logistics","Purchasing, Procurement & Inventory",Full time,"$3,500 – $4,500 per month",2024-03-13T08:20:04Z,7d ago
74502957,Data Analyst (Petrochemicals | Data Models | Cloud Data),Talent Trader Group Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-16T00:33:06Z,4d ago
74592527,iTero Data and Reporting Intern,Align Technologies Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-20T01:16:00Z,22h ago
74423482,"Manager / Senior Manager, Data & Analytics",Sport Singapore,Central Region,Accounting,Audit - External,Full time,,2024-03-13T06:59:45Z,7d ago
74553753,Data Science Engineer - (Python),GMP Group HQ,West Region,Information & Communication Technology,Management,Full time,"$4,000 – $4,800 per month",2024-03-19T03:26:32Z,1d ago
74604349,"Data Engineer/Scientist (Python, Java, Apache Spark, AWS)",Durapower Technology (Singapore) Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-20T05:21:00Z,18h ago
74562255,Data Scientist,SATS Ltd.,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T07:58:07Z,1d ago
74458162,"Technical Lead, Data Analytics, Google Cloud",Google Inc.,Central Region,Information & Communication Technology,Team Leaders,Full time,,2024-03-13T03:09:00Z,7d ago
74442930,Data Analyst,Private Advertiser,West Region,Information & Communication Technology,Business/Systems Analysts,Full time,"$3,000 – $4,000 per month",2024-03-13T23:40:55Z,7d ago
74460564,Data / Business Analyst,Private Advertiser,North-East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"$3,600 – $4,800 per month",2024-03-14T09:16:57Z,6d ago
74423270,Data Analytics Engineer Lead,Hays Specialist Recruitment Pte Ltd,Central Region,Information & Communication Technology,Architects,Contract/Temp,$10000.0 - $14000.0 p.m.,2024-03-13T06:54:24Z,7d ago
74445164,Data Analyst EPIC Systems,SERVITA PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-13T22:04:00Z,7d ago
74508014,Data Scientist,Dada Consultants,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-16T09:53:00Z,4d ago
74492371,Lead Data Analyst (International Centre for Aviation Innovation),Public Service Division,East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-15T07:05:00Z,5d ago
74541659,Intern - Data Science Intern,Activate Interactive Pte Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-18T16:22:00Z,2d ago
74568577,SENIOR DATA SCIENTIST,REMARK SINGAPORE PTE LTD,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-19T12:39:00Z,1d ago
74540728,Senior Domain Director,DHL Express (Singapore) Pte. Ltd,Central Region,Information & Communication Technology,Team Leaders,Full time,,2024-03-18T14:26:00Z,2d ago
74445124,Data Scientist Analyst,SERVITA PRIVATE LIMITED,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-13T22:04:00Z,7d ago
74546262,"Intern, Rewards Data Analyst",Mercer,Central Region,Marketing & Communications,Marketing Communications,Full time,,2024-03-18T20:08:00Z,2d ago
74512445,"[LTA-TRO] EXECUTIVE/ ENGINEER, INNOVATION AND ANALYTICS",Public Service Division,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-16T08:02:00Z,4d ago
74449020,Data Analyst,PRIMESTAFF MANAGEMENT SERVICES PTE LTD,Central Region,Information & Communication Technology,Database Development & Administration,Full time,"$5,800 – $7,800 per month",2024-03-14T02:40:41Z,6d ago
74366479,Data Analyst / Scientist (Healthcare),GMP Group HQ,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"$4,000 – $4,500 per month",2024-03-11T09:49:15Z,9d ago
74342990,"Senior Executive / Assistant Manager, Data Analytics (Healthcare, Perm)",RecruitFirst Pte. Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,"$3,700 – $4,800 per month",2024-03-09T09:29:44Z,11d ago
74540814,Analyst,Sembcorp Development Ltd,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-03-18T14:27:00Z,2d ago
74564965,Consulting Analyst - Marketing & Commerce (Marketing Analytics) - Singapore,Deloitte Consulting SEA,Singapore,Marketing & Communications,Market Research & Analysis,Full time,,2024-03-19T10:08:39Z,1d ago
74433139,Data Scientist,Hudson Global Resources ( HQ ),Central Region,Information & Communication Technology,Engineering - Software,Full time,To be advised,2024-03-13T12:27:01Z,7d ago
74476223,Data Analyst  (Banking|Up to $5.5k),Adecco Personnel Pte Ltd.,Central Region,Banking & Financial Services,Analysis & Reporting,Contract/Temp,,2024-03-15T02:23:17Z,5d ago
74556930,LEAD TRAINER DATA SCIENCE & AI,Institute Of Data Pte. Ltd.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-03-19T04:57:52Z,1d ago
74610524,Data Solutions Manager - Data Cycling Center,TIKTOK PTE. LTD.,Central Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-03-20T16:12:00Z,7h ago
74401722,Data Analyst,Far East Organization,North Region,Information & Communication Technology,Business/Systems Analysts,Full time,,2024-03-12T15:12:00Z,8d ago
74401444,Data Management Lead/ Data Analyst (Group IT),Far East Organization,Central Region,Information & Communication Technology,Product Management & Development,Full time,,2024-03-12T15:26:00Z,8d ago
74319573,Research Assistant  - Software and Data Analytics.,Nanyang Technological University,Central Region,Information & Communication Technology,Engineering - Software,Full time,,2024-03-08T05:56:18Z,12d ago
74495670,"Lead, Product Analytics",Evyd Research,West Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-15T10:24:00Z,5d ago
74612426,(Senior) Analyst (Operations Research),Singapore LNG Corporation Pte Ltd,Central Region,Engineering,Mechanical Engineering,Full time,,2024-03-20T18:44:00Z,5h ago
74401834,Junior Data Scientist,Mindteck Singapore Pte Ltd,North-East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-03-12T15:12:00Z,8d ago
