job_id,titles,teasers,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay
74706904,"Data Analyst, Strategy Management and Analytics (OPP)",The Strategy Management &amp; Analytics team is the custodian of SGH’s corporate strategy management and business intelligence to enhance...,Singapore General Hospital,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T08:10:06Z,1d ago
74723396,Operations Data Analytics,"Challenging job by analysing operational data to identify issues, communicate with various BU heads to solve issues and improve workflows",Best Logistics Technology (Singapore) Pte Ltd,West Region,"Manufacturing, Transport & Logistics",Analysis & Reporting,Full time,"$2,700 – $4,000 per month",2024-03-26T01:32:46Z,12h ago
74734719,Operation Data Analytics Officer,The Quality Control team at BEST is responsible for the maintenance and improvement of operational service quality. Reporting directly to our Singa...,Best Logistics Technology (Singapore) Pte Ltd,West Region,"Manufacturing, Transport & Logistics",Freight/Cargo Forwarding,Full time,,2024-03-26T03:10:00Z,10h ago
74734440,Data Science and Analytics Specialist,"Responsible for enabling decision making by exploring the data, recommending actionable insights, and building visualizations, dashboards.
Packages...",Philips Domestic Appliances Singapore Pte. Ltd.,Central Region,Sales,New Business Development,Full time,,2024-03-26T03:44:00Z,9h ago
74716968,Senior Backend Developer (AI Data Analytics),"The JobTech team is an enthusiastic bunch, obsessed with solving human capital business problems in talent development, using deep technology and l...",Jobtech Pte. Ltd.,West Region,Information & Communication Technology,Developers/Programmers,Full time,,2024-03-25T15:02:00Z,22h ago
74727949,Research Fellow / Engineer (Lifecycle Sustainability Assessment / Data Analytics,-,Singapore Institute of Technology,Central Region,Education & Training,Research & Fellowships,Contract/Temp,,2024-03-26T03:37:16Z,10h ago
74714569,"VP, Data Analytics, Group Wholesale Banking",-,United Overseas Bank Limited (UOB),Central Region,Banking & Financial Services,Other,Full time,,2024-03-25T17:59:18Z,19h ago
74716684,Data Scientist / Data Analyst,We are seeking a highly skilled and motivated Data Analyst/Data Scientist to join our dynamic team. The ideal candidate will be passionate about tu...,CHARLES & KEITH GROUP,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-25T15:03:00Z,22h ago
74662429,"Senior Executive/Assistant Manager, Data Analytics",-,National University Health System,Central Region,Sales,New Business Development,Full time,,2024-03-22T08:14:35Z,4d ago
74713180,"Intern, Group Wholesale Banking, Data Analytics (May - Aug)",-,United Overseas Bank Limited (UOB),Central Region,Banking & Financial Services,Other,Casual/Vacation,,2024-03-25T14:28:25Z,23h ago
74661629,"Senior Executive / Assistant Manager, Data Analytics & Insights",-,National University Health System,Central Region,Information & Communication Technology,Database Development & Administration,Full time,,2024-03-22T07:39:30Z,4d ago
74647983,"Senior Executive / Assistant Manager, Data Analytics & Insights(5861)",---,NUHS Group Ops & IT,Central Region,Hospitality & Tourism,Management,Full time,,2024-03-22T01:19:03Z,4d ago
74714465,"Senior VP, Lead TDM, Platform Engineering, Data Analytics Technology",-,United Overseas Bank Limited (UOB),Central Region,Information & Communication Technology,Engineering - Software,Full time,,2024-03-25T16:11:22Z,21h ago
74716942,Data Analyst/Data Scientist,"As a data analyst, you will be responsible for compiling actionable insights from data and assisting program, sales and marketing managers build da...",BCW DLT TECHNOLOGIES PTE. LTD.,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Contract/Temp,,2024-03-25T02:50:00Z,1d ago
74667676,Data Analytics Audit Specialist,"Develop and implement data analytics strategies to enhance audit procedures and methodologies, incorporating emerging technologies and best practic...",Central Provident Fund Board,Central Region,Accounting,Audit - Internal,Contract/Temp,,2024-03-22T07:13:00Z,4d ago
74660593,"(Senior) Executive - (Senior) Assistant Manager - NCIS, Data Analytics",-,National University Health System,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-22T06:52:43Z,4d ago
74676179,Data Analyst,"Our company specializes in electronic products. We believe in the power of data to guide and refine our business strategies, including marketing, n...",DNDTS PTE. LTD.,Central Region,Engineering,Electrical/Electronic Engineering,Full time,,2024-03-22T17:42:00Z,3d ago
74633499,"Associate, FCC Data Analytics","This role is to support the design, testing and implementation of second line of defence (""2LOD"") data analytics initiatives",Standard Chartered Bank,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-21T06:54:09Z,5d ago
