job title,description,company,salary range,url
"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Manager, Group Care Plan Operations, Data Analytics & Insights(6318)",-,NUHS Group Ops & IT,,
Data Analyst,"Unleash insights as a Data Analyst! Dive into data, drive decisions, and fuel innovation with us. Join now!",NEO GARDEN CATERING PTE. LTD.,,
Business Risk Specialist  Data Analytics & Sampling - Singapore,You'll be working in the Wealth Management Asia Pacific (WM APAC) Regional Business Risk Organization Control Framework Team. We support the WM APAC,Hays Specialist Recruitment Pte Ltd,$5000.0 - $10000.0 p.m. + Attractive salary & care,
Data Analyst (Phillip Nova),"Proficiency in data manipulation and analysis tools. Strong data visualization skills using tools such as Tableau, Power BI, or others.",Phillip Nova Pte Ltd,,
Information Technology - Senior Data Engineer (Analytics Engineering Track),"We have multiple senior data engineering positions available. The Data Analytics Engineer is responsible for designing and developing robust, scala...",Singapore Airlines,,
Data Analyst,"Job Description: As a Data Analyst, you will play a crucial role in leveraging data to drive business insights and decision-making. Your primary re...",JCO ANALYTICS PTE. LTD.,,
Data Analyst,You will be given good learning exposure.,Methodist Welfare Services,,
HR Dashboard & Analytics Executive | Up to $3500 | 6 months,-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$3,000 – $3,500 per month",
"Data Analytics Intern - Business Intelligence, Regional Operations",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"VP, Financial Strategy (Data Analytics, Programming), Group Finance",We support enhanced decision-making to achieve optimal and sustainable financial outcomes for our shareholders. We are responsible for providing in...,United Overseas Bank Limited (UOB),,
"Data Analyst Intern - Regional Marketing Analytics, Regional Brand & Growth Mark",-,SHOPEE SINGAPORE PRIVATE LIMITED,,
"Data Analytics Lead, Regional Business Intelligence & Planning",--,SHOPEE SINGAPORE PRIVATE LIMITED,,
HR Dashboard & Analytics Executive | Up to $3500 | 6 months (renewable),-,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$3,000 – $3,500 per month",
Strategy and Operations Data Analytics Intern - Shopee Xpress Last Mile,"The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform...",SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Analytics Audit Specialist,"Develop and implement data analytics strategies to enhance audit procedures and methodologies, incorporating emerging technologies and best practic...",Central Provident Fund Board,,
Analytics Developer/Data Engineer,"2. What we are looking for
· Good understanding and completion of projects using waterfall/Agile methodology.
· Strong SQL, data modelling and data...",PHOENIX SOLUTIONS (S) PTE. LTD.,,
Administrator (Data Analytics),"Interested to explore into Data Analytics function
Organized and meticulous to assist team on administration",IHH Healthcare,,
Data Analyst - ShopeePay,-,SHOPEE SINGAPORE PRIVATE LIMITED,,
Data Scientist,"As a Data Scientist, you will be at the forefront of our data analytics efforts, working closely with cross-functional teams to develop and deploy ...",CPO PTE. LTD.,,
