,Job_ID,url,Job_txt,company,job-title,level,location,posted-time-ago,nb_candidats,scraping_date,posted_date
0,3883819689,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3883819689,,,,,,,,2024-04-26,
1,3776577476,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3776577476,"Machine Learning Engineer Intern (Core Feed Recommendation) - 2024 Start TikTok Singapore 2 months ago 68 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Machine Learning Engineer Intern (Core Feed Recommendation) - 2024 Start role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Machine Learning Engineer Intern (Core Feed Recommendation) - 2024 Start at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the Team TikTok Core Feed Recommendation team sits in the center of TikTok, designs, implements and improves the core recommendation algorithm that powers the ""for you"" feed, ""following"" feed, etc. of the TikTok app. The recommendation system we built connects hundreds of millions of users with relevant content out of billions of videos in real-time, and inspires high-quality content creation for millions of creators on the platform. The team is at the intersection of cutting-edge machine learning research and large-scale end-to-end production systems. We take pride in finding the right balance between solid applied research, elegant system design and being pragmatic. We have a strong user focus and a dedication to technical excellence. We are looking for talented individuals to join us for an internship in 2024. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok. Successful candidates must be able to commit to the following internship cycle below: - 1. Summer Internship - 06 May 2024 to 26 July 2024 (12 weeks) 2. Off cycle / Credit bearing - Starting 08 January 2024 We will prioritize candidates who are able to commit in either internship period. Please state your availability clearly in your resume (Start date, End date). Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. Responsibilities - Improve recommendation models at massive scales, through applying state-of-art machine learning techniques across all ranking phases including but not limited to retrieval, ranking, re-ranking and etc. - Conduct cutting-edge application-driven research to explore the frontier of recommendation algorithmic domain. Develop industry leading recommendation system. - Work cross functionally with product managers, data scientists and product engineers to understand insights, formulate problems, design and refine machine learning algorithms, and communicate results to peers and leaders. - Improve the experience of diverse cultural groups and people with various preferences around the world by optimizing every aspect of the recommendation system. - Run regular A/B tests, perform analysis and iterate algorithms accordingly. Qualifications 1. Solid programming foundation, good programming style, solid knowledge of data structures and algorithms. 2. Has strong theoretical foundation and extensive practical experience in the field of machine learning/deep learning , familiar with at least one mainstream deep learning framework. 3. Has exceptional ability to analyze and solve problems, passionate about solving challenging problems; good at communication, proactive at work, has a strong sense of responsibility, and possess good teamwork skills. Preferred Qualifications 1. Published papers in the top AI conferences or journals is a plus, including KDD, IJCAI, WWW, WSDM, ICML, NeurIPS, CVPR, ECCV, ICCV, ACL, etc.; 2. Competition experience in machine learning, data mining, or ACM-ICPC/NOI/IOI competitions TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy. If you have any questions, please reach out to us at apac-earlycareers@tiktok.com. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Research, Information Technology, and Engineering Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,Machine Learning Engineer Intern (Core Feed Recommendation) - 2024 Start,Not Applicable,Singapore,2 months ago,68.0,2024-04-26,2024-02-26
2,3908030852,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3908030852,,,,,,,,2024-04-26,
3,3905161563,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3905161563,,,,,,,,2024-04-26,
4,3876047030,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3876047030,,,,,,,,2024-04-26,
5,3727667827,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3727667827,"Machine Learning Engineer Intern (Recommendation System)- 2024 Start TikTok Singapore 2 months ago 159 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Machine Learning Engineer Intern (Recommendation System)- 2024 Start role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Machine Learning Engineer Intern (Recommendation System)- 2024 Start at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the TikTok Data Team Our TikTok team is responsible for developing state-of-the-art machine learning models and strategies to improve user consumption experience, inspire creativity, build a fair and flourishing ecosystem. We are looking for talented individuals to join us for an internship in 2024. Internships at TikTok aim to offer students industry exposure and hands-on experience. Watch your ambitions become reality as your inspiration brings infinite opportunities at TikTok. Successful candidates must be able to commit to the following internship cycle below: - 1. Summer Internship - 06 May 2024 to 26 July 2024 (12 weeks) 2. Off cycle / Credit bearing - Starting 08 January 2024 We will prioritize candidates who are able to commit in either internship period. Please state your availability clearly in your resume (Start date, End date). Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. Responsibilities 1. Participate in the recommendation algorithm of the livestreaming business and make contributions to a world-class large scale recommendation system 2. Optimize the core algorithms and strategies (recall, coarse ranking, fine ranking, mixed ranking, diversity, etc.) through modeling technologies including deep learning, representation learning, multi-task learning, causal inference, and sequence modeling. Ensure every user finds relevant creators and enjoys the fun of livestreaming. 3. Continuously improve recommendation technology with deep understanding of the ecological roles of users, creators, platforms,  drive healthy growth in user experience, creator growth, platform revenue, and create a virtuous cycle of livestream ecosystem 4. Work closely with the product and operations team, excel in technological innovation with deep integration of business characteristics, and help achieve long-term and short-term business development goals. Qualifications 1. Solid programming foundation, good programming style and work habits, solid knowledge of data structures and algorithms. 2. Has strong theoretical foundation and extensive practical experience in the field of machine learning/deep learning , familiar with at least one mainstream deep learning framework. 3. Has exceptional ability to analyze and solve problems, passionate about solving challenging problems; good at communication, proactive at work, has a strong sense of responsibility, and possess good teamwork skills. 4. Priority will be given to individuals who have published papers at top conferences, won competitions such as ACM/machine learning, or have experience in core algorithm businesses such as large-scale recommendation systems, computational advertising, and search engines. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy. If you have any questions, please reach out to us at apac-earlycareers@tiktok.com. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Research, Information Technology, and Engineering Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,Machine Learning Engineer Intern (Recommendation System)- 2024 Start,Not Applicable,Singapore,2 months ago,159.0,2024-04-26,2024-02-26
6,3909133264,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3909133264,,,,,,,,2024-04-26,
7,3731269772,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3731269772,"INTERN DATA SCIENCE ENGINEER - SMART MFG & AI Micron Technology Singapore, Singapore 1 month ago Over 200 applicants See who Micron Technology has hired for this role Apply Join or sign in to find your next job Join to apply for the INTERN DATA SCIENCE ENGINEER - SMART MFG & AI role at Micron Technology Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save INTERN DATA SCIENCE ENGINEER - SMART MFG & AI at Micron Technology . Email or phone Password Show Forgot password? Sign in Report this job Our vision is to transform how the world uses information to enrich life for all. Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing. JR41417 INTERN DATA SCIENCE ENGINEER - SMART MFG & AI As a Data Science Engineer at Micron, you will employ techniques and theories drawn from areas of mathematics, statistics, semiconductor physics, materials science, and information technology to uncover patterns in data from which predictive models, actionable insights, and solutions can be developed. You will interact with experienced Data Scientists, Data Engineers, Business Areas Engineers, and UX teams to identify questions and issues for data analysis projects and improvement of existing tools. In this position, you will help develop software programs, algorithms and/or automated processes to cleanse, integrate, and evaluate large datasets from multiple disparate sources. There will be significant opportunities to perform exploratory and new solution development activities. Responsibilities Include, But Are Not Limited To Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets. Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement. Ability to extract data from different databases via SQL and other query languages and apply data cleansing, outlier identification, and missing data techniques. Strong software development skills. Strong verbal and written communication skills. Experience with or desire to learn: Machine learning and other advanced analytical methods Fluency in Python and/or R pySpark and/or SparkR and/or SparklyR Hadoop (Hive, Spark, HBase) Teradata and/or another SQL databases Tensorflow, and/or other statistical software including scripting capability for automating analyses SSIS, ETL Javascript, AngularJS 2.0, Tableau Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus Experience working with Manufacturing Execution Systems (MES) is a plus Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are a plus, but this is not a research position Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement. Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers. Working location: 1, North Coast Drive, Singapore 757432 About Micron Technology, Inc. We are an industry leader in innovative memory and storage solutions transforming how the world uses information to enrich life for all . With a relentless focus on our customers, technology leadership, and manufacturing and operational excellence, Micron delivers a rich portfolio of high-performance DRAM, NAND, and NOR memory and storage products through our Micron® and Crucial® brands. Every day, the innovations that our people create fuel the data economy, enabling advances in artificial intelligence and 5G applications that unleash opportunities — from the data center to the intelligent edge and across the client and mobile user experience. To learn more, please visit micron.com/careers All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. To request assistance with the application process and/or for reasonable accommodations, please contact hrsupport_sg@micron.com Micron Prohibits the use of child labor and complies with all applicable laws, rules, regulations, and other international and industry labor standards. Micron does not charge candidates any recruitment fees or unlawfully collect any other payment from candidates as consideration for their employment with Micron. Show more Show less Seniority level Internship Employment type Full-time Job function Other Industries Computer Hardware Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Semiconductor Manufacturing Referrals increase your chances of interviewing at Micron Technology by 2x See who you know",Micron Technology,INTERN DATA SCIENCE ENGINEER - SMART MFG & AI,Internship,"Singapore, Singapore",1 month ago,,2024-04-26,2024-03-27
8,3797480400,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3797480400,,,,,,,,2024-04-26,
9,3832648465,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3832648465,,,,,,,,2024-04-26,
