title,company,location,link,description
Junior Data Analyst,Avient Corporation,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-at-avient-corporation-3846649102?position=2&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=ysqHUFXGeFWmwWiyjJGuBQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Job SummaryWe are looking for a highly motivated and detail-oriented Junior Data Analyst seeking an opportunity to leverage analytical skills and problem-solving abilities to contribute to data-driven decision making within a dynamic organization. You should be able to apply problem-solving skills and technical expertise to design, develop, and deploy data analytics applications and database solutions. Possesses a strong foundation in data analysis principles and is eager to gain hands-on experience in building tools that empower informed decision-making within an organization. Thrives in a collaborative environment, working closely with internal customers to understand their needs and deliver robust solutions.ResponsibilitiesWork closely with product owners to understand and maintain focus on their analytics needs, including critical metrics and KPIs, and deliver actionable insights to relevant decision-makers.Create, automate and maintain data analytics applications through data interpretation and analysis, with reporting components from multiple data sources.Define and implement data acquisition and integration logic, selecting an appropriate combination of methods and tools within the defined technology stack to ensure optimal scalability and performance of the solution.Proactively analyse data to answer key questions for stakeholders or yourself, with an eye on what drives business performance, and investigate and communicate which areas need improvement in efficiency and productivity.Required Skills and QualificationsB.A. or B.S. degree in Computer Science, Computer Engineering, Engineering, Information Systems, Business Analytics, Mathematics, Statistics, Economics, Physic, or other related disciplines that possesses an analytical and quantitative component.In depth understanding of querying and manipulating complex raw datasets for analysis using Python and/or SQLExperience with data visualization tools (e.g., Tableau, Power BI, Plotly)Experience in Python programming for data such as cleansing, validating, improving quality of and analyzing data with the purpose of understanding or derive business logic from the dataExcellent problem-solving skills, with strong technology, analytical skills.Ability to work collaboratively in a team environment.Ability to work from our Chin Bee headquarters 3 times a week.Preferred Skills and QualificationsAt least 1-year experience of performing data analysis.Experience with statistical analysis (e.g., hypothesis testing, probability, regressions etc)Experience with data pipeline architecture, ETL and data modellingExperience explaining technical concepts and analysis implications clearly to varied audiences and be able to translate business objectives into actionable analyses and vice versa.Familiarity with version control systems (e.g., Git).



        
            Show more
          

          



        
            Show less"
"Data Analyst - Marketing Analytics, Regional Brand & Growth Marketing",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-marketing-analytics-regional-brand-growth-marketing-at-shopee-3815652521?position=3&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=msaKGphKADtzeN%2B38MLwEQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Our Marketing teams conceptualise and implement go-to-market activities to achieve increased usage and visibility. The Regional Marketing team is responsible for in-app campaign planning, product marketing, partnerships and content strategy to drive acquisition and engagement. The Regional Brand and Growth Marketing team covers all aspects of online and performance marketing, which involve tracking and measuring data to better reach our users. Our local marketing teams work closely with the regional teams to localise and adapt strategies to increase brand awareness and acquisition in each market. Browse our Marketing team openings to see how you can make an impact with us.Job descriptionProvide data and insight support for specific marketing function, work with teams across our global officesDevelop smart and efficient solutions to reporting and data extraction needs using SQL, Python, SparkProduce actionable insights that will be used to support or devise new marketing strategiesWork with big data using Hadoop ecosystem, with support from data engineersProblem solve on evolving new analytical or data tracking needs, with business and technical teamsRequirementExperience in Business Intelligence/Data Analytics in tech/e-commerce or fast-paced environment is preferredStrong technical skills in Python and SQLAbility to pay attention to details and manage tasks effectivelyPassionate about data and solving challenging problems(Strong plus but not required) Proficiency in VBA/Spark(Plus but not required) Degree in STEM related disciplines (e.g., Computer Science, Analytics, IT, Engineering)



        
            Show more
          

          



        
            Show less"
Data Analyst (Honkai: Star Rail) – Fresh Grad,HoYoverse,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-honkai-star-rail-%E2%80%93-fresh-grad-at-hoyoverse-3838198465?position=4&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=UdMwkKT69o8VCKe0srm1vA%3D%3D&trk=public_jobs_jserp-result_search-card,"Who Are We?At HoYoverse, we are committed to creating immersive virtual world experiences for players around the world. In addition to game products such as Genshin Impact, Honkai Impact 3rd, Tears of Themis, and Honkai: Star Rail, HoYoverse also launched the dynamic desktop software N0va Desktop, the community product HoYoLAB, and created a variety of products such as animations, comics, music, novels, and merchandise around our original creative concept.Adhering to our mission of Tech Otakus Save the World, we have always been committed to technology research and development, exploring cutting-edge technologies, and have accumulated leading technical capabilities in cartoon rendering, artificial intelligence, cloud gaming technology, and other fields.HoYoverse is actively engaged in globalization, with offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas.When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process.What You Will Do: Play an important role by providing product analysis to help in decision making as well as to ensure the long-term operations of the product with your data ability.Establish and improve data monitoring and analyzing systems.Provide data support to product design, operational analysis, content effect evaluation, player behavior analysis and community opinions analysis through data analysis or mathematical modeling.What We Are Looking For: Loyal game players, basic understanding of the gaming industry, familiar with various video games.Extensive gameplay experience with HoYoverse Games is a plus.Proficiency in SQL and data analysis tools including Excel, SPSS, Python or SAS.Familiar with common data mining model (for example, clustering, regression, decision tree).Sensitive to data, possess a strong learning ability, strong logical and analytical capabilities, and project execution skills, and able to communicate with designers and developers.Excellent written and verbal communication skills in English and fluent oral Chinese to liaise with teams.We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team.
        


        
            Show more
          

          



        
            Show less"
Data Analyst - Globalization - Fresh Grad,HoYoverse,Singapore,https://sg.linkedin.com/jobs/view/data-analyst-globalization-fresh-grad-at-hoyoverse-3838197569?position=5&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=o9EC1daaGqZ1n%2B6XB8kA%2FQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Who Are We?At HoYoverse, we are committed to creating immersive virtual world experiences for players around the world. In addition to game products such as Genshin Impact, Honkai Impact 3rd, Tears of Themis, and Honkai: Star Rail, HoYoverse also launched the dynamic desktop software N0va Desktop, the community product HoYoLAB, and created a variety of products such as animations, comics, music, novels, and merchandise around our original creative concept.Adhering to our mission of Tech Otakus Save the World, we have always been committed to technology research and development, exploring cutting-edge technologies, and have accumulated leading technical capabilities in cartoon rendering, artificial intelligence, cloud gaming technology, and other fields.HoYoverse is actively engaged in globalization, with offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas.When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process.What You Will Do: Build and improve the operational data monitoring system for game projects, and promptly detect anomalies or risk points through daily monitoring of online data, track and locate issues, and follow up on solutions.Responsible for specialized data analysis of game projects, including but not limited to churn attribution, version effectiveness, activity effectiveness, user profile analysis, delivery analysis, brand effectiveness analysis, etc.Explore and analyze user behavior and game content performance through data mining, establish indicator systems, algorithm models, etc. for data estimation, and provide data support for the strategic planning of game products, operations, and marketing.Participate in and assist in the follow-up of operations and advertising-related data access, data automation tool, and platform construction.What You Will Need:Bachelor degree in data-related fields, with experience in the gaming industry or data analysis preferred.Sensitive to data, proficient in data collection, data analysis methods and tools, grasp the basic principles of data modeling and major algorithms (decision trees, clustering, association rules, regression analysis, etc.).Passionate about games, able to think from the perspective of users, able to independently carry out research projects and produce complete data reports.Possess good logical thinking and analytical skills, good teamwork and communication skills.We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team.
        


        
            Show more
          

          



        
            Show less"
Data Scientist / Data Analyst,CHARLES & KEITH GROUP,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-scientist-data-analyst-at-charles-keith-group-3817865768?position=6&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=q6WyNAvONZI0%2Bk04Dp5kyw%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Overview:​We are seeking a highly skilled and motivated Data Analyst/Data Scientist to join our dynamic team. The ideal candidate will be passionate about turning data into actionable insights and have a proven track record of using data to drive growth and efficiency. ​Key Responsibilities:​Design, develop, and maintain Power BI dashboards and reports that consolidate data from various sourcesGather business requirements from end-users and translate them into technical specifications to build robust, scalable, and high-performance BI solutionsPerform statistical analysis and use machine learning techniques to build predictive models.Communicate findings and insights to stakeholders using visualization tools and presentationsRequirements:​Bachelor's/Master’s degree in Computer Science, Mathematics, Economics, Statistics, or a related fieldProven experience as a Power BI Developer or similar roleStrong understanding of BI technologies and experience in data analysis and reportingStrong knowledge of and experience with databases (SQL, etc.), programming (e.g., Python, R), and ETL frameworksExperience with common data science toolkits, such as Pandas, NumPy, Matplotlib, Scikit-learn; experience with TensorFlow or PyTorch is a plusExcellent written and verbal communication skills



        
            Show more
          

          



        
            Show less"
Data Analyst,Talent Disruptors,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-talent-disruptors-3860725695?position=7&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=caNikhTODzaXD5WUoPRdgw%3D%3D&trk=public_jobs_jserp-result_search-card,"We are on the lookout for a Data Analyst with a specialization in marketing analytics. In this critical role, you will harness the power of tools like Google Data Studio, BigQuery, and Power BI to derive actionable insights that drive our marketing decisions. Your expertise in analyzing complex datasets and turning them into understandable and strategic information will be essential in shaping our marketing strategies. This position is ideal for someone who thrives on data-driven challenges and has a passion for leveraging technology to inform business decisions.What You’ll Be DoingData Analysis and Interpretation: Utilize tools like Google Data Studio, BigQuery, and Power BI to analyze marketing data and extract meaningful insights. Developing Reporting Dashboards: Create dynamic dashboards and reports that provide real-time insights into marketing performance. Collaborating with Marketing Teams: Work closely with marketing teams to understand their data needs and provide insights that inform strategy and decision-making. Data Integration and Management: Integrate data from various sources to provide a comprehensive view of marketing performance. Performance Tracking: Monitor key performance indicators (KPIs) to measure the effectiveness of marketing campaigns and strategies. Predictive Analysis: Use data to predict trends and market movements, aiding in proactive strategy development. Training and Support: Provide training and support to team members in using data analysis tools and understanding reports. Who You AreProficient in Data Analysis Tools: You have strong experience with tools such as Google Data Studio, BigQuery, and Power BI. Analytical and Insightful: You possess the ability to analyze complex datasets and turn them into actionable insights. Collaborative in Nature: You work well with marketing teams, understanding their needs and communicating data insights effectively. Skilled in Data Integration: You are adept at integrating and managing data from various sources. Detail-Oriented: You have a keen eye for detail and accuracy in data analysis and reporting. Proactive and Predictive: You are capable of conducting predictive analyses to inform future marketing strategies. Excellent Communicator: You can clearly convey data insights and their implications to non-technical team members. What Success Looks Like30 DaysEstablish a comprehensive, organized online database in BigQuery to store all client and marketing data and integrate lead data from CRMs, digital advertising data, customer opt-ins, and purchasing data to provide meaningful insights that inform marketing decisions. Create and maintain data dashboards in Looker Studio for easy data visualization, analysis, and automated reporting. 60 DaysDevelop statistical models for data analysis, including linear regression modeling and predictive lead scoring, that effectively guide marketing actions. 90 DaysAutomated the generation of actionable insights and trends over time from data analysis to inform our marketing strategy.



        
            Show more
          

          



        
            Show less"
"Junior Data Analyst - Business Intelligence, Regional Operations",Shopee,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/junior-data-analyst-business-intelligence-regional-operations-at-shopee-3727428385?position=8&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=Zrh4ViV6gLdSaROLNrjp0Q%3D%3D&trk=public_jobs_jserp-result_search-card,"About The TeamShopee’s Regional Operations constantly solving problems and introducing innovative solutions to improve platform usability and enhance end user experience for our buyers, sellers, and partners.Our teams sit at the core of our business and collaborate with various departments to manage end-to-end e-commerce processes, and design scalable solutions to create impact across multiple markets. To do so, we deep dive into the fundamentals of each aspect and drive strategic initiatives to sharpen our policy, processes and features for greater product and operational excellence.Job DescriptionOur Business Intelligence Data Analysts go beyond performance monitoring and report - they play a crucial role in conducting in-depth data-powered analysis and research that drive key business decisions across Regional Operations.We’re looking for a hands-on, motivated individual who enjoys complex problem-solving and deriving data-backed solutions to help drive high-impact business changes.Work closely with large datasets to build data visualisation and dashboards that inform strategic planning and sound business decisionsUnderstand functional and technical requirements to build reports that deliver actionable insights to key stakeholdersBuild and maintain data infrastructure (data pipelines, aggregated data sets, reports, dashboards) to facilitate development of key metrics to measure efficiency/impact/outcomes of day-to-day operationsConduct research and synthesise findings into plans, processes, and playbooks that are clear and lead to actionable insightsWork closely with internal stakeholders from cross-functional and product teams across multiple markets to build, test, and implement new processes and systemsDrive adoption of the team’s initiatives through strong collaboration and alignment of organisational needs with various stakeholdersRequirementsBachelor’s degree in Business Analytics, Statistics, Engineering, Mathematics or Computer Science with 0-3 years experienceProficiency in SQL/PythonExperience with big data tools (e.g. Hadoop, Hive SQL, Spark), ETL tools, data visualisation tools (e.g. Tableau, Looker) and statistical analysis (e.g. hypothesis testing, regression, data modeling techniques) preferredAbility to analyse and synthesise data from both quantitative and qualitative sourcesAbility to draw insights from data to to design practical and scalable solutionsAbility to explain technical concepts in a clear and succinct manner to various stakeholdersAbility to thrive in a dynamic and collaborative environment



        
            Show more
          

          



        
            Show less"
Data Analyst (Finance),Sea,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-finance-at-sea-3818197333?position=9&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=eCq2EMrMzhGSvbq14mJtiA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description:As a Data Analyst, you will play an important role in delivering high quality and comprehensive analysis to support the respective business needs. Besides applying your strong technical knowledge in our projects, you will be involved in designing and implementing innovative elements to meet the needs of our growing businessUnderstand user requirements; Design data deliverablesUnderstand data source; Design data warehouse and ETL pipelinesDevelop, deliver and maintain ETL pipelines using various technologiesManage data, scripts and documentation according to compliance rulesHelp users with offline data processing and raise their efficiency by automating routine jobsCollaborate with data platform team and strive for better platform features to ease ETL developmentRequirements:Bachelor degree or higher in computer science, business analytics, mathematics, statistics or related disciplinesGood understanding of SQL and Python; experience in other programming languages, such as R, Scala, Java and Shell, is preferredHands-on experience on big data technology, such as Hadoop, Spark and Flink, is preferredStrong analytical and logical thinking skills Good communication skillsSelf-learner with a strong sense of ownership



        
            Show more
          

          



        
            Show less"
Data Analyst,Nicoll Curtin,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-nicoll-curtin-3854966187?position=10&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=G9rPEeHS7hUJ8E2nEXvUBw%3D%3D&trk=public_jobs_jserp-result_search-card,"The Hiring Company is an Exciting Global MNC well known for their innovative audio and infotainment solutions, producing high-quality audio equipment and software for a wide range of applications. They're looking for a Business Analyst who can drive analysis and insights with key objectives to communicate and influence different teams to make data-driven decisions in maximizing and growing the Consumer Audio business in Asia-Pacific.ResponsibilitiesDaily Operational Technical Responsibilities: Conduct in-depth data analysis using advanced methodologySupport the Monthly Purchase, Sales & Inventory (PSI) cycle as well as consumer insights.Provide insights to various teams like Sales, Product Planning, Marketing, Supply Chain and Order FulfillmentIdentifying opportunities to improve on accuracy and data integrity, as well as improving efficiency in the process and meeting the reporting requirements of various stakeholders. Fix broken links in existing PowerBI reporting and derive insights from data provided.Market Analysis: Support market analysis projects to analyze data and provide insights to leadershipThese insights can be across various projects like Competitor Analysis, Market Research in Emerging Countries etc.RequirementsMinimum 3 years of experience in business analyst or data analyst role Bachelor’s degree in related field. Proficient in Advanced Microsoft Power BI, Microsoft Access and SPSS/SAS.Good understanding of technical aspects of PowerBI like Data Analysis Expressions (DAX), M Code (PowerBI Query Editor, Advanced Editor), PowerQueryM (formula language)Good to have basic SQLProficiency in Microsoft applications, (Word/Excel/PowerPoint) Excellent written and verbal communication skills. Strong understanding of customer and market dynamics and requirements.This role requires some amount of regional travel (20%)



        
            Show more
          

          



        
            Show less"
Data Analyst,Ninja Van,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-analyst-at-ninja-van-3772981858?position=11&pageNum=0&refId=9xXBPVdveQn2kp%2FdjOcsKg%3D%3D&trackingId=W2CtyWQr1%2BSKOBAz%2BOpBbg%3D%3D&trk=public_jobs_jserp-result_search-card,"Ninja Van is a tech-enabled logistics company on a mission to provide hassle-free delivery services for businesses of all sizes across Southeast Asia. Launched in 2014, we started operations in Singapore and have become the region's largest and fastest growing last-mile logistics company, partnering with over 35,000 merchants and delivering more than 1,000 parcels every minute across six countries.At our core, we are a technology company that is disrupting a massive industry with cutting-edge software and operational concepts. Powered by algorithm-based optimisation, dynamic routing, end-to-end tracking and a data-driven approach, we provide best-of-class delivery services that delight both the shippers and end customers. But we are just getting started! We have much room for improvement and many ideas that will further shape the industry.The Business Intelligence team partners closely with the management team/ business functions to understand their needs and then meet these needs by analyzing and translating relevant data into meaningful, actionable outputs.The team will have broad reach into a variety of teams and projects within Ninja Van. Members of the team must have the ability to gain deep subject matter depth on operational and commercial requirements, synthesizing business knowledge with data methodologies in order to create real and actionable insights. Untangling and understanding business problems, then applying analytical methods and tools to deliver outcomes would be the name of the game.Reporting to the Data Analytics Manager, key activities for the role include defining, reviewing and implementing reporting and monitoring tools to drive performance for business counterparts, both from an operational and financial perspective. In addition, analysts are expected to engage in data projects, using data- driven methodologies to generate output that value- adds to business functions and shapes organizational outcomes/ work plans. Success for this role will be about converting data opportunities into value in partnership alongside relevant business stakeholders.ResponsibilitiesData partner for business stakeholdersCollaborate with stakeholders to understand business needs and translate them into data requirementsMine data and conduct analysis using a variety of analytical methodologies to identify trends, patterns and correlations Concisely communicate analytical findings and recommendations to stakeholders Develop solutions, mainly in the form of reporting/ monitoring tools, to address identified business needsTrain business users on developed data toolsData projectsIdentify business areas or gaps whereby data solutions can potentially generate stepwise improvements to organizational outcomes Conduct analysis to quantify potential benefit to organization, subsequently presenting to key stakeholders to obtain buy- inDevelop data-driven solutions to drive desired outcomesBe involved in the implementation of the solution, ensuring alignment to ground processes and business needs Quantify and develop success matrices to determine success/ impact of projectMaintenance of reports and monitoring toolsPeriodically conduct quality checks on dashboards and reporting tools, ensuring that data logics are updated and relevant to current business needs Requirements1-3 years of relevant experience in a data analytics roleBachelor degree in a quantitative major: Computer Science, Engineering, Mathematics or StatisticsFundamental SQL query experience is required Experience with Python, R (or other tools for statistical analysis) and data visualization tools will be a plusHigh level of self-motivation, with strong desire to deliver quality work that does not compromise with personal standards Sharp analytical abilities and a structured, data-driven approach to clarifying, scoping and solving problemsWell-developed interpersonal skills, strong verbal and written communication skills, able to convince and manage stakeholders through logical, data- driven methodologiesHigh level of organizational and time management skills, and attention to detailSubmit a job applicationBy applying to the job, you acknowledge that you have read, understood and agreed to our Privacy Policy Notice (the “Notice”) and consent to the collection, use and/or disclosure of your personal data by Ninja Logistics Pte Ltd (the “Company”) for the purposes set out in the Notice. In the event that your job application or personal data was received from any third party pursuant to the purposes set out in the Notice, you warrant that such third party has been duly authorised by you to disclose your personal data to us for the purposes set out in the the Notice.
        


        
            Show more
          

          



        
            Show less"
