title,company,location,link,description
Machine Learning (ML) Engineer,Unison Consulting,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/machine-learning-ml-engineer-at-unison-consulting-3833411275?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=%2Fi3FIy4Z7DxOmo1EhCUIoQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Conduct reviews for compliance of the ML models in accordance with overall platform governance principles such as versioning, data / model lineage, code best practices and provide feedback to data scientists for potential improvementsDevelop pipelines for continuous operation, feedback and monitoring of ML models leveraging best practices from the CI/CD vertical within the MLOps domain. This can include monitoring for data drift, triggering model retraining and setting up rollbacksOptimize AI development environments (development, testing, production) for usability, reliability and performanceHave a strong relationship with the infrastructure and application development team in order to understand the best method of integrating the ML model into enterprise applications (e.g., transforming resulting models into APIs)Work with data engineers to ensure data storage (data warehouses or data lakes) and data pipelines feeding these repositories and the ML feature or data stores are working as intendedEvaluate open-source and AI/ML platforms and tools for feasibility of usage and integration from an infrastructure perspective. This also involves staying updated about the newest developments, patches and upgrades to the ML platforms in use by the data science teamsRequirementsDevelop and deploy effective machine learning models, analyze data, and enhance algorithmsCleaning and preparing datasets, training models, and ensuring performance meets defined criteria. Deliverables include accurate and scalable models, clear documentation, and effective communication of insights derived from dataContinuous improvement and optimization of models



        
            Show more
          

          



        
            Show less"
Data Scientist,Dyson,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-scientist-at-dyson-3864820323?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=jkZKjrJWGxEu4p3HhX0LlQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"About UsWe are on an exciting data journey, aiming to transform our business through the Connectivity of our machines, and the MyDyson app.About The RoleThe Data Scientist will drive insights to improve app and machine experiences and create Data Science tools for the business. Responsibilities include creating insight reports, implementing transformative Data Science projects and performing experiments. Additionally, you will contribute to the wider analytics community and build relationships across business functions.You will play an important part in maintaining and improving our Connected Intelligence Platform, Connected Control Tower, and Data science toolset to ensure that the answers to crucial questions can either be self-served or provided through modelling and investigation of the data.About YouProficiency in SQL and PythonProficiency in statisticsExperience in data visualization (Tableau / Looker) and general programmingExperience in building predictive models and working with machine learning techniquesEnthusiasm for solving complex problems and driving business value through data-driven solutionsStrong communication skills and ability to present findings to stakeholders.Enjoy driving business value through data solutionsBenefitsDyson Singapore monitors the market to ensure competitive salaries and bonuses. Beyond that, you’ll enjoy a transport allowance and comprehensive medical care and insurance. But financial benefits are just the start of a Dyson career. Professional growth, leadership development and new opportunities abound, driven by regular reviews and dynamic workshops. And with a vibrant culture, the latest devices and a relaxed dress code reflecting our engineering spirit, it’s an exciting team environment geared to fuelling and realising ambition.Dyson is an equal opportunity employer. We know that great minds don’t think alike, and it takes all kinds of minds to make our technology so unique. We welcome applications from all backgrounds and employment decisions are made without regard to race, colour, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other any other dimension of diversity.



        
            Show more
          

          



        
            Show less"
Data Scientist (Analytics),Grab,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-scientist-analytics-at-grab-3857512699?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=LJofu%2BMy%2BttAaKClccVaZA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Company DescriptionAbout Grab and our workplaceGrab is Southeast Asia’s leading superapp. We are dedicated to improving the lives of millions of users across the region by providing them everyday services such as deliveries, mobility, financial services, enterprise services and others. More than that, we provide the opportunity for them to have a better life. And that aspiration starts inside Grab because we believe in a seamless blend of work and home life, making every aspect of life better for all.Guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles—the 4Hs: Heart, Hunger, Honour and Humility—we work to create economic empowerment for the people of Southeast Asia. With our unwavering commitment to our values, we believe that we're more than a service provider; we're agents of positive change.Job DescriptionGet to know the Team:The Communications product team acts as a horizontal platform tech family to enable Grab, driver and merchant partners and consumers to seamlessly communicate with each other.We handle communication between drivers, consumers and merchants to ensure orders and bookings are completed successfully. We also work on internal tools for marketing and operation teams to shape partner and consumer behaviors through providing relevant information in the most optimal way.The Communications Platform Product Analytics team advances product innovation with analytics and experimentation best practices. We ship a large number of features and that means tuning models, evaluating changes and running experiments to drive better outcomes for our driver partners and millions of customers across South East Asia. We are looking for a passionate senior data scientist to join our growing team.Get To Know The RoleYour role is to help product teams be more data-driven and objective, provide guidance for the design of controlled experiments and influence the direction of our product roadmap with data. You will work with product managers, engineers, designers, and business stakeholders across the company with recommendations on how to learn from unexpected results, study underlying causes for them and iterate on the next set of products to build for our users.The Day-to-Day ActivitiesBe an industry subject matter expert in using data to measure and analyze business/product performance in each of our markets and lines of business.Lead the exploration of business/product issues/opportunities, uncover insights and/or identify targeted areas for growth.Partner closely with the broader product and engineering team to design and analyze experiments that drive key product decisions.Localize, tune in-production models to new cities / markets to enable product velocity.Lead expert teams to rollout effective products/services and to expand Grab’s universe of data for building richer insights.Provide thought leadership and generate data-driven hypotheses to solve key Product/Business problems.Develop mixed effect, causal inference models to understand interaction effects or product configurations that are working sub optimally.Build and manage anomaly detection systems to intelligently alert about slow-moving changes or sudden anomalies in product or system metrics.Develop analytics tools to help data teams and other disciplines be more effective at debugging, data summarization and at analysis of results.QualificationsThe Must-Haves:You have a bachelor’s/master’s degree, preferably in Analytics, Statistics, Software, Mathematics, Economics, Computer Science or Engineering.You are proficient in SQL, Presto, ETL, Power BI, Tableau, Python, and ExcelYou have good analytical skills with the ability to collect, organise, and analyse significant amount of information with attention to detail and accuracyYou have sound knowledge on data models, data mining and segmentation techniquesYou are self-motivated and independent learner who can manage time efficiently in fast-paced and dynamic working environmentYou have a proven track record on crafting analyticsAdditional InformationBenefits at Grab: BenefitsWe care deeply about your well-being and are committed to supporting you every step of the way. Here are some of the global benefits we offer:Protect and provide for your loved ones with peace of mind, knowing we have your back with Term Life Insurance and comprehensive Medical Insurance.Craft a benefits package that suits your unique needs and aspirations with GrabFlex, because we believe in empowering you to thrive.Embrace the magic of new life and create lasting memories with your family through Maternity and Paternity Leave.Life can be overwhelming, but you're never alone. Our confidential Grabber Assistance Programme is here to guide and uplift you and your loved ones through life's challenges.Your well-being is our priority. Benefit from our holistic well-being initiatives through Wellbeing@Grab, including health programmes, informative webinars, and vibrant carnivals.Achieve a harmonious work-life balance with our FlexWork arrangements, allowing you to adapt and thrive in your personal and professional life.We’ve got many different benefits hyper localised in each country. Speak to your recruiter during your interview to find out more.What We Stand For At GrabWe are committed to building an inclusive and equitable workplace that enables diverse Grabbers to grow and perform at their best. As an equal opportunity employer, we consider all candidates fairly and equally regardless of nationality, ethnicity, religion, age, gender identity, sexual orientation, family commitments, physical and mental impairments or disabilities, and other attributes that make them unique. If you require accommodations to fully participate in the recruitment process, you are encouraged to include your request(s) when applying.We deliver the greatest impact and ideas when we bring together diverse perspectives. It is what enables us to spread opportunities to Grabbers and our partners. It’s not a box-ticking exercise; it’s who we are.
        


        
            Show more
          

          



        
            Show less"
Machine Learning Engineer,minden.ai,Singapore,https://sg.linkedin.com/jobs/view/machine-learning-engineer-at-minden-ai-3787772515?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=eiCNhpKpE7Qg3s0VIWbzAg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who we are.minden.ai is a technology venture founded by Temasek in strategic partnership with DFI Retail Group and coalition partners BreadTalk Group, DBS Bank, PAssion Card, Mandai Wildlife Group, Singtel, FoodPanda, GoJek and Great Eastern. We are on a mission to redefine the engagement between brands and consumers in Southeast Asia.The way we work.We believe in hiring different and diverse talents. Inclusive cultures are the foundation for collaboration and innovation within our team. We treat each other with respect. We embrace authenticity and transparency. We pride ourselves on agility and innovation, and believe in embracing continuous learning and self-improvement.We are seeking a self-motivated, solution-oriented and experienced Machine Learning Engineer to join our Product & Engineering Team.In this role, you willDesign and deliver a ML-based pricing system that delights our customers with a hyper-personalised experience.Work closely with data scientists, data engineers and platform engineers to operationalise ML models and serve inferences efficiently, which include automating ML pipelines, performance monitoring and testing.Collaborate with product owners and work backwards from both our customers and partners to define AI/ML features.Be the evangelist for AI/ML through mentoring and technical/knowledge sharing.Participate actively in design and code reviews.You will be a great match if you have:You possess at least 3+ years of experience in software engineering or machine learning engineering.You have programming experience in Python, Java, Pyspark and Scala.You possess knowledge of Big Data frameworks like Hadoop, Spark, Impala, Hive, etcYou have experience in building and optimizing Machine Learning models, pipelines and architectures. You have experience with ML frameworks such as TensorFlow, Keras, PyTorch.You have experience working in an agile environment. You have a bachelor’s degree in Computer Science, Data Science, IT or a related discipline.Powered by JazzHRbOWmm8dhoi
        


        
            Show more
          

          



        
            Show less"
WeChat - Data Scientist (Data Analytics),Tencent,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/wechat-data-scientist-data-analytics-at-tencent-3797548389?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=Ies%2BVr%2FKbgu8vHK16edOiA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"About TencentTencent is an Internet-based platform company founded in Shenzhen, China, in 1998. We use technology to enrich the lives of Internet users and assist the digital upgrade of enterprises. Our mission is ""Value for Users, Tech for Good"". We embrace a culture of teamwork & creativity and are driven by our values - Integrity, Proactivity, Collaboration and Creativity.We are rapidly expanding our international operations and are looking for top talent to propel us forward. Combining the results-oriented nature of a start-up with the resources of a profitable and leading Internet company, Tencent offers a unique opportunity for aspiring individuals to thrive.About WeChatWith over 1.2 billion users worldwide, WeChat is changing the mobile landscape by connecting people, services, and businesses in China and around-the world. The WeChat team in Singapore is responsible for managing and growing our core product including messaging and social networking for users around the world.Join the WeChat team and play an impactful role in keeping people around the world connected, help redefine how people use their mobile devices to communicate and interact online and to better understand user behaviour and preferences of users worldwide.What you will be doing:Identify business problems through data analytics and devise appropriate solutionsBuild user profiling analytics to better help categorize WeChat users and assess their account's safety, engagement, and other user needsBuild and design data dashboards to monitor key metrics and provide other product insightsSupport the Product Team in designing better user flows in order to improve WeChat's user experienceCollaborate with the Legal Team to align data operations to be compliant with relevant data privacy and other best practicesRequirements and Key CompetenciesBachelor degree in Computer Science, Data Science, Mathematics, Economics, or Statistics or similar quantitative fieldAbility to communicate complex ideas to non-technical stakeholders in a way they can easily understand and appreciate.Experience on building machine learning or deep learning solutions is preferredGood knowledge of Python programming language, C/C++/Go programming language is preferredSelf-driven, innovative, collaborative, with good communication and presentation skills, able to translate between business and technical audiencesFluency in both English and Mandarin to deal with international stakeholders and stakeholders who are based in HQ



        
            Show more
          

          



        
            Show less"
Data Scientist,Hudson,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-scientist-at-hudson-3854271298?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=Zd0hpqgrFEYetaMESBZ7wg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Major Foreign-Based Manufacturing Organisation in SingaporeKey Data Role in SingaporeEmployee-Centric EnvironmentOur client is one of the world prominent organisation in manufacturing industry with yearly revenue in billion USD. Now, it is now looking to hire an experienced Data Scientist for its regional Data headquarter in Singapore.Requirements:PhD or Master's degree holder in the relevant field with minimum of 2 years of experience in PHD research or work experience with Data Science, Operation Research, Math Optimization.Individual with Bachelor's degree and at least 5-year of relevant experience will be considered.Profound knowledge and understanding (e.g. application, limitation, challenges) of predictive or/and prescriptive analytics in various business scenarios.Hands-on modelling/coding experience using various tools/libraries (e.g. Fico Xpress, CPLEX, Gurobi, TensorFlow, PyTorch, SciKit-Learn, Keras)Proficiency in programming language (e.g. Python, Java, R) and database programming (e.g. SQL)Domain knowledge in research & development, supply chain, operation planning and/or manufacturing.Self-motivated, proactive, independent learner, and willing to share knowledge with broader data analytics team to build learning R&D culture.Prior work experience in supporting and liaising with peers and supporting business stakeholders in North Asia market especially China.You MUST BE based in Singapore currently and has relevant work experience in Singapore.NOTE: Please do attach your latest resume in your submission. We will not be able to process your application without your resume attachment. Please rest assured that your interest will be treated with strictest confidentiality.Chua Keow Por|Reg. #:R1105253|Hudson Global Resources (Singapore) Pte Ltd| EA Licence #:18S9265



        
            Show more
          

          



        
            Show less"
Data Scientist (recent graduate),Shift Technology,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-scientist-recent-graduate-at-shift-technology-3771920191?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=bX5ivNJs%2Byw%2FJBkM1l3nSQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Did you know that about 10% of all insurance payouts are flowing directly into the pockets of fraudsters? The future of insurance starts with Decisions Made Better.Shift Technology harnesses the power of AI to enable the world’s leading insurance organizations to make better decisions. Our products automate and optimize decisions from underwriting to claims, resulting in increased operational efficiency, reduced costs, and superior customer experiences for millions of people around the globe.Our culture is built on innovation, trust, and a drive to transform the insurance industry by imagining and innovating solutions that impact insurers and their customers - like you! We come from more than 50 different countries and cultures and together we are creating the future of insurance.Shift Technology offers a unique opportunity to brilliant candidates to accelerate their careers in data scienceData scientists work on a broad range of subjects, acquiring a lot of technical and professional experience in data science, data engineering, coding, business understanding and client interactions; skills invaluable in any career.Our company is small enough that each person’s achievements have an impact on overall performance, yet big enough to be a world leader in our domain.We are a fast growing company, the best contributors will grow to managerial or product tech lead positions much more rapidly than in bigger companiesWhat You'll Do...The data science team is in charge of technically delivering the Shift products to clients, the key role in the success of our projects with clients. It is a hands-on job, expect to be doing everything you can imagine from the technical side in an AI company:Implementation of the data engineering, usually from client extracts to the insertion of the data in our data stores (SQL, ElasticSearch)Developing, testing, tuning models and putting them in production for tasks such as fraud detection and automation detection in complex environments.Automate key business tasks by implementing them in our production process framework in C#Conduct meetings with clients and interact with external stakeholders, whether it is direct user feedback, presenting business cases or defining the roadmap of evolutions for that clientYou will actively participate in the definition and development of our suite of products on fraud detection, anti-money laundering and claim automation, working on various data types such as structured data, free text, documents and images.What You Bring...As a result of the range of the role, we are looking for people with diverse skills and proficiencies to help make our customers successful. We are open to people not having exactly all of the required skills, but in each one of those they must be willing to build expertise.As a result, you are:A recent graduate, looking to start your data science career. Early career stage, 1-2 years relevant experience (including internships)Code-savvy, either by having a degree in computer science and/or having developed some apps with actual users, or by willing to spend a lot of time practicing. Writing scripts for models and notebooks is not enough at Shift, we thrive on people who can write maintainable, production-quality code that will run everyday without breaking.AI-savvy, either by having a degree in machine learning and/or statistics or be looking to work on those subjects. Having a clear understanding of statistics and machine learning problems, tasks and common resolutions is important to communicate internally and explain to the client how the product is working.Client facing. You will need to be comfortable, clear and professional when talking to clients during meetings and by email. Expect to talk with a client every other day and grow your communicational and presentational skills!Business smart. We don’t expect candidates to know the insurance sector, but we want people who can learn and master the business aspects of our productsEnglish speakers. We are an international company with offices in many countries and 50+ nationalities, the Shift working language is English.Fluent in a language spoken in South East Asia, of preference Thai or Indonesian. Additionally Malay, Mandarin, or Cantonese.Recruitment ProcessCoding exerciseTalent Acquisition interview Technical interviewHiring Manager interviewTo support our permanent, full time employees at every stage of their careers and lives, we provide a competitive total rewards and benefits package. Here are the global benefits we’d like to highlight:Flexible remote and hybrid working optionsCompetitive Salary and a variable component tied to personal and company performanceCompany equityFocus Fridays, a half-day each month to focus on learning and personal growthGenerous PTO and paid holidaysMental health benefits 2 MAD Days per year (Make A Difference Days for paid volunteering)Additional benefits may be offered by country - ask your recruiter for more information. Intern and Apprentice position are eligible for some of these benefits - ask your recruiter for more details.At Shift we strive to be a diverse and inclusive workforce. We hire and trust people without regard to race, color, religion, marital status, age, national or ethnic origin, physical or mental disability, medical condition, pregnancy, genetic information, gender identity or expression, sexual orientation, or other non-merit criteria.Shift Technology is committed to providing reasonable accommodations for qualified individuals with disabilities in our application and employment process. Should you require accommodation, please email accommodation@shift-technology.com and we will work with you to meet your accessibility needs.Shift Technology does not accept unsolicited CVs from recruiters or employment agencies in response to the Shift Technology Careers page or a Shift Technology social media post. Any unsolicited CVs, including those submitted directly to hiring managers, are deemed to be the property of Shift Technology.



        
            Show more
          

          



        
            Show less"
[Expression of Interest] Data Scientist - Fresh Grad,HoYoverse,Singapore,https://sg.linkedin.com/jobs/view/expression-of-interest-data-scientist-fresh-grad-at-hoyoverse-3844348914?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=EokwAT3G065JIwglbYy7TA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who Are We?At HoYoverse, we are committed to creating immersive virtual world experiences for players around the world. In addition to game products such as Genshin Impact, Honkai Impact 3rd, Tears of Themis, and Honkai: Star Rail, HoYoverse also launched the dynamic desktop software N0va Desktop, the community product HoYoLAB, and created a variety of products such as animations, comics, music, novels, and merchandise around our original creative concept.Adhering to our mission of Tech Otakus Save the World, we have always been committed to technology research and development, exploring cutting-edge technologies, and have accumulated leading technical capabilities in cartoon rendering, artificial intelligence, cloud gaming technology, and other fields.HoYoverse is actively engaged in globalization, with offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas.When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process.What You Will Do: Responsible for developing data-driven risk control solutions and algorithm modeling including but not limited to account security, payment security, and anti-bot scenarios.Apply data mining, data modeling and machine learning to extract risk patterns from raw data into meaningful insights.Monitor and analyze malicious behaviors and risk cases through comprehensive data analytics and visualisation methods.Collaborate with the operation team, business team, R&D team, and data team to design and optimize risk management.What You Will Need:Good understanding of data structures and algorithms.In-depth understanding of common machine learning techniques.Possess strong data analytics skills (with proficiency in Python and SQL).Sensitive to data, logical and rigorous, with data visualization skills.Familiar with large-scale data processing tools (Hive, Spark, Flink) is a plus.Machine learning competition experience with good results is a plus.Strong communication and teamwork skills.Fluent in English and Mandarin to liaise with teams.Note: Currently, we are in the initial stages of exploring potential candidates for this role. This is not a formal job opening and we will only reach out to you upon confirmation of the job requirement.We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team.
        


        
            Show more
          

          



        
            Show less"
AI / ML / Data Engineering,LRDTech,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/ai-ml-data-engineering-at-lrdtech-3701472054?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=iLzn%2FORpTyy3yi5rbCKCOg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who We AreWe are a technology venture backed by Shell, a multinational energy major, dedicated to tackling the most complex issues in the energy sector through groundbreaking research and development in AI and Data Science. Founded in Singapore, our ultimate goal is to establish ourselves as the leading hub for AI and Data Science R&D in Southeast Asia.The Opportunity We are looking for sensible and inquisitive engineers and scientists with a strong background in the fields of artificial intelligence, deep learning, data science/engineering, software development, high-performance computing, applied mathematics and/or physics.As a member of our R&D team, you will have the opportunity to work with some of the brightest and most passionate people in the industry, collaborating on innovative solutions. Your work will have an immediate impact on the energy sector. You will be part of a collaborative and inclusive work environment that values authenticity, integrity, technical mastery, collaboration and impact.Prepare yourself for an intellectually stimulating journey where each day brings fresh challenges and opportunities for growth. You will immerse yourself in continuous learning experiences, honing your technical skills across various subfields such as artificial intelligence, machine learning, HPC, and geoscience. Furthermore, your work holds the potential to be published in esteemed scientific conferences and journals, offering you a platform to share your insights and discoveries with the global community.More specifically, you willConduct applied research and development focused on the core technologies of our companyDesign and develop software libraries tailored to run efficiently on our high-performance computing infrastructure. Apply your domain knowledge and expertise to contribute to high-stakes engineering projects that have a tangible impact in the real world. In line with our performance-driven culture, you will be rewarded with a competitive package with unparalleled performance incentives.Who You AreYou have exceptional analytical and problem solving skills. You are intellectually curious, constantly seeking knowledge and growth. You take strong ownership of your work, proactively ensuring its quality and timely delivery.RequirementsBachelor's or Master's degree in Computing, Science or Engineering with 2 years+ of software development experienceStrong programming skills in Python, specifically in NumPyExperience with development tools such as git, Linux Shell Scripting, vim/emacs, etcPreferred QualificationsProgramming skills in C, C++Experience with parallel computing, system programmingBenefitsWhy Join LRD?LRD offers a conducive work environment in a company culture that values authenticity, integrity, technical skills, teamwork and results. Here are some of the opportunities offered by the position:You are always presented with new challenges to solve intellectually stimulating problems. The work never gets stale, mundane or boringContinuous learning opportunities to develop your technical expertise in many subfields of AI, ML, HPC, geoscience, engineering, etcHave your work recognized with publication opportunities in top scientific conferences and journalsBe rewarded for your contributions with high performance bonuses well above market rate



        
            Show more
          

          



        
            Show less"
Data Science Analyst,PSA International,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-science-analyst-at-psa-international-3840894715?refId=qeMeog4xfRwJyxm%2F5HWaRg%3D%3D&trackingId=PY4HGK4rSbc7S6v61eXv2g%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"As a member of #TeamPSA, you will be part of a diverse and global team at the forefront of creating cargo solutions to enable more agile, resilient, and sustainable supply chains. Experience first-hand and drive supply chain transformation from Singapore and through PSA’s global network of ports, logistics and supply chain solutions. Alongside, we can move the world!  Develop Your Potential: We emphasise and offer exciting rotations, learning and development opportunities, which will fuel your career aspirations and complement your business exposure across our global network. Diverse, Equal Opportunity: We build a sustainable work culture where all our people feel welcome, valued, respected and able to express their ideas and beliefs freely. We believe that diversity of thought and approaches in our workplace makes us stronger as a team. Competitive Compensation & Benefits: We are committed to recognising and rewarding your contributions to the business. Our benefits packages aim to improve your quality of life by providing support for medical, dental, recreation, among others. This role will be an integral part PSA Group Data For Excellence (DFE) team which drives and promotes the application of data science and AI/ML solutions to PSA businesses globally.Job DescriptionsCreate value through developing data analytics solutions that supports PSA global objectives as well as local business requirements.Proactively work with key internal customers associated with new and existing business initiatives to understand, shape, agree and deliver on their data analytics requirements.Responsible for ideation, design, development and deployment of data analytics solutions, descriptive to prescriptive based on the requirements.Select features, build and optimize classifiers using machine learning techniques from large and diverse datasets.Analyse high-volume, high-dimensionality and high-volatility structured and/or unstructured data to obtain business insights and recommendations using statistical techniques and PSA Data Analytics Platform Work and collaborate with data science and data engineering team at all stages of CRISP-DM MethodologyAlign to PSA data policy, data governance standards and best practices and document as requiredSkills RequirementsExpertise in Python programming language, in-depth knowledge of AI/ML libraries/techniques and knowledge in statistical methods useful to develop data analytic solutions for a diverse range of use-cases.Experience in one of the visualization tools, preferably Power BI and experience in building data models/cubes using SSAS or Azure Analysis ServicesFull development lifecycle experience for the data analytics solutions such as business & data understanding, data preparation, model development, visualization, validation and deployment.Experience in developing AI/ML models in supervised, unsupervised and reinforcement machine learning techniques for a variety of data analytics problems. Ability to learn and apply open source data science technologies on large datasets to explore, experiment and generate new insights and develop innovative solutions. A good degree in Computer Science, Statistics, Data Management, Engineering and /or Masters in Business Analytics or a related field.Effective communicator who can work with diverse stakeholders to define requirements, refine data analytics use cases and present the data insights.Strong interpersonal and presentation skills and ability to manage cross cultural differences and sensitivities.ExperienceAt least 4 years of experience as a data science analyst or data scientist in developing data analytics solutions as well as working in a data science team.



        
            Show more
          

          



        
            Show less"
