,Job_ID,url,Job_txt,company,job-title,level,location,posted-time-ago,nb_candidats,scraping_date,posted_date
0,3804727263,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3804727263,"Data Scientist, TikTok Live TikTok Singapore 1 month ago 63 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Scientist, TikTok Live role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Scientist, TikTok Live at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. Team Intro TikTok-Data-Data Science team is responsible for Live growth, ecosystem and revenue strategy analytical work. We work closely with Algorithm team and Product team. The goal of the team is to generate actionable insights from data, driving Live to create an environment that brings communities together in real time to create meaningful and interactive connections around the globe. Our main tasks include metrics defining, root cause analysis, experimentation methodology, strategy evaluation and exploratory analysis to find more opportunities. About the Role The primary role of a Data Scientist is to conduct deep analysis of user behavior and content ecosystems to generate business insights that could be applied to actionable improving initiatives. You will work closely with cross-function teams, such as PM\RD\MLE, to improve user experience and fulfill the growth of TikTok Live Responsibilities 1. Drive insightful understanding of Live users and creators to accelerate better user/creator experience in Live. 2. Keep track of core metrics and attribute metric changes to root causes. 3. Use data and experiments to verify hypotheses around bottlenecks in product growth, and consult on the direction for improvement. 4. Work with MLE and product stakeholders to deLiver product insights and strategy. 5. Explore the potential opportunities via data for Live scale growth, and meanwhile detect and ensure content ecosystem healthy Qualifications Qualifications 1. Master's degree in statistics, econometrics, quantitative sociology or a related scientific major, with 3 years+ of related work experience; 2. Expertise in SQL and programming in Python or R; 3. Knowledge in basic machine learning and deep learning; 4.  Strong analytical and causal reasoning mindset, and rigidity on statistical correctness; 5. Strong communication and teamwork skills. 6. Passion about Live streaming format and curiosity to deep dive. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Research, Analyst, and Information Technology Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,"Data Scientist, TikTok Live",Not Applicable,Singapore,1 month ago,63.0,2024-04-23,2024-03-24
1,3785285094,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3785285094,"Algorithm Engineer - Multimedia Arch - LIVE TikTok Singapore 1 month ago Be among the first 25 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Algorithm Engineer - Multimedia Arch - LIVE role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Algorithm Engineer - Multimedia Arch - LIVE at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. The TikTok Multimedia Arch team is responsible for optimizing TikTok user experience and overall arch cost. This team collaborates with all teams in the TikTok creation and consumption ecosystem to provide end-to-end optimization solutions. We are looking for seasoned software engineers that have strong problem-solving skills and coding skills to build and manage scalable, reliable systems, to design machine learning models and do deep business data analysis. You will have the opportunity to partner closely with globalized engineering and product teams in a high impact and fast-paced environment. Responsibilities: - Design and apply machine learning algorithms and intelligent strategies to optimize the experience of TikTok users and cost efficiency - Conduct offline and online experiments, analyze according data and evaluate to improve algorithms and strategies - Follow up the latest research progress in the fields of related areas and recommendation, search, advertisement system - Work closely with colleagues in product, engineering and data teams Qualifications - Bachelor's degree in Computer Science or a related technical discipline; - 3 years of experience in one or more of the following areas: machine learning, data mining, recommendation systems, search systems, ad systems or other related areas; - Solid experience with data structures and algorithms; - Software development experience through hands on coding in a general programming language; - Fast business understanding and collaborative teamwork. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Research, Information Technology, and Engineering Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,Algorithm Engineer - Multimedia Arch - LIVE,Not Applicable,Singapore,1 month ago,,2024-04-23,2024-03-24
2,3804234540,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3804234540,"Lead Data Scientist TikTok Singapore 1 month ago 72 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Lead Data Scientist role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Lead Data Scientist at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the team The success of data business model hinges on the supply of a large volume of high quality labeled data that will grow exponentially as our business scales up. However, the current cost of data labeling is excessively high. The Data Solutions team is built to understand data strategically at scale for all Global Business Solution (GBS) business needs. Data Solutions Team uses quantitative and qualitative data to guide and uncover insights, turning our findings into real products to power exponential growth. Data Solutions Team responsibility includes infrastructure construction, recognition capabilities management, global labeling delivery management. About the Role: We are looking for the data science manager with strong focus in AI/ML. You will be accountable for driving the innovation and execution of the data science practice. This includes project collaboration with business, providing technical leadership in end-to-end ML practice to ensure SOTA and scalable ML deliverables. What You'll Do: 1. Build and lead the data science team, and establish the DS/ML practice in the team; 2. Design strategic roadmap for long-term data science development, have knowledge of the latest industry technologies and align them with department strategies; 3. Collaborate with business leaders to identify potential areas of data science applications; 4. Oversee all data science projects, provide technical leadership in ideation and execution, identify potential business risks and align on the deliverables; 5. Recruit, onboard and mentor other data scientists; provide career development to other team members. Qualifications 1. Bachelor degree or above in the field of Statistics, Economics, Computer Science or another quantitative field with  industry experience in data science field; 2. Demonstrated excellence in a relevant AI/ML discipline (CV, NLP, ASR, etc.), including experience with ML frameworks such as Tensorflow, PyTorch; 3. Solid knowledge of traditional machine learning algorithms, e.g. regression, classification, unsupervised, AB testing, hypothesis testing, and optimization; 4. Experience in managing end-to-end data science product - data pipeline, model development, model testing and deployment, business integration; 5. Previous experience in managing data science teams. Preferred: 1. Experience in managing the engineering scope, implementation of ML SDLC practice; 2. Strong communication skills, for example demonstrated through documentation and presentations. Able to present findings to senior management to inform business decisions. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Research, Information Technology, and Engineering Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,Lead Data Scientist,Not Applicable,Singapore,1 month ago,72.0,2024-04-23,2024-03-24
3,3885140325,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3885140325,"Data Scientist - Commodities Selby Jennings Singapore, Singapore 2 weeks ago Over 200 applicants See who Selby Jennings has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Scientist - Commodities at Selby Jennings . Email or phone Password Show Forgot password? Sign in Report this job Direct message the job poster from Selby Jennings Ananya Anand Ananya Anand Consultant - Technology at Selby Jennings 
Data | IT | Energy & Commodities Trading Risk Management Our client is a leading player in the LPG industry, covering shipping, trading and distribution. They are looking for a Data Scientist to join their growing Singapore team. Responsibilities of Data Scientist: Gather and analyse data related to LPG trading- freight data, pricing data, market data Responsible for covering trading strategies- backtesting Focusing on creating new trading strategies - specific focus on manual trades Requirements of Data Scientist: Strong experience with Physical, Paper trading Product experience with LPG Good understanding of shipping and freight Selby Jennings is a Trading Style of Phaidon International (License number 16S8194) Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Analyst, Information Technology, and Other Industries Oil and Gas, Wholesale Petroleum and Petroleum Products, and Securities and Commodity Exchanges Referrals increase your chances of interviewing at Selby Jennings by 2x See who you know",Selby Jennings,Data Scientist - Commodities,Mid-Senior level,"Singapore, Singapore",2 weeks ago,,2024-04-23,2024-04-09
4,3825700925,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3825700925,"Data Scientist - 2024 Start TikTok Singapore 1 month ago 182 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Scientist - 2024 Start role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Scientist - 2024 Start at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities TikTok is the leading destination for short-form mobile video. At TikTok, our mission is to inspire creativity and bring joy. TikTok's global headquarters are in Los Angeles and Singapore, and its offices include New York, London, Dublin, Paris, Berlin, Dubai, Jakarta, Seoul, and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the team The success of TikTok's data business model hinges on the supply of a large volume of high quality labeled data that will grow exponentially as our business scales up. However, the current cost of data labeling is excessively high. The Data Solutions team is built to understand data strategically at scale for all Global Business Solution (GBS) business needs. Data Solutions Team uses quantitative and qualitative data to guide and uncover insights, turning our findings into real products to power exponential growth. Data Solutions Team responsibility includes infrastructure construction, recognition capabilities management, global labeling delivery management. We are looking for talented individuals to join us for this future position in 2024. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co-create a future driven by your inspiration with TikTok. Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply. The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. Responsibilities 1. Collaborate with cross-functional teams to define and align AI project goals with business objectives; 2. Create clear and concise documentation for technical and non-technical stakeholders, outlining AI concepts and results; 3. Demonstrate development tasks and analysis results to Product Owner and other teams effectively; 4. Able to break down sophisticated machine learning model knowledge to digestible information for non-technical audiences; 5. Develop innovative solutions and define research requirements, technical choices while ensuring scalability, maintainability, and cost-effectiveness to solve for project goals; 6. Test and evaluate different AI models and algorithms to determine their effectiveness; 7. Optimize model performance through experimentation, hyperparameter tuning, and advanced optimization methods; 8. Design and maintain AI pipelines, including data preprocessing, feature extraction, model training, and evaluation; 9. Conduct research to stay updated on the latest generative AI, machine learning, and deep learning advancements and related technologies, and incorporate new ideas and techniques into the team's work. Qualifications Essential Proficiency: 1. Coding Proficiency: Technical proficiency in Python is required; 2. Effective Communication: Demonstrated strong presentation skills suitable for both technical and non-technical audiences; 3. Analytical Thinking / Problem-Solving Proficiency: Exhibit strong problem-solving skills, capable of both independent work and collaborative teamwork. Professional / Education Background: 1. Graduates: 0-2 years of prior full-time working experience. 2. Relevant Experiences: Either: -Bachelors or Masters in Computer Science, Information Systems, Business Analytics, Data Science or related fields; -Previous internship experiences related to generative AI, machine learning or data science. Additional Preferences: 1. Machine Learning Knowledge: Familiarity with frameworks (PyTorch) & recent advancements in the AI / ML space (e.g. Diffusion models, LLMs); 2. Adaptability to Advancements: Proven adaptability. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. By submitting an application for this role, you accept and agree to our global applicant privacy policy, which may be accessed here: https://careers.tiktok.com/legal/privacy. If you have any questions, please reach out to us at apac-earlycareers@tiktok.com Show more Show less Seniority level Not Applicable Employment type Full-time Job function Research, Information Technology, and Engineering Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,Data Scientist - 2024 Start,Not Applicable,Singapore,1 month ago,182.0,2024-04-23,2024-03-24
5,3630183513,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3630183513,,,,,,,,2024-04-23,
6,3903215762,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3903215762,"Data Scientist (6 months direct contract) Evolution Singapore Singapore, Singapore 2 days ago 80 applicants See who Evolution Singapore has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Scientist (6 months direct contract) at Evolution Singapore . Email or phone Password Show Forgot password? Sign in Report this job Direct message the job poster from Evolution Singapore Steve Ling Steve Ling Divisional Manager - (Tech Recruitment -All levels) | Recruit the best tech talents in the shortest time - We're hiring! About the Company Saas software provider for banks, financial instituitions and fintechs. Democratizing AML insights using a privacy-protected federated learning framework. About the Job You'll analyze business challenges and use data to solve them effectively. Other responsibilities are as follow: Explain the benefits of our solutions to clients in simple terms and use mathematic to choose the best methods for analysis. Play a key role in optimizing our data strategies by applying advanced techniques like combining different models and ensuring accurate predictions. Translate data needs into specific plans and models, ensuring smooth data flow. Documenting processes, training stakeholders, and managing client expectations are all important aspects of this role. Skills & Experiences required You will need min 2 years of experience in predictive analytics/forecasting, demonstrating success in addressing real-world challenges. Other requirements are as follow: Proficiency in Python for developing production-ready code. Experience with Scala is advantageous. Familiarity with big data technologies such as Spark and Hadoop is highly preferred. Knowledge of SQL or other database systems is important for effective data management and analysis. Expertise in transactional anomaly prediction and operational risk modeling is preferred. R1332781 Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries Data Infrastructure and Analytics and Financial Services Referrals increase your chances of interviewing at Evolution Singapore by 2x See who you know",Evolution Singapore,Data Scientist (6 months direct contract),Mid-Senior level,"Singapore, Singapore",2 days ago,80.0,2024-04-23,2024-04-21
7,3827310674,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3827310674,,,,,,,,2024-04-23,
8,3716074825,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3716074825,"User Research Data Scientist, Monetization ByteDance Singapore 1 month ago Over 200 applicants See who ByteDance has hired for this role Apply Join or sign in to find your next job Join to apply for the User Research Data Scientist, Monetization role at ByteDance Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save User Research Data Scientist, Monetization at ByteDance . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities Founded in 2012, ByteDance's mission is to inspire creativity and enrich life. With a suite of more than a dozen products, including TikTok, Helo, and Resso, as well as platforms specific to the China market, including Toutiao, Douyin, and Xigua, ByteDance has made it easier and more fun for people to connect with, consume, and create content. Why Join Us Creation is the core of ByteDance's purpose. Our products are built to help imaginations thrive. This is doubly true of the teams that make our innovations possible. Together, we inspire creativity and enrich life - a mission we aim towards achieving every day. To us, every challenge, no matter how ambiguous, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At ByteDance, we create together and grow together. That's how we drive impact - for ourselves, our company, and the users we serve. Join us. About The Team The Monetization Office supports the strategies and operations of multiple aspects of the business such as advertisement, e-commerce, live streaming, etc. Covering both domestic and global business, we make sure of a sustained and steady growth of revenue, improve the operating workforce and financial capital efficiency, and ensure the safety and compliance of the business. The Data Science team, within the Monetization Office, are involved in all phases of analytics projects to support and optimize Bytedance's monetization business. Coming from diverse disciplines that include business, engineering, mathematics, operations research and statistics, we build data-driven technologies that help align the highest-level corporate strategies with effective day-to-day operations, and unlock business growth potential. As part of the team, you will partner closely with strategy and product teams in a high-impact and fast-paced environment, exploring data and building advanced analytical models to find insights, diagnose problems and tell compelling stories. Responsibilities: What You'll Do Work closely with the User Research team to facilitate studies on how different types of users (such as influencers, streamers, merchants) use our platform. You will lead data-driven projects, from survey data collection to statistical analysis, and share insights that help make decisions; Conduct exploratory data analysis on various datasets to propose innovative solutions. You will utilize statistical and modeling techniques to assess performance, make discoveries, and tackle non-routine analysis problems; Leverage machine learning models to maximize value extraction from high-dimensional and/or text data; Translate analytics and statistical approaches into easily digestible storylines, providing actionable recommendations for executive audiences. Qualifications A Bachelor's degree or higher in technical fields such as Computer Science, Statistics, Data Analytics. We prefer candidates with experience in data analytics and/or UX research in the social media, video, or livestreaming industry. Proficiency in data analysis and statistical analysis tools, including SQL, R, and Python. Familiarity with big data platforms and Machine Learning applications are strong advantages. Strong analytical and reporting skills, coupled with experience in data visualization tools like Tableau or PowerBI. Experience in managing cross-functional execution and delivering impactful results of high quality. You should possess strong communication skills and demonstrate consistent follow-through. ByteDance is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At ByteDance, our mission is to inspire creativity and enrich life. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology, Product Management, and Engineering Industries Technology, Information and Internet Referrals increase your chances of interviewing at ByteDance by 2x See who you know",ByteDance,"User Research Data Scientist, Monetization",Mid-Senior level,Singapore,1 month ago,,2024-04-23,2024-03-24
9,3885132588,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3885132588,,,,,,,,2024-04-23,
