,Job_ID,url,Job_txt,company,job-title,level,location,posted-time-ago,nb_candidats,scraping_date,posted_date
0,3900988093,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3900988093,,,,,,,,2024-04-26,
1,3630973204,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3630973204,,,,,,,,2024-04-26,
2,3908056836,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3908056836,"Data Engineer Astek Singapore, Singapore 1 day ago 184 applicants See who Astek has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Engineer at Astek . Email or phone Password Show Forgot password? Sign in Report this job Astek is proposing an opportunity for Mid level Data Engineer to support our Project based in Singapore. Job Description: Responsible for administering, supporting, monitoring, and tuning the Power BI reporting environment; This involves the management and administration of all components of the Power BI domain, including Power BI on-premises data gateway servers. Design and develop PowerBI dashboards and reports. Develop scalable data pipelines using Data connectors, distributed processing transformations, schedulers, and data warehouse. Troubleshoot and debug issues in production environments. Primarily focus on product evaluation, proof of concept (POC), and deployment in an enterprise-wide scope. Design, develop and maintain efficient and accurate ETL pipelines. Requirements Analysis - evaluate and analyse business requirements gathered to gain a clear understanding of the specification and reason for the request. Combine data from multiple sources into efficient Power BI datasets for use by departmental Data Analysts. Evaluate new data visualization products and tools for enterprise use. Collaborate with cross-functional teams to ensure successful project delivery. Provide application support for data-related issues. Requirements: 5-8 years of experience in a Data Engineer role with strong experience in enterprise data visualization tools, specifically PowerBI . Experience in application support, good communication, and programming skills with experience in coding on scripts. Strong experience in Python. Expertise in Data warehousing/ information Management/ Data Integration/Business Intelligence using ETL tool Informatica PowerCenter. Proficient in Tableau Proficient in Informatica. Ability to work independently and in a team environment. Strong project management and organizational skills. Strong communication skill, both written and verbal. Experience supporting and working with cross-functional teams in a dynamic environment. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology Industries Technology, Information and Media Referrals increase your chances of interviewing at Astek by 2x See who you know",Astek,Data Engineer,Mid-Senior level,"Singapore, Singapore",1 day ago,184.0,2024-04-26,2024-04-25
3,3888556806,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3888556806,,,,,,,,2024-04-26,
4,3809562317,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3809562317,"Big Data Engineer (Libra) - Data Platform TikTok Singapore 1 month ago 75 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Big Data Engineer (Libra) - Data Platform role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Big Data Engineer (Libra) - Data Platform at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities About TikTok TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul, and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. About the team: Libra is a large-scale online one-stop A/B testing platform developed by TikTok Data Platform . Provide experimental evaluation services for all product lines within the company, covering solutions for complex scenarios such as recommendation, algorithm, function, UI, marketing, advertising, operation, social isolation, causal inference, etc. Provide services throughout the entire experimental lifecycle from experimental design, experimental creation, indicator calculation, statistical analysis to final evaluation launch. Support the entire company's business on the road of rapid iterative trial and error, boldly assuming and carefully verifying. What you'll be doing: - Construct PB-level data warehouses, participate in and be responsible for data warehouse design, modeling, and development, etc. - Build ETL data pipelines and automated ETL data pipeline systems. - Build an expert system for metric data processing that combines offline and real-time processing. Qualifications What you should have: Minimum Qualifications - Minimum Bachelor degree in Computer Science or related field - Minimum 5 years of experience in Data Engineering Preferred Qualifications - Proficiency with big data frameworks such as Presto, Hive, Spark, Flink, Clickhouse, Hadoop, and have experience in large-scale data processing. - Fluency in programming languages such as Python, SQL, Java, Scala, and have strong coding abilities. - Experience with data warehouse implementation methodologies, and have supported actual business scenarios. - Work/internship experience in internet companies, and those with big data processing experience are preferred. - Willing to try new technologies and frameworks, and accept new ideas in the field of big data processing. TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Information Technology and Engineering Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,Big Data Engineer (Libra) - Data Platform,Not Applicable,Singapore,1 month ago,75.0,2024-04-26,2024-03-27
5,3884004702,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3884004702,,,,,,,,2024-04-26,
6,3879356294,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3879356294,"Internship - Data Engineer Infineon Technologies Singapore 3 weeks ago 111 applicants See who Infineon Technologies has hired for this role Apply Join or sign in to find your next job Join to apply for the Internship - Data Engineer role at Infineon Technologies Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Internship - Data Engineer at Infineon Technologies . Email or phone Password Show Forgot password? Sign in Report this job The student, under the guidance of an assigned mentor will be supporting the IT FSC department in areas of data analytics, modelling, machine learning and improving databases. In your new role you will: Active participation in data analytics process, including business understanding, data understanding, modelling and visualization Identify data sources and automate ETL Process Feature engineering and analyzing large, complex and multi-dimension database Improve existing machine learning model and databases. Implement, document and present the solution. You are best equipped for this task if you have: On track to attain Bachelors / Masters / PhD in Computer Science / Data Analytics in the field of AI / ML /Data Science Good understanding of computational complexity, data structures, programming languages, design patterns and software architectures. Ability to code in Python and SQL. Keenness to learn and to collaborate effectively within a team Driving decarbonization and digitalization. Together. Infineon designs, develops, manufactures, and markets a broad range of semiconductors and semiconductor-based solutions, focusing on key markets in the automotive, industrial, and consumer sectors. Its products range from standard components to special components for digital, analog, and mixed-signal applications to customer-specific solutions together with the appropriate software. We are on a journey to create the best Infineon for everyone. This means we embrace diversity and inclusion and welcome everyone for who they are. At Infineon, we offer a working environment characterized by trust, openness, respect and tolerance and are committed to give all applicants and employees equal opportunities. We base our recruiting decisions on the applicant´s experience and skills. Please let your recruiter know if they need to pay special attention to something in order to enable your participation in the interview process. Click here for more information about Diversity & Inclusion at Infineon. Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Semiconductor Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and Computer Hardware Manufacturing Referrals increase your chances of interviewing at Infineon Technologies by 2x See who you know",Infineon Technologies,Internship - Data Engineer,Entry level,Singapore,3 weeks ago,111.0,2024-04-26,2024-04-05
7,3891873342,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3891873342,"Data Engineer Intern Razer Inc. Singapore 1 week ago 102 applicants See who Razer Inc. has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Engineer Intern role at Razer Inc. Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Engineer Intern at Razer Inc. . Email or phone Password Show Forgot password? Sign in Report this job Joining Razer will place you on a global mission to revolutionize the way the world games. Razer is a place to do great work , offering you the opportunity to make an impact globally while working across a global team located across 5 continents. Razer is also a great place to work, providing you the unique, gamer-centric  experience that will put you in an accelerated growth, both personally and professionally. Job Responsibilities Intern will be playing a key role in the revamp of existing data pipelines and building new pipelines that are essential for data analyst/data scientist to perform analytics. By studying and understanding the data and pipelines, the intern will perform data profiling, data processing, automation and deployment to ensure that data is reliable and available to our end users. Throughout the process, the intern will learn the skills of proper documentation for these works. Requirements Creative and innovative mindset and ability to work independently Ability to use one or more development language (Python, SQL, Dbt, etc) Familiar with cloud technologies (Amazon Web Services, Google Cloud Platform) Familiar with orchestration tools. Interest and experience in Data Engineering and Analytics Learning Objectives and Outcomes Learning Objectives The intern can learn data operations concept, data engineering skills and understand the wider realm of data engineering. The application of the different cloud computing knowledge can also be picked up. Learning Outcome Industry practices and essentials to writing clean code in Python Industry usage of a proper CI/CD for code repository integration and deployment Pipeline design and boiler plating SQL database schema and table structure design SQL database usage of materialized view, view for operations Cloud computing technology – AWS Infrastructure as code - Terraform Technical requirement gathering and translation to end to end data pipeline Pre-Requisites Creative and innovative mindset and ability to work independently Ability to use one or more development language (Python, SQL, etc) Familiar with cloud technologies (Amazon Web Services, Google Cloud Platform) Familiar with orchestration tools. Interest and experience in Data Engineering and Analytics Are you game? Show more Show less Seniority level Internship Employment type Full-time Job function Information Technology Industries Computers and Electronics Manufacturing Referrals increase your chances of interviewing at Razer Inc. by 2x See who you know",Razer Inc.,Data Engineer Intern,Internship,Singapore,1 week ago,102.0,2024-04-26,2024-04-19
8,3909568923,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3909568923,,,,,,,,2024-04-26,
9,3883819689,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3883819689,,,,,,,,2024-04-26,
10,3869439550,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3869439550,"Data Engineer Intern, Central Data & Analytics myGwork - LGBTQ+ Business Community Singapore, Singapore 4 weeks ago 83 applicants See who myGwork - LGBTQ+ Business Community has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Engineer Intern, Central Data & Analytics role at myGwork - LGBTQ+ Business Community Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Engineer Intern, Central Data & Analytics at myGwork - LGBTQ+ Business Community . Email or phone Password Show Forgot password? Sign in Report this job This inclusive employer is a member of myGwork – the largest global platform for the LGBTQ+ business community. Job Description (Intern) Associate Specialist, Data Engineer, Central Data & Analytics Opportunity to be a part of a Data Engineering team in Singapore! Based in Singapore, the regional hub for Asia Pacific (AP) and top-ranked biopharmaceutical company on The Straits Times and Statista’s list of Best Employers in Singapore for three consecutive years (2020, 2021, 2022). Join the premier biopharmaceutical company that has been in Singapore for more than 25 years and in AP for over 60 years. The intern in Data Engineering will be part of the Central Data & Analytics team, within the CTO organization, and be based in the Singapore Tech Center Office. The candidate will contribute to the overall data & platform engineering related work includes, but not limited to, establishing the platform/infrastructure for data & analytics initiatives, maintenance, and optimization of the infrastructure, building data warehouse/lake house, creation of ETL/ELT pipelines and orchestration of data pipelines. Primary Responsibilities Involvement in the design, build, and support of CTO’s product including the product enhancement and roadmap. Participate in development of our end-to-end data platform including variety of components such as data storage (AWS Redshift, AWS S3, Databricks, Oracle, Teradata or similar), Orchestration (Airflow), Data modeling & Data automation tools (WhereScape), SQL development frameworks (Matillion, dbt) Participate in delivering proof of concepts - short term project engagements - with the goal of contributing to projects use of our products and identify potentially new solutions for platform improvements) Part of the product enablement team – collaborating with product owner, cross product teams and internal stakeholders to manage product backlogs and enhancement of product. Analysis of data sources, proposal of optimal data layer for reporting and description of data transformation. Ensure strong documentations using collaborative tools such as Confluence & JIRA. Conduct end-users training & collect feedback on deliverables to perform impact analysis. Stay current with industry best practices and trends. Required Experience And Skills An analytical problem solver: Strong analytical and problem-solving skills and ability to work with incomplete or imperfect data, including ability to interpret and use the analytics results within the real business context. Demonstrated communication and interpersonal skills, including the ability to make high-level presentations for senior executives is a plus. Persistent and driven: Demonstrate characteristics of a forward thinker and self-motivator that thrives on new challenges and adapts to learning new knowledge. Ability to work in a team is a must. Exposure to programming languages and tools such as SQL, Python, PL/SQL, Java Scripting will be added advantage. Current Employees apply HERE Current Contingent Workers apply HERE Search Firm Representatives Please Read Carefully Merck & Co., Inc., Rahway, NJ, USA, also known as Merck Sharp & Dohme LLC, Rahway, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails. Employee Status Intern/Co-op (Fixed Term) Relocation: VISA Sponsorship Travel Requirements: Flexible Work Arrangements Hybrid Shift Valid Driving License: Hazardous Material(s) Required Skills: Data Analytics, Data Engineering, Data Management, Data Modeling, Data Visualization, Information Management, Information Technology (IT) Infrastructure, Structured Query Language (SQL) Preferred Skills Business Intelligence Implementation, Business Intelligence Implementation, Cloud Computing, Communication, Computer Science, Data Analysis, Data Assessment, Data Infrastructure, Data Monitoring, Data Reporting, Data Research, Data Storage, Data Transformation, Data Warehouse Development, Data Warehouse Software, Digital Analytics, Documentations, Equipment Maintenance, Health Data Analytics, Impact Analysis, Information Systems, Information Technology Strategies, Initiative Activity, Intelligence Reports, IT Infrastructure Operations {+ 12 more} Requisition ID: R287364 Show more Show less Seniority level Internship Employment type Full-time Job function Information Technology Industries Technology, Information and Internet Referrals increase your chances of interviewing at myGwork - LGBTQ+ Business Community by 2x See who you know",myGwork - LGBTQ+ Business Community,"Data Engineer Intern, Central Data & Analytics",Internship,"Singapore, Singapore",4 weeks ago,83.0,2024-04-26,2024-03-29
11,3905162776,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3905162776,,,,,,,,2024-04-26,
12,3879302536,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3879302536,"Data Engineer e2i, Employment & Employability Institute Singapore, Singapore 3 weeks ago 121 applicants See who e2i, Employment & Employability Institute has hired for this role Apply Save Save job Save this job with your existing LinkedIn profile, or create a new one. .  Sign in to save Data Engineer at e2i, Employment & Employability Institute . Email or phone Password Show Forgot password? Sign in Report this job e2i helps our corporate partners to hire Singaporean or Singapore PR and below is our corporate partner's profile: Our partner is the leading global provider of digital, cloud, AI and advisory services, industry solutions and design-led experiences across the Microsoft ecosystem. Job description Translate business requirements to technical solutions leveraging strong business acumen Analyze current business practices, processes and procedures as well as identifying future business opportunities for leveraging Microsoft Azure Data & Analytics PaaS Services Support the planning and implementation of data design services, providing sizing and configuration assistance and performing needs assessments. Deliver of architectures for transformations and modernizations of enterprise data solutions using Azure cloud data technologies. Design and Build Modern Data Pipelines and Data Streams. Design and Build Data Service APIs. Develop and maintain data warehouse schematics, layouts, architectures and relational/non-relational databases for data access and Advanced Analytics. Expose data to end users using PowerBI, Azure API Apps or any other modern visualization platform or experience Implement effective metrics and monitoring processes Job requirement Around 5 years of working experience as a Data Engineer Demonstrated experience in turning business use cases and requirements into technical solutions Experience in business processing mapping of data and analytics solutions Knowledge of business intelligence tools such as Power BI, Tableau, Qlik, Cognos TM1 Knowledge of Azure Data Lake, Azure SQL DW, and Azure SQL, Azure App Service is required. Azure IoT, Azure HDInsight + Spark, Azure Cosmos DB & Azure Stream Analytics are a plus Experience preparing data for use in Azure Machine Learning / Azure Databricks is a plus Only for Singaporean and Singapore PR Show more Show less Seniority level Executive Employment type Full-time Job function Engineering and Information Technology Industries Technology, Information and Media Referrals increase your chances of interviewing at e2i, Employment & Employability Institute by 2x See who you know","e2i, Employment & Employability Institute",Data Engineer,Executive,"Singapore, Singapore",3 weeks ago,121.0,2024-04-26,2024-04-05
13,3837551068,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3837551068,"Data Engineer - Fresh Grad HoYoverse Singapore 1 month ago Over 200 applicants See who HoYoverse has hired for this role Apply Join or sign in to find your next job Join to apply for the Data Engineer - Fresh Grad role at HoYoverse Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Data Engineer - Fresh Grad at HoYoverse . Email or phone Password Show Forgot password? Sign in Report this job Who Are We? At HoYoverse, we are committed to creating immersive virtual world experiences for players around the world. In addition to game products such as Genshin Impact, Honkai Impact 3rd, Tears of Themis, and Honkai: Star Rail, HoYoverse also launched the dynamic desktop software N0va Desktop, the community product HoYoLAB, and created a variety of products such as animations, comics, music, novels, and merchandise around our original creative concept. Adhering to our mission of Tech Otakus Save the World, we have always been committed to technology research and development, exploring cutting-edge technologies, and have accumulated leading technical capabilities in cartoon rendering, artificial intelligence, cloud gaming technology, and other fields. HoYoverse is actively engaged in globalization, with offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas. When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process. What You Will Do: Participate in the construction and optimization of the company's big data infrastructure & big data platform. Provide a one-stop data solution integrating data access, data processing, data visualization, and data application. What We Are Looking For: Bachelor's degree (or above) in Computer Science or related fields. Solid basic computer knowledge, good data structure knowledge and algorithm foundation. Proficiency in Java/Scala programming language, Shell and Python scripting languages as well as using SQL, with good programming habits and literacy. Familiarity with relevant components of the big data ecosystem (such as Hadoop/Hive/Spark/Kafka/Flink/Clickhouse, etc.) is preferred. Broad technical vision, strong thirst for knowledge, willing to learn and try new technologies and tools. Passionate gamer or having a passion for the gaming industry will be highly preferred. We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team. Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Computer Games and Internet Publishing Referrals increase your chances of interviewing at HoYoverse by 2x See who you know",HoYoverse,Data Engineer - Fresh Grad,Entry level,Singapore,1 month ago,,2024-04-26,2024-03-27
14,3872189767,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3872189767,,,,,,,,2024-04-26,
15,3774414029,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3774414029,,,,,,,,2024-04-26,
16,3674173411,https://www.linkedin.com/jobs/collections/recommended/?currentJobId=3674173411,"Big Data Engineer (Global Live) - 2024 Start TikTok Singapore 2 months ago 164 applicants See who TikTok has hired for this role Apply Join or sign in to find your next job Join to apply for the Big Data Engineer (Global Live) - 2024 Start role at TikTok Not you? Remove photo First name Last name Email Password (6+ characters) ,  ,  .   Already on LinkedIn? . .  Sign in to save Big Data Engineer (Global Live) - 2024 Start at TikTok . Email or phone Password Show Forgot password? Sign in Report this job Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Singapore, Jakarta, Seoul and Tokyo. Why Join Us Creation is the core of TikTok's purpose. Our platform is built to help imaginations thrive. This is doubly true of the teams that make TikTok possible. Together, we inspire creativity and bring joy - a mission we all believe in and aim towards achieving every day. To us, every challenge, no matter how difficult, is an opportunity; to learn, to innovate, and to grow as one team. Status quo? Never. Courage? Always. At TikTok, we create together and grow together. That's how we drive impact - for ourselves, our company, and the communities we serve. Join us. Team Introduction The mission of the Data Platform Singapore Business Partnering (DPSG BP) team is to empower the TikTok Business with data. Our goal is to build a Data Warehouse that can cater to batch and streaming data, Data Products that provide useful information to build efficient data metrics & dashboards which will be used to make smarter business decisions to support business growth. If you're looking for a challenging ground to push your limits, this is the team for you! We are looking for talented individuals to join us in 2024. As a graduate, you will get unparalleled opportunities for you to kickstart your career, pursue bold ideas and explore limitless growth opportunities. Co-create a future driven by your inspiration with TikTok. Candidates can apply to a maximum of two positions and will be considered for jobs in the order you apply.  The application limit is applicable to TikTok and its affiliates' jobs globally. Applications will be reviewed on a rolling basis - we encourage you to apply early. - Translate business requirements & end to end designs into technical implementations and responsible for building batch and real-time data warehouse - Manage data modeling design, writing, and optimizing ETL jobs - Collaborate with the business team to building data metrics based on data warehouse - Responsible for building and maintaining data products - Involvement in rollouts, upgrades, implementation, and release of data system changes as required for streamlining of internal practices - Develop and implement techniques and analytics applications to transform raw data into meaningful information using data-oriented programming languages and visualisation software. - Apply data mining, data modelling, natural language processing, and machine learning to extract and analyse information from large structured and unstructured datasets. - Visualise, interpret, and report data findings and may create dynamic data reports as well. Qualifications - Final year or recent graduate with a background in Software Development, Computer Science, Computer Engineering, or a related technical discipline - Solid computer basic knowledge (e.g. data structure & algorithms, SQL and networks); - Strong coding capabilities and mastering at least one programming language (e.g. C/C++/Java/Python/Golang); - Passionate about data warehouse, ETL development and data analysis; - Good communication skills and a fast learner of new business and technology knowledge. - Strong collaboration skills with the ability to build rapport across teams and stakeholders TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We are passionate about this and hope you are too. Show more Show less Seniority level Not Applicable Employment type Full-time Job function Research, Information Technology, and Engineering Industries Entertainment Providers Referrals increase your chances of interviewing at TikTok by 2x See who you know",TikTok,Big Data Engineer (Global Live) - 2024 Start,Not Applicable,Singapore,2 months ago,164.0,2024-04-26,2024-02-26
