title,company,location,link,description
Machine Learning Engineer,minden.ai,Singapore,https://sg.linkedin.com/jobs/view/machine-learning-engineer-at-minden-ai-3787772515?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=dFLynxujPY0DujOY0tuZPw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who we are.minden.ai is a technology venture founded by Temasek in strategic partnership with DFI Retail Group and coalition partners BreadTalk Group, DBS Bank, PAssion Card, Mandai Wildlife Group, Singtel, FoodPanda, GoJek and Great Eastern. We are on a mission to redefine the engagement between brands and consumers in Southeast Asia.The way we work.We believe in hiring different and diverse talents. Inclusive cultures are the foundation for collaboration and innovation within our team. We treat each other with respect. We embrace authenticity and transparency. We pride ourselves on agility and innovation, and believe in embracing continuous learning and self-improvement.We are seeking a self-motivated, solution-oriented and experienced Machine Learning Engineer to join our Product & Engineering Team.In this role, you willDesign and deliver a ML-based pricing system that delights our customers with a hyper-personalised experience.Work closely with data scientists, data engineers and platform engineers to operationalise ML models and serve inferences efficiently, which include automating ML pipelines, performance monitoring and testing.Collaborate with product owners and work backwards from both our customers and partners to define AI/ML features.Be the evangelist for AI/ML through mentoring and technical/knowledge sharing.Participate actively in design and code reviews.You will be a great match if you have:You possess at least 3+ years of experience in software engineering or machine learning engineering.You have programming experience in Python, Java, Pyspark and Scala.You possess knowledge of Big Data frameworks like Hadoop, Spark, Impala, Hive, etcYou have experience in building and optimizing Machine Learning models, pipelines and architectures. You have experience with ML frameworks such as TensorFlow, Keras, PyTorch.You have experience working in an agile environment. You have a bachelor’s degree in Computer Science, Data Science, IT or a related discipline.Powered by JazzHRbOWmm8dhoi
        


        
            Show more
          

          



        
            Show less"
AI / Machine Learning Engineer,AMD,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/ai-machine-learning-engineer-at-amd-3862170770?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=5YXHa1dNPkQZ4l0%2B%2FA%2FsXw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"WHAT YOU DO AT AMD CHANGES EVERYTHINGWe care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences - the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives. AMD together we advance_ THE ROLE: <span style=""margin: 0px; padding: 0px;"" data-ccp-charstyle=""normaltextrun"" data-ccp-charstyle-defn=""{""ObjectId"":""70ff03b2-dda4-4ce7-8c93-d6f40ad5e344|102"",""ClassId"":1073872969,""Properties"":[469775450,""normaltextrun"",201340122,""1"",134233614,""true"",469778129,""normaltextrun"",335572020,""1"",469778324,""Default Paragraph Font""]}"">This is a specialized engineering position responsible for Product Engineering program technical planning for next-generation AMD microprocessors. This individual serves as a critical technical point of contact to the business, design, platform validation and product engineering teams. We have competitive benefit packages and an award-winning culture. Join us!<span style=""margin: 0px; padding: 0px;"" data-ccp-charstyle=""eop"" data-ccp-charstyle-defn=""{""ObjectId"":""70ff03b2-dda4-4ce7-8c93-d6f40ad5e344|103"",""ClassId"":1073872969,""Properties"":[469775450,""eop"",201340122,""1"",134233614,""true"",469778129,""eop"",335572020,""1"",469778324,""Default Paragraph Font""]}""> <span style=""margin: 0px; padding: 0px; color: #000000;"" data-ccp-props=""{""335551550"":1,""335551620"":1}""> <span style=""margin: 0px; padding: 0px; font-size: 12pt; font-family: arial, helvetica, sans-serif;"" data-ccp-props=""{""335551550"":1,""335551620"":1}""> THE PERSON:<span style=""margin: 0px; padding: 0px;"" data-ccp-props=""{""335551550"":1,""335551620"":1}""> The Machine Learning (ML) Engineer is a technical expert for artificial intelligence (AI) development, deployment, and sustained quality. This position works on development within our custom enterprise yield analytics system. The ML engineer works with business owners to automate analytics, acts as a data scientist to scale that automation, works with developers to integrate automation into the enterprise yield analytics system, monitors model and data quality in production, and identifies opportunities for ML and AI application.The ideal candidate will have a strong understanding of both machine learning and statistical principles and algorithms, as well as experience with developing and deploying machine learning models in production environments. KEY RESPONSIBILITIES: Develop expert system and machine learning analytics automation to solve business problemsDeploy machine learning models to a production environmentMonitor and maintain machine learning models in production environmentsWork with engineering analysts and data scientists to understand business requirements and translate them into AI solutionsStay up-to-date with the latest trends and advancements in AI and ML and identify opportunities for the team to implement new models and technologiesPREFERRED EXPERIENCE: Bachelor’s degree in Computer Science, Computer Engineering, Mathematics, or related field8-10 plus of year’s working experienceGood working experience in developing and deploying machine learningExperience with Python, scikit-learn, TensorFlow, or similar machine learning frameworksExperience with cloud computing platforms (AWS, Azure, GCP)Experience with software deployment processes including CI/CD pipelines, Agile methodology, and DevOps/MLOps/DataOpsKnowledge of both machine learning and statistical analysis principles and algorithmsExcellent problem-solving and analytical skillsExcellent communication and teamwork skillsExcellent organizational and time management skillsACADEMIC CREDENTIALS: <li style=""margin: 0px 0px 0px 24px; padding: 0px; font-size: 12pt; font-family: Arial, Arial_MSFontService, sans-serif;"" data-leveltext="""" data-font=""Symbol"" data-listid=""7"" data-list-defn-props=""{""335552541"":1,""335559684"":-2,""335559685"":720,""335559991"":360,""469769226"":""Symbol"",""469769242"":[8226],""469777803"":""left"",""469777804"":"""",""469777815"":""hybridMultilevel""}"" aria-setsize=""-1"" data-aria-posinset=""2"" data-aria-level=""1"">Bachelor’s or Master’s in computer engineering or computer science or electrical engineering, or comparable disciplines<span style=""margin: 0px; padding: 0px; color: #000000;"" data-ccp-props=""{""201341983"":0,""335559740"":252}""> <span style=""margin: 0px; padding: 0px; color: #000000;"" data-ccp-props=""{""201341983"":0,""335559740"":252}"">LOCATION:<span style=""margin: 0px; padding: 0px; color: #000000;"" data-ccp-props=""{""201341983"":0,""335559740"":252}"">Singapore <span style=""margin: 0px; padding: 0px; color: #000000;"" data-ccp-props=""{""201341983"":0,""335559740"":252}""><span style=""margin: 0px; padding: 0px; color: #000000;"" data-ccp-props=""{""201341983"":0,""335559740"":252}"">#<span style=""margin: 0px; padding: 0px; color: #000000;"" data-ccp-props=""{""201341983"":0,""335559740"":252}"">LI-HYBRID Benefits offered are described:  AMD benefits at a glance. AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law.   We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process.



        
            Show more
          

          



        
            Show less"
"Software Engineer, Machine Learning",Meta,Singapore,https://sg.linkedin.com/jobs/view/software-engineer-machine-learning-at-meta-3845336979?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=GND4YvN8zNFQQ8TaTGYGSg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are hiring ML engineers and research scientists at all levels to build state-of-the-art recommendations on Facebook for both News Feed and Video & Reels. Videos (Reels, long videos, and Live streams) are increasingly the formats of choice across the social media industry. In addition, AI-recommended content from accounts you don't follow is now the fastest growing category of content on Facebook's feed. Making all these formats & product surfaces successful is a top priority for Facebook.Software Engineer, Machine Learning Responsibilities:Play a critical role in setting the direction and goals for a sizable team, in terms of project impact, ML system design, and ML excellenceUnderstand industry & company-wide trends to help assess & develop new technologiesRe-evaluate the tradeoffs of already shipped features/ML systems, and you are able to drive large efforts across multiple teams to reduce technical debt, designing from first principles when appropriateLeading a team from a technical perspective to develop ML best practices and influence engineering cultureBe a go-to person to escalate the most complex online/production performance and evaluation issues, that require an in depth knowledge of how the machine learning system interacts with systems around itSuggest, collect and synthesize requirements and create effective feature roadmapMinimum Qualifications:Experience with developing machine learning models at scale from inception to business impactExperience leading projects with industry-wide impactVast experience communicating and working across functions to drive solutionsExperience demonstrating technical leadership working with teams, owning projects, defining and setting technical direction for projectsSignificant experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, NLP, data mining, or artificial intelligenceKnowledge developing and debugging in C/C++ and Java, or experience with scripting languages such as Python, Perl, PHP, and/or shell scriptsBachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience.Preferred Qualifications:Exposure to architectural patterns of large scale software applicationsExperience in shipping products to millions of customers or have started a new line of productAbout Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.
        


        
            Show more
          

          



        
            Show less"
Data Scientist / Data Analyst,CHARLES & KEITH GROUP,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/data-scientist-data-analyst-at-charles-keith-group-3817865768?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=IPRMY4g81v4QFfXFtocFMg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job Overview:​We are seeking a highly skilled and motivated Data Analyst/Data Scientist to join our dynamic team. The ideal candidate will be passionate about turning data into actionable insights and have a proven track record of using data to drive growth and efficiency. ​Key Responsibilities:​Design, develop, and maintain Power BI dashboards and reports that consolidate data from various sourcesGather business requirements from end-users and translate them into technical specifications to build robust, scalable, and high-performance BI solutionsPerform statistical analysis and use machine learning techniques to build predictive models.Communicate findings and insights to stakeholders using visualization tools and presentationsRequirements:​Bachelor's/Master’s degree in Computer Science, Mathematics, Economics, Statistics, or a related fieldProven experience as a Power BI Developer or similar roleStrong understanding of BI technologies and experience in data analysis and reportingStrong knowledge of and experience with databases (SQL, etc.), programming (e.g., Python, R), and ETL frameworksExperience with common data science toolkits, such as Pandas, NumPy, Matplotlib, Scikit-learn; experience with TensorFlow or PyTorch is a plusExcellent written and verbal communication skills



        
            Show more
          

          



        
            Show less"
AI / Machine Learning Engineer,AMD,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/ai-machine-learning-engineer-at-amd-3834856382?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=9n089t3wz%2BT%2FCiCIpOGuQg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"WHAT YOU DO AT AMD CHANGES EVERYTHINGWe care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives.AMD together we advance_The RoleThis is a specialized engineering position responsible for Product Engineering program technical planning for next-generation AMD microprocessors. This individual serves as a critical technical point of contact to the business, design, platform validation and product engineering teams. We have competitive benefit packages and an award-winning culture. Join us! The PersonThe Machine Learning (ML) Engineer is a technical expert for artificial intelligence (AI) development, deployment, and sustained quality. This position works on development within our custom enterprise yield analytics system. The ML engineer works with business owners to automate analytics, acts as a data scientist to scale that automation, works with developers to integrate automation into the enterprise yield analytics system, monitors model and data quality in production, and identifies opportunities for ML and AI application.The ideal candidate will have a strong understanding of both machine learning and statistical principles and algorithms, as well as experience with developing and deploying machine learning models in production environments.Key ResponsibilitiesDevelop expert system and machine learning analytics automation to solve business problemsDeploy machine learning models to a production environmentMonitor and maintain machine learning models in production environmentsWork with engineering analysts and data scientists to understand business requirements and translate them into AI solutionsStay up-to-date with the latest trends and advancements in AI and ML and identify opportunities for the team to implement new models and technologiesPreferred ExperienceBachelor’s degree in Computer Science, Computer Engineering, Mathematics, or related field8-10 plus of year’s working experienceGood working experience in developing and deploying machine learningExperience with Python, scikit-learn, TensorFlow, or similar machine learning frameworksExperience with cloud computing platforms (AWS, Azure, GCP)Experience with software deployment processes including CI/CD pipelines, Agile methodology, and DevOps/MLOps/DataOpsKnowledge of both machine learning and statistical analysis principles and algorithmsExcellent problem-solving and analytical skillsExcellent communication and teamwork skillsExcellent organizational and time management skillsAcademic CredentialsBachelor’s or Master’s in computer engineering or computer science or electrical engineering, or comparable disciplines LOCATION:SingaporeBenefits offered are described: AMD benefits at a glance.AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process.



        
            Show more
          

          



        
            Show less"
Software Engineer - Fresh Graduate,Virtusa,"Kallang, Central Singapore Community Development Council, Singapore",https://sg.linkedin.com/jobs/view/software-engineer-fresh-graduate-at-virtusa-3832387609?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=8jZQojw3%2BvNXwhRGBCqZWQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a passionate Software Engineer to design, develop and install software solutions.Excellent designing and programming skills.Knowledge of programming languages and process management methodology.Knowledge of test methodologies and their corresponding tools.The ability to recognize risks and errors in an application.Excellent verbal and written communication skills.Good time management and organizational skills.The ability to keep current with the constantly changing technology industry.
        


        
            Show more
          

          



        
            Show less"
"Software Engineer, Machine Learning",Meta,Singapore,https://sg.linkedin.com/jobs/view/software-engineer-machine-learning-at-meta-3845338634?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=hmmHQHEpk4KpvPVAWJMUuw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are hiring ML engineers and research scientists at all levels to build state-of-the-art recommendations on Facebook for both News Feed and Video & Reels.Videos (Reels, long videos, and Live streams) are increasingly the formats of choice across the social media industry. In addition, AI-recommended content from accounts you don't follow is now the fastest growing category of content on Facebook's feed. Making all these formats & product surfaces successful is a top priority for Facebook.Software Engineer, Machine Learning Responsibilities:Leading projects or small teams of people to help them unblock, advocating for ML excellence.Code deliverables in tandem with the engineering teamUnderstand industry & company-wide trends to help assess & develop new technologiesSuggest, collect and synthesize requirements and create effective feature roadmapsMinimum Qualifications:5+ years of experience with developing machine learning models at scale5+ years of experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, data mining, artificial intelligence, or a related technical field.Knowledge developing and debuggingTrack record of setting technical direction for a team, driving consensus and successful cross-functional partnershipsBachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experiencePreferred Qualifications:Masters degree or PhD in Computer Science or a related technical fieldExposure to architectural patterns of large scale software applicationsExperience in shipping products to millions of customers or have started a new line of productAbout Meta:Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics.
        


        
            Show more
          

          



        
            Show less"
Software Engineer - JR063,Unison Consulting,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/software-engineer-jr063-at-unison-consulting-3794128273?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=qn4JcJlmQKTteLDPUoFivw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,
Python Software Engineer,Procter & Gamble,"Singapore, Singapore",https://sg.linkedin.com/jobs/view/python-software-engineer-at-procter-gamble-3797311590?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=p5sH4SlPpRMXFv%2FXKyZ9jg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Job LocationSingaporeJob DescriptionOverview of the jobAre you a Software Engineer with strong Python/PySpark skills, deep understanding of Azure cloud-based AI environments and experience with CI/CD? Procter & Gamble is looking for an AI Engineer to partner closely with our Data Scientists on exciting business use cases in the retail, marketing and supply chain areas. In this role you would be working closely with data scientists to Scale algorithms as well as define platforms, architectures and best practices to enable rapid development and deployment of algorithmic solutions.Your teamThis role will work closely with team of Data Scientists and AI Engineering peers in AMA. Role will also connect with Global AI Engineering/Data Engineering organization to drive best practices to build AI products.Responsibilities Of The RoleAs a Python Software Engineer at P&G, you will:Operationalize AI models as integral element of IT solutions & business processes.Implement best Software Engineering practices to make cloud infrastructure “invisible” for data scientists and developers.Work on advanced analytics use cases together with Data Scientists, Analysts, peer AI Engineers; engages in proof of concepts and experiments together to deliver new analytical algorithms and applicationsPrepare data models and quality checks, optimizes analytical solutions at scaleDesign and develop applications that source data from various systems, programming in Python and SQLSupport solutions in multi-cloud environments and services – in Azure (e.g. Databricks, Azure ML, AKS, ADF).Operate according to DevOps practices, Agile (Jira), uses CI/CD (GitHub Actions), increases reusability of code and design patterns from internal code librariesTroubleshoot infrastructure related issues to enable most critical Artificial Intelligence products at P&GCreate proactive incident detection systems based on multiple data sets, real-time data stream analyses.Craft and develops proof of concept or prototypes for new features or solutions.Suggest and implements architecture improvements.Strengthen DevOps best practices within AI Engineering by coaching/teaching others.Job QualificationsA Bachelors or Master’s degree in Computer Science, Software Engineering or related field2+ years proven cloud & engineering experience in development and deployment of Data and Analytics products.Strong Python programming to write clean, maintainable code for building Data and Analytics products.Practical experience in Test-Driven Development in Python to build strong unit tests in PyTest testing FrameworkExperience in Agile, CI/CD and DEVOPS methodologies – knowledge of using appropriate tools – e.g. Jira, GitHub Actions / Azure Devops / Jenkins, unit testing (e.g. PyTest) & mocking, static code analysis (e.g. Sonarqube), source control management tools (e.g. GitHub)K8 and connected technologies (Helm, Kustomize.io, etc.) knowledgeLogging and monitoring technologies knowledge (depending on the needs, from Logstash to Grafana, Kibana, fluentd)CICD processes knowledge and development using GitHub Actions and GitHubInfrastructure build tools and languages knowledge – Terraform, AnsibleStrong written and verbal communication in EnglishPreferred SkillsExperience with development and deployment of AI products to production.Expert level Python development experience.Experience developing and deploying production software.A history of solving hard problems with creative solutions.Experience with cloud native development on Microsoft Azure, Amazon Web Services.Experience with source control management tools (GitHub)Desire to write testable code, and the test coverage to go along with it.CI/CD tools knowledge and experience, familiar working in a DevOps environment.Strong problem-solving skills paired with experience in programming.Ability to communicate technical concepts to teammates and non-technical colleagues.About UsWe produce globally recognized brands and we grow the best business leaders in the industry. With a portfolio of trusted brands as diverse as ours, it is paramount our leaders are able to lead with courage the vast array of brands, categories and functions. We serve consumers around the world with one of the strongest portfolios of trusted, quality, leadership brands, including Always®, Ariel®, Gillette®, Head & Shoulders®, Herbal Essences®, Oral-B®, Pampers®, Pantene®, Tampax® and more. Our community includes operations in approximately 70 countries worldwide.Visit http://www.pg.com to know more.Our consumers are diverse and our talents - internally - mirror this diversity to best serve it. That is why we’re committed to building a winning culture based on Inclusion and our ideal candidate is passionate about the same principle: you will join our daily effort of being “in touch” so we craft brands and products to improve the lives of the world’s consumers now and in the future. We want you to inspire us with your unrivaled ideas.We are committed to providing equal opportunities in employment. We do not discriminate against individuals on the basis of race, color, gender, age, national origin, religion, sexual orientation, gender identity or expression, marital status, citizenship, disability, veteran status, HIV/AIDS status, or any other legally protected factor.Job ScheduleFull timeJob NumberR000096540Job SegmentationExperienced Professionals (Job Segmentation)
        


        
            Show more
          

          



        
            Show less"
[Expression of Interest] Data Scientist - Fresh Grad,HoYoverse,Singapore,https://sg.linkedin.com/jobs/view/expression-of-interest-data-scientist-fresh-grad-at-hoyoverse-3844348914?refId=YplPB4MP6AzIRQNYvyLMrg%3D%3D&trackingId=SkHVbpE000sEK351hArUCA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"Who Are We?At HoYoverse, we are committed to creating immersive virtual world experiences for players around the world. In addition to game products such as Genshin Impact, Honkai Impact 3rd, Tears of Themis, and Honkai: Star Rail, HoYoverse also launched the dynamic desktop software N0va Desktop, the community product HoYoLAB, and created a variety of products such as animations, comics, music, novels, and merchandise around our original creative concept.Adhering to our mission of Tech Otakus Save the World, we have always been committed to technology research and development, exploring cutting-edge technologies, and have accumulated leading technical capabilities in cartoon rendering, artificial intelligence, cloud gaming technology, and other fields.HoYoverse is actively engaged in globalization, with offices in Singapore, Montreal, Los Angeles, Tokyo, Seoul, and other areas.When you apply to a position with HoYoverse, we will process your personal data. To learn more about how we process your data, we encourage you to review our comprehensive Global Applicant and Candidate Privacy Policy. This policy provides detailed insights into how your information is collected, used, and protected throughout the application process.What You Will Do: Responsible for developing data-driven risk control solutions and algorithm modeling including but not limited to account security, payment security, and anti-bot scenarios.Apply data mining, data modeling and machine learning to extract risk patterns from raw data into meaningful insights.Monitor and analyze malicious behaviors and risk cases through comprehensive data analytics and visualisation methods.Collaborate with the operation team, business team, R&D team, and data team to design and optimize risk management.What You Will Need:Good understanding of data structures and algorithms.In-depth understanding of common machine learning techniques.Possess strong data analytics skills (with proficiency in Python and SQL).Sensitive to data, logical and rigorous, with data visualization skills.Familiar with large-scale data processing tools (Hive, Spark, Flink) is a plus.Machine learning competition experience with good results is a plus.Strong communication and teamwork skills.Fluent in English and Mandarin to liaise with teams.Note: Currently, we are in the initial stages of exploring potential candidates for this role. This is not a formal job opening and we will only reach out to you upon confirmation of the job requirement.We are an equal opportunity employer that believes diverse backgrounds are key to bringing our concepts to life. If you're looking to play a key role in creating the best immersive virtual world experience for our users, we invite you to join our team.
        


        
            Show more
          

          



        
            Show less"
