company_name,recruiter_name,job_title,location,employment_type,job_level,job_function,salary_lower,salary_upper,salary_period,num_applications,posted_date,address,experience,closing_date,job_description
CPG CORPORATION PTE LTD,CPG CONSULTANTS PTE LTD,Senior / Engineer (Applications and Data Analytics),West,Contract,Executive,Architecture / Interior Design,1.0,,Posted today,1,02 Apr 2024,"WESTGATE TOWER, 1 GATEWAY DRIVE 608531",3,02 May 2024,"Roles & Responsibilities
Job Responsibilities:

This role will be responsible for developing, implementing, and maintaining applications that leverage data analytics to drive business insights. The candidate should have a strong background in both software development and data analytics, with the ability to create robust and scalable solutions.

Job Requirements:
IT-related Degree/Diploma and other Certifications.
3 or more years of experience in Applications development /Data analytics.
Proficiency in programming languages such as .NET / C#.
Strong understanding of Database Management Systems such as MS SQL.
Familiarity in deploying Applications on Azure and IIS Web Servers.
Familiarity with Data Analytics programming and tools such as Python, Talend, PowerBI, Tableau.
Proficiency in MS SharePoint, Word Press, Joomla and Low-code tools would be added advantage.
Excellent problem-solving and analytical skills.
Effective communication and collaboration abilities."
TENTEN PARTNERS PTE. LTD.,,Financial Crime Compliance Analytics Manager,Central,Permanent,Executive,Banking And Finance,1.0,,Posted today,1,02 Apr 2024,"MYP CENTRE, 9 BATTERY ROAD 049910",3,02 May 2024,"Roles & Responsibilities
Job Description:

Our client, a global financial firm, is seeking a highly skilled and experienced FCC Data analytics manager to join their dynamic team. As a FCC Data analytics manager, you will play a crucial role in building and enhancing their AML monitoring frameworks, implementing transaction monitoring surveillance systems, and utilizing quantitative analytics to improve the effectiveness of our AML system. You will gain the opportunity to work with skllful global leaders, establishing and pioneering the ever-growing financial industry.

Responsibilities:
Develop and implement transaction monitoring surveillance systems and customer risk rating models.
Conduct innovative research and design on AML monitoring frameworks using quantitative analytics and data techniques.
Develop engines for automatic AML detection threshold tuning to ensure quick reaction to continuous risk changes.
Provide quantitative analytics support to compliance officers during regulatory visits and enquiries.
Collaborate with Product & Technology team to improve model effectiveness and extend AML defense line through AI and ML applications.
Govern anti-money laundering-related risks and formulate identification/disposal strategies.
Conduct suspicious transaction analysis and write risk/model assessment reports.
Requirements:
Bachelor's degree or above in computer science/engineering, statistics, mathematics, finance, or similar fields.
At least 3 years' experience in AML/risk control/fraud management in financial or payments industry,consulting firms, or similar industries.
Familiarity with domestic and international AML regulatory requirements and money laundering features, motions, and patterns.
Proficiency in data handling coding (e.g., SQL) and at least one professional analytics tool such as SAS, Python, etc.
Strong project management skills and ability to lead teams to achieve business goals.
Excellent communication skills, ability to work under pressure, and a result-oriented mindset.
Ability to speak in Mandarin"
COMPIT CONSULTANTS PTE LTD,,Data Engineer,Islandwide,Contract,Professional,Consulting,0.0,,Posted today,0,02 Apr 2024,,5,02 May 2024,"Roles & Responsibilities
We are looking Data Engineer with below skills

Core Java

• Fundamental knowledge of distributed architectures, SOA, Micro-services, PaaS

• Good knowledge of data manipulation using distributed data processing systems such as Spark SQL

• Required to have good SPARKS skills

• Hands-on experience on HDFS (Hadoop), spark, impala, hive, as well as database technology

• Source Code Control (experience with Git preferred)

• Able to perform Unix / Linux scripting

• Knowledge in Distributed computing, Big Data Analytics, Data Transformation

• Relevant industry experience in large scale crawling on cloud platforms would be favourably considered

• Computer Science fundamentals in algorithm design, problem-solving, and complexity analysis

Please share resume to hr@compit.com.sg, prabhu@compit.com.sg, hr@elakk.com"
ADECCO PERSONNEL PTE LTD,,Data Analytics,Central,Contract,Executive,Junior Others,4.0,,Posted today,4,02 Apr 2024,"SHAW CENTRE, 1 SCOTTS ROAD 228208",2,16 Apr 2024,"Roles & Responsibilities
Develop and improve on the existing dabashboard via Power BI;
Assist the MH, IC and BM team on providing proposed investment opportunities for targeted clients using data , performing macro client analysis, pitchbook and trading insights
Assist with the development of targeted clients for specific investment opportunities using data
Assist in interpreting data & analysing results to glean good insights on opportunities and gaps in business
Design intelligence report on prospects / clients to enable better insights pre-meeting
Key Skills and Requirements
Any of the following technical skills will be useful:
Power BI, SQL and any programming knowledge will be preferred
With working experience in Bank will be an advantage
General skills Preferred:
Qlikview, Powerpoint, Words, Excel, Power BI"
EPS CONSULTANTS PTE LTD,,Research and Data Maintenance Executive (6 Months Contract),Central,Contract,Executive,Admin / Secretarial,0.0,,Posted today,0,02 Apr 2024,160 ROBINSON ROAD 068914,1,02 May 2024,"Roles & Responsibilities
6-Month contract, highly renewable
Location: West
Job Description
Input up-to-date research findings and prospect data into donor's database.
Conduct simple research on prospective donors using public sources to help identify new individuals and corporates who could donate, and to help compile profiles to prepare fundraisers.
Compile and update donation and fund related information in the departments CRM database.
Provide support in preparation of data for development of new data analytics projects, e.g., studying effectiveness of email content.
Other basic database admin connected to prospects and donors.
Job Requirements:
Minimum A-Levels/Diploma qualification
Possess experience working on databases and reviewing and collating quantitative data or qualitative information from public sources.
Possess some research experience and skills (e.g. academic/study research, market research, fundraising research).
Knowledge of MS Office applications including MS Excel and Word.
Ability to work on tight deadlines and work independently and in a team.
Demonstrate resourcefulness and flexibility.
Interested applicants, please submit your updated resume in MS WORD format via Apply Now for immediate processing. Do include your availability, last drawn & expected salary.
**We regret that only shortlisted candidates will be notified. Thank you.
Ashlynn | R21100397"
NATIONAL UNIVERSITY HEALTH SYSTEM PTE. LTD.,,(Senior) Executive / Assistant Manager - NCIS (Data),South,Full Time,Executive,Healthcare / Pharmaceutical,0.0,,Posted today,0,02 Apr 2024,1E KENT RIDGE ROAD 119228,1,02 May 2024,"Roles & Responsibilities
Career in the Hospital

Join our incredible team at the National University Hospital (NUH), where we
believe that a hospital is more than just a workplace. Every day, we witness the
remarkable impact that our healthcare professionals can have on individuals, families, and entire communities.At NUH, we are driven by a shared purpose – to lend a helping hand to those in need, to be a source of support and healing, and to empower patients to live their best lives.

We are looking for passionate and committed individuals to join us as we transform lives and create a lasting impact in the lives of our patients. The impact you make at NUH will be profound, regardless of the role you take up in the hospital.

About NUH

The National University Hospital (NUH) is Singapore’s leading university hospital, with a proud heritage dating back to 1905 with the establishment of what’s now the NUS Yong Loo Lin School of Medicine. Our strong ties with the medical school have shaped us into a unique institution, allowing us to seamlessly integrate clinical. care with teaching and research. As a university hospital, we go beyond the realm of providing tertiary medical care. We are a hub of knowledge and innovation, attracting healthcare professionals who are passionate about pushing boundaries and making significant contributions to the field.

About Department and Purpose of the Position The National University Cancer Institute, Singapore (NCIS) is a national specialist centre under the National University Health System (NUHS). It is the only public cancer centre in Singapore treating both paediatric and adult cancers in one facility. We are looking for a business intelligence analyst/scientist in NCIS to manage corporate data and informatics needs to support cluster, departments, and specialties within NCIS. Responsibilities also involve overseeing the informatics team and support in ground operation projects.

Key Responsibilities
Primary Responsibilities and Duties (80%) Working with stakeholders and users, perform data analysis, trend observations and derive actionable insights to drive improvement initiatives.
Ensure proper extraction, validation, and storage of data from various systems.
Conceptualise and develop operational dashboards to meet the business needs and to provide quality oncology care.
Work with the team to design and architect the workflow of the data and algorithms including data input, output and storage between varioushealth IT systems.
Perform data analytics and/or data mining from various systems
Collate clinical and management information for the department and hospital.
Provide regular updates highlighting concerns to Section Heads and Headof Department.
Secondary Responsibilities and Duties (20%)

Manage IT projects and/or new system implementation.
Oversee design, development, and maintenance of in-house application systems.
Track department's servers, workstations, and end-user equipment.
Collate annual budget for IT systems,equipment, and software. Coordinate acquisition and implementation.
Assess operational needs and recommend and implement IT solutions.
Oversee Informatics team and ensure staff meet KPIs.
Perform other assignments as delegated by Sections Head and Head of Department.

Key Requirements:
A recognised degree in Mathematics, IT or Data Analytics with at least 4 years of relevant experience
Good system and data analysis and reporting skills.
Knowledge in data visualisation / analytical / statistical tools (e.g., Tableau, R, Python) will be an advantage.
Good organisational and interpersonal skills
Practical knowledge of hospital operations, medical systems/applications, data analytics would be an advantage.
Closing & Applications

When you join NUH, you become part of a dynamic and collaborative environment where expertise, knowledge, and compassion all come together.
Working in healthcare offers satisfaction that extend far beyond the ordinary. The smiles of gratitude from patients and the profound sense of fulfilment that comes from helping others cannot be measured. It is a career that allows for both personal and professional growth. The challenges you encounter in this rapidly evolving industry push you to constantly expand your knowledge and skills, as well as encourage lifelong learning.Be a part of a team that gets to create a transformative healthcare experience for our patients and professionals alike."
NEW TONE CONSULTING PTE. LTD.,,Data Scientist,Central,Contract,Executive,Non-Information Technology,13.0,,Posted today,13,02 Apr 2024,"TOKIO MARINE CENTRE, 20 MCCALLUM STREET 069046",2,02 May 2024,"Roles & Responsibilities
Join our dynamic team as we embark on pioneering advancements in data science and advanced analytics. As a key member, you'll play a crucial role in driving insights, value, and innovation from data, shaping the future of revenue collection systems.

Main Responsibilities:
Define data science and advanced analytics requirements, create data exploitation models, recommend tool selection, and collaborate closely with Revenue Collection system Business Leads and Experts to derive insights and value from data.
Planned, executed, and delivered advanced data analytics and scenario modelling.
Lead activities for use case capture, model building, problem analysis, data exploration, and integration.
Research existing products and machine learning/deep learning models, propose improvements and industrialize the product.
Participate in model demonstration and validation with end customers, providing analysis and evidence of model performance for production and operation.
Collaborate with the product leader, domain expert, and software development team to ensure successful delivery.
Requirements:
Bachelor's or Master's Degree in Data Science or related field.
Minimum 2 years of experience in artificial intelligence algorithms with a proven track record in implementing Deep learning solutions.
Previous experience in an innovation environment is advantageous.
Understanding of algorithm design and development, from database preparation to algorithm industrialization.
Experience in developing and deploying computer vision algorithms for real-world applications.
Proficiency with Python, TensorFlow, Keras, PyTorch, Pandas, Jupyter Notebook, and GitLab.
Experience in software development, MLOps, and data engineering (ETL pipeline implementation) using Spark, Flink, or Pandas is highly recommended.
Previous experience in Mass Rapid Transport systems such as fare collection or Metro station data analytics systems is highly recommended.
Previous experience in video analytics, performance, and image process optimization is desirable.
Strong analytical and problem-solving skills.
Excellent project and time management skills with experience in Agile techniques.
Ability to work both independently and in a team."
MAESTRO HUMAN RESOURCE PTE. LTD.,,Data Platform Engineer (AMK),Islandwide,Permanent,Executive,Information Technology,4.0,,Posted today,4,02 Apr 2024,,2,02 May 2024,"Roles & Responsibilities
We are looking for aspiring Data Engineer/Software Developer to join our product development team, you will be responsible for the design and implementation of data integration pipeline and asynchronous data event using event driven architecture approach to consolidate data from various sources and systems.

About the Role
· Collaborating with a team of highly skilled Software Engineers and Data Engineers in deploying and delivering software products.
· Actively participating in product enhancement, particularly in the areas of integration and UI, to improve product quality and configurability.
· Taking ownership of the development of key software components.
· Design, develop and maintain scalable data models and schemas using various data modelling best practices.
· Design and develop integration connectors to facilitate data integration from multiple sources and systems, including databases, APIs, log files, streaming platforms, IoT end devices and external data providers.
· Data Transformation and Processing: Develop data transformation routines to clean, normalize, and aggregate data. Apply data processing techniques to handle complex data structures, handle missing or inconsistent data, and prepare the data for analysis or reporting.
· Strong knowledge of data manipulation languages such as SQL necessary to build and maintain complex queries and data pipelines.
· Implement event-driven processing pipelines using frameworks like Solace Pubsub, Apache Kafka, MQTT, AMQP.
· Ensure compliance to data governance policies and standards to ensure data quality, integrity, security and consistency.
· Experience working in a dynamic environment with managing senior stakeholders from different organisations and agencies.

Requirements
· Bachelor's/Master's degree specializing in Computer Science / Engineering / Industrial Engineering or related field. Diploma holders with relevant experience are encouraged to apply.
· Proficiency in at least one object-oriented language; Java skills are highly desirable.
· Deep understanding in designing, implementing data lifecycle management.
· Deep understanding of Event driven architecture, data producers and consumers.
· Knowledge on data analytics pipeline, data lakehouse & warehouse concept. Curate data for exporting to data analytics tools for data processing pipeline to provide business analytics outcomes.
· Experience with relational and non-relational databases
· Familiar with Product Development and Design thinking approach
· Excellent communication, collaboration, and problem-solving skills
· Ability to work independently and as part of a team.
5 day week @ AMK area

Maestro HR
damien lee tian hong
R1106726
16C8462"
HAYS SPECIALIST RECRUITMENT PTE. LTD.,,Data Engineer,Central,Permanent,Executive,Information Technology,,,"$6,000to$8,500",25,01 Apr 2024,"UOB PLAZA, 80 RAFFLES PLACE 048624",3,01 May 2024,"Roles & Responsibilities
My client is a global leader in the supply chain industry and is looking to hire a Data Engineer (Azure) in Singapore.

Job Responsibilities
Experience with Azure data engineering.
Ensure data quality and troubleshooting while maintaining data warehouse.
Develop and manage data pipelines for processing data from data lakes to data warehouse.
Maintain data science tools, ML resources.
Adhere to data analytics policies and execute best practices.
Foster a data-driven culture within the organisation.
Requirements
Degree in relevant studies like Computer Science.
Minimum 3 years’ experience in data engineering.
Familiar with the usage and processes of data warehouses and modelling.
Experience with Azure Cloud environment is a must.
Good communication skills and stakeholder management.
If you're interested in this role

Forward an updated copy of your CV to Lijie Ong at lijie.ong@hays.com.sg.

Hays Registration Number: R22108533, EA License: 07C3924, Company Registration Number: 200609504D.
----"
MTC CONSULTING PTE. LTD.,,Data Solutions Architect (Azure) - 081,Islandwide,Permanent,Professional,Consulting,10.0,,Posted yesterday,10,01 Apr 2024,,12,01 May 2024,
