company_name,recruiter_name,job_title,location,employment_type,job_level,job_function,salary_lower,salary_upper,salary_period,num_applications,posted_date,address,experience,closing_date,job_description
OKRATIN SOLUTIONS PTE. LTD.,,Clinical Nurse,Central,Full Time,Executive,Medical / Therapy Services,8000,15000,Monthly,0,02 Apr 2024,"SGX CENTRE I, 2 SHENTON WAY 068804",5,16 Apr 2024,"Roles & Responsibilities
About:
Okratin is a part of the Deel Solutions offering, specialized in global consulting services. Our experts help our customers execute on global projects and are experienced in various domains, including software development, product management, data science, finance, marketing, business development and more.

Responsibilities:
Responsible for independently providing patient care and education to assigned transport patient populations while ensuring safe and effective transport as described in the Medical Protocols/Patient Care Guidelines. Establish supportive relationships with patients, families, customers, and other members of the health care team through the use of positive interpersonal skills. Provide support for administrative activities and serves as a mentor, resource, preceptor, and role model for the company colleagues.

Deliverables:
Acts as a resource in matters related to nursing care, respiratory care, and/or paramedicine as applicable to their specific scope of practice.
Serves as a leader and resource person for members of the team.
Assists with determining team configurations based on patient report.
Assists with coordination of staffing for transports and scheduling of Medical Team Members.
Assists with recruitment and orientation of new medical team members.
Assists with in-service sessions and educational labs for medical and flight personnel.
Assists with maintaining current and accurate competency records on all medical personnel.
Completes scheduled equipment checks and maintenance when necessary.
Completes scheduled inventory, ordering, and receiving of supplies.
Assists with writing and revising Medical Protocols/Patient Care Guidelines.
Maintains competency files on all contractual medical personnel.
Coordinates follow-up calls on transferred patients and/or guest medical teams.
Serves as a representative for the medical team during operational staff meetings."
OKRATIN SOLUTIONS PTE. LTD.,,Sales Manager,Central,Full Time,Senior Executive,Sales / Retail,5000,15000,Monthly,4,02 Apr 2024,"SGX CENTRE I, 2 SHENTON WAY 068804",5,02 May 2024,"Roles & Responsibilities
About:
Okratin is a part of the Deel Solutions offering, specialized in global consulting services. Our experts help our customers execute on global projects and are experienced in various domains, including software development, product management, data science, finance, marketing, business development and more.

Responsibilities:
Provide support to sales teams by delivering qualified leads, conducting product demonstrations
Conduct thorough research on target accounts and industries to identify key decision-makers and tailor outreach strategies to engage with them effectively.
Collaborate closely with sales and marketing teams to ensure alignment on lead generation strategies, messaging, and goals, and provide feedback on lead quality and conversion rates.
Deliverables:
3-5 years of experience with Bachelor’s Degree in related field
Create interest and buzz for the company offerings amongst a diverse global client base.
Contact potential clients to identify, cultivate, and develop opportunities.
Use strong selling and influencing skills to set up qualified appointments with Account Executives.
Collaborate with team members to share and learn from best practices.
Utilize Salesforce.com to log, track, and maintain customer contact records.
Identify and remove typical buying objections in prospect discussions.
Attend sales meetings, trainings, and trade shows to keep current with technology."
ST ENGINEERING URBAN SOLUTIONS LTD.,Recommended based on your skills & job applications,"Assistant Principal Engineer, Artificial Intelligence, Mobility Road",West,Full Time,Manager,Engineering3 Years Exp,4000,8000,Monthly,6,07 Mar 2024,100 JURONG EAST STREET 21 609602,3,06 Apr 2024,"Roles & Responsibilities
Job Description:
Manage and direct processes and R&D (research and development) to meet the needs of our AI strategy.
Understand company and client challenges and how integrating AI capabilities can help lead to solutions.
Lead cross-functional teams in identifying and prioritizing key areas of a partner’s business where AI solutions can drive significant business benefit.
Manage a team in conducting assessments of the AI and automation market and competitor landscape.
Serve as liaison between stakeholders and project teams, delivering feedback and enabling team members to make necessary changes in product performance or presentation.
Job Requirement:
Minimum Master or PhD degree
Trained in Data Analysis and Artificial Intelligent
Knowledgeable and well verse in the Intelligent Transportation System domain with minimum three years working experience.
Able to lead a team of researcher and/or R&D Engineer for the development of ITS applications.
Experience and proficient in applying AI and Data Analysis for ITS applications - including, but not limited, the following:
- traffic simulation/prediction
- traffic incident detection, response and management
- traffic signal control and optimization
- route guidance
- highway management"
CONSTRUCTOR TECHNOLOGY PTE. LTD.,,HR Generalist,Central,Full Time,Executive,Human Resources,4000,7000,Monthly,4,02 Apr 2024,,5,23 Apr 2024,"Roles & Responsibilities
About Constructor

Constructor is an all-in-one platform for education and research. With expertise in machine intelligence and data science, Constructor is built to cater to the needs of schools, higher education, corporate training, alternative credentials, and professional sports, offering solutions for teaching and administration, learning and research. From infrastructure to applications, Constructor elevates learning experiences, empowers educators, and drives research breakthroughs.

We have offices in Singapore, Switzerland, Germany, Bulgaria, Serbia, and Turkey.

HR team helps Constructor with all possible aspects of the employee lifecycle: hiring, onboarding, education, performance review, offboarding, and communication. We’re looking for an HR Generalist colleague to join our international team.
Duties & Responsibilities:
Engage in the full spectrum of HR activities including but not limited to recruitment, onboarding, probation, work pass applications, performance reviews, off-boarding etc.
The full cycle recruitment in APAC and other regions if necessary
Oversee and manage payroll, employee benefits, leave management
Employ
Manage employees’ Visa applications
Maintain employee files and records in electronic and paper form
Participatiour HR projects (Performance review, Internal Communications, Education etc)
Organize employee engagement activities and initiatives to foster a positive work culture and boost employee morale
Other tasks and duties assigned by management
Qualifications & Experience:
At least 5 years of relevant and acceptable work experience in HR
Proven record of high-volume recruiting experience in-house or agency.
Ability to search using LinkedIn Recruiter and with other methods (Forums, networking, local job boards etc.).
Knowledge of the local labour regulations is a must.
Excellent interpersonal, oral and written communication skills
High level of professionalism, self-motivation and organisation – with attention to details
Ability to balance multiple tasks/roles at once, using sound judgment and prioritizing as necessary to accomplish company goals.
Ability to build relationships and communicate effectively with people with all levels of experience and backgrounds internally and externally.
What do we offer:
Hybrid work and Fleixble working hours
Comprehensive health insurance from the first day of employment.
Flexible working hours and Work-From-Home arrangements
High growth international company
Choice of work equipment (i.e. laptop, monitor, etc)."
QUESS SELECTION & SERVICES PTE. LTD.,,"Data Developer (Python, Kubernetes, API)",Islandwide,Contract,Professional,Information Technology,6500,8000,Monthly,1,02 Apr 2024,,3,16 Apr 2024,"Roles & Responsibilities
Roles & Responsibilities:
Doing statistical analysis and interpreting findings
Need to work on Kubernetes, APIs, Python technologies
Collaborate with data scientists, coders, programmers and other stakeholders
Creating and managing the AI development process and general infrastructure of a product
Automating critical tasks and procedures for a data science team
Creating data transformation infrastructure
Developing AI models communicating the utility of the AI models they generate to a diverse range of employees inside the organisation, including product managers and management executives
Converting machine learning models into APIs with which other apps may interact
Key Requirements:
Master / Bachelor’s degree in computer science, computer engineering, or relevant field.
Experience in Kubernetes, APIs, Python.
A minimum of 3+ years’ experience in a similar role.
Programming & Database: Python (NumPy, Scikit-learn, TensorFlow, PyTorch, FastAPI), PySpark, SQL (SQL Server & PostgreSQL), MongoDB, DynamoDB,DAX, VBA, Machine Learning, Deep Learning
Cloud: AWS EKS, EC2, SageMaker
Deployment: Docker, Kubernetes, Minikube, Gitlab CICD, AWS ECR, EFS, Nginx, MLflow, Airflow
Visualization Tools: Power BI, Tableau
Strong knowledge of Datawarehouse / database / Cloud systems and data mining would be prefered.
Excellent organizational and analytical abilities.
Thanks,

Purva Sholapurkar
EA Licence Number: 23C2060
Registration ID is R22109878

Disclaimer: The company is committed to ensuring the privacy and security of your information. By submitting this form, you consent to the collection, processing, and retention of the information you provide. The data collected (which may include your contact details, educational background, work experience and skills) will be used solely for the purpose of evaluating your qualifications for the position you're applying for. Your data will be stored securely and retained for the duration necessary to fulfill our hiring process. If you are not selected for the position, your data will be kept on file for a limited period in case future opportunities arise. You have the right to access, correct, or delete your data at any time by contacting us at Quess Singapore | A Leading Staffing Services Provider in Singapore (quesscorp.sg)"
INFOSYS LIMITED SINGAPORE BRANCH,,Test Manager,South,Permanent,Manager,Information Technology,8000,12500,Monthly,4,02 Apr 2024,"KEPPEL BAY TOWER, 1 HARBOURFRONT AVENUE 098632",10,02 May 2024,"Roles & Responsibilities
About Infosys:
Infosys is a global leader in next-generation digital services and consulting. We enable clients in 50 countries to navigate their digital transformation. With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.
Visit www.infosys.com to see how Infosys (NYSE: INFY) can help your enterprise navigate your next.
Short Description:
If your passion is to build solutions that really make a difference to enterprises, the community and your world, Infosys is the right place for you.
Roles and Responsibilities:
As a Principal Consultant, you will anchor the enterprise level testing efforts, all the way from maturity assessment of enterprise testing processes, technology landscape, analyze, provide recommendations, and prepare a right strategy in client’s journey towards quality engineering. You will be pivotal to understand the use cases/problems and discovery of the overall testing solution and guide/transition to teams on project processes and deliverables. As a thoughtful and innovative leader, you will be the key advisor in transforming and QA modernization efforts by participating actively in solution architecture, design, development, and testing reviews. You will also anchor business pursuit initiatives, client training and in-house capability building. You will have the opportunity to shape value-adding consulting solutions that enable our clients to meet the changing needs of the global landscape.
Location for this position is in Singapore. This position may require 10% travel.
Skills /Competencies:
• 15+ years’ experience in leading the engagement effort for Medium/ High complexity assignments of Process & Automation led consulting.
• 5+ years’ experience in conducting testing organization assessments, making QE recommendations, and setting up QE organization.
• 5+ years’ experience in leading transformation initiatives across major programs and enterprise QA team.
• Implement, review and guide teams on project processes and deliverables; lead proposal development and anchor large pursuits.
• 2+ years’ experience in new testing offerings like Low code No code tools, AI/ML tools, Meta verse, Sustainability etc
• Contribute to organization branding via thought leadership, client training and in-house capability building.
• Lead and participate in client engagements on one or more of Infosys’s Test Consulting service offerings which includes, Agile DevOps, Program Test Strategy Definition or Technology QA Consulting (Ex: Extreme Automation, Data Services, Test Infrastructure, and tools etc.,).
• Strong Experience in Agile practices and Shift Left practices.
• Should have familiarity with DevOps, CT processes and In-sprint automation.
• Client and business acumen, influencing/negotiating skills with client/product vendors and external stakeholders, cultural affinity.
• Experience in working in onshore/offshore model, agile in adopting customer work culture, mentor & build team.
• Excellent communication & customer interfacing skills
Nice to have
• Consulting anchor who can ensure high quality standards & strive for customer delight.
• Experience in Program management and Stakeholder management
• Experience in cloud full stack development, architecture, design, integration, migration, testing and deploy functions.
• Lead client discussions to improve cloud initiatives and transformations.
• Has knowledge in KPI driven metrics and standards.
• Understand digital disruptive technologies like DevOps, Containers, Microservices, AI/ML, API/Automation, Big Data, Analytics/Data Science, IoT, Blockchain and open-source framework
• IT cloud certifications like CompTIA Cloud+, CCSP, AWS, Microsoft Azure, Google Cloud, CISCO CCNA/CCNP, agile & other test competencies
The job also entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face.
Qualifications
• Bachelor’s degree or foreign equivalent from an accredited institution required.
• At least 15 years of experience with Information Technology in end-to-end test delivery and consulting.
Infosys is an equal opportunity employer and positively encourages applications from suitably qualified and eligible candidates regardless of gender or other attribute covered by equal opportunity legislation. Please note in order to protect the interest of all parties involved in the recruitment process, Infosys does not accept any unsolicited resumes from third party vendors. In the absence of a signed agreement any submission will be deemed as non-binding and Infosys explicitly reserves the right to pursue and hire the submitted profile. All recruitment activity must be coordinated through the Talent Acquisition department.
All aspects of employment at Infosys are based on merit, competence and performance. We are committed to embracing diversity and creating an inclusive environment for all employees. Infosys is proud to be an equal opportunity employer."
NTT DATA SINGAPORE PTE. LTD.,,Data Scientist ( 9 months contract ),Central,Contract,Professional,Information Technology,6000,8000,Monthly,3,02 Apr 2024,"REPUBLIC PLAZA, 9 RAFFLES PLACE 048619",4,02 May 2024,"Roles & Responsibilities
Data Scientist Healthcare Analytics

Location: Singapore

Position Type: 9 months Contract.

Overview:
Leveraging advanced data science and machine learning techniques to revolutionize healthcare analytics. We are seeking a Senior Data Scientist with a strong background in healthcare analytics, computer vision, and machine learning to join our dynamic team. The ideal candidate will have experience in analyzing medical images, developing predictive models, and conducting research in healthcare-related domains.

Key Responsibilities:

Healthcare Data Analysis and Machine Learning:
Lead the development and implementation of machine learning algorithms and models to analyze healthcare data, including medical images, patient records, and clinical data.
Utilize advanced statistical modeling techniques to identify trends, correlations, and insights that contribute to the improvement of healthcare outcomes and patient care.
Computer Vision and Medical Imaging:
Develop and optimize computer vision solutions for the analysis and interpretation of medical images, focusing on cancer classification, image artifact detection, and patient stratification.
Collaborate with cross-functional teams to integrate computer vision technologies into healthcare systems and processes.
Research and Innovation:
Conduct research and development projects to explore innovative solutions and methodologies in healthcare analytics, personalized medicine, and predictive modeling.
Stay abreast of the latest advancements in data science, machine learning, and healthcare technologies to drive innovation and continuous improvement.
Qualifications:
Master's degree or higher in Data Science
Strong background in machine learning, statistical modeling, and data analysis, with hands-on experience in healthcare data and medical imaging.
Proficiency in programming languages such as Python, R, and SQL, as well as machine learning frameworks like TensorFlow, PyTorch, and Scikit-learn.
Experience with computer vision technologies, image processing, and medical image analysis.
Excellent analytical, problem-solving, and communication skills.
Ability to work independently and collaboratively in a fast-paced and multidisciplinary environment.
Preferred Qualifications:
Previous experience in healthcare analytics, medical research, or clinical informatics.
Knowledge of healthcare standards, regulations, and compliance requirements.
Publications or presentations in healthcare analytics, machine learning, or related fields."
SINGAPORE-MIT ALLIANCE FOR RESEARCH AND TECHNOLOGY CENTRE,,Postdoctoral Associate (Data-efficient machine learning)_IRG_M3S_2023_011,South,Contract,Professional,Sciences / Laboratory / R&D,8100,14000,Monthly,,,1 Create Way 138602,1,,"Roles & Responsibilities
Job Description
We are hiring postdoctoral fellows interested in advancing the state of the art in data-efficient machine learning (AutoML, Bayesian optimization, neural architecture search, meta-learning, active learning) at SMART in the new program: Mens, Manus and Machina: How AI empowers people and the city in Singapore (M3S) for a period of 1 year with possible renewal/extension. With the recent emergence of large language models (LLMs), the postdoctoral fellows and research assistants will be investigating how these concepts (as well as important issues imvolving AI privacy, model auditability and updatability) can be applied in the context of LLMs, among others.
Research on topics related to data-efficient machine learning, such as AutoML, Bayesian Optimization, neural architecture search, data valuation, meta-learning, and active learning
Investigate how these concepts as well as important issues involving AI privacy, model audibility, and updatability can be applied in the context of LLMs
Develop, implement, and evaluate experiments to characterise the feasibility and performance of the proposed research ideas
Collaborate with other PhD and undergraduate students to publish research results in top-tier conferences and journals, with focus on venues associated with the above-mentioned areas
The postdoctoral fellows will be jointly advised by Prof. Daniela Rus (MIT CSAIL), Prof. Alex 'Sandy' Pentland (MIT Media Lab), and Assoc. Prof. Bryan Low (NUS School of Computing), and based at SMART (Singapore- MIT Alliance for Research & Technology) in Singapore. The postdoctoral fellows have the opportunity to collaborate with the PhD and undergraduate students in our research groups.

Some preliminary efforts can be found here:
https://transformers.mit.edu/ https://xqlin98.github.io/INSTINCT/ http://arxiv.org/abs/2310.00646

For more information on our research group and interests, visit
https://danielarus.csail.mit.edu/
https://www.media.mit.edu/people/sandy/overview/
https://www.comp.nus.edu.sg/~lowkh/research.html
Requirements
Ph.D. in computer science, computer engineering, machine learning, statistics, math, data science, operations research or other related disciplines.
Good publication record in the premier machine learning and AI conferences and/or journals is preferred.
Strong proficiency in programming.
To apply, please visit our website at: https://portal.smart.mit.edu/careers/career-opportunities
Interested applicants are invited to send in their
detailed CV with academic ranking (if any) and publication list,
a short cover letter describing your suitability for the position,
a concise description of research interests and future plans,
academic transcripts and
list of three references (to include reference names and contact information).
We regret that only shortlisted candidates will be notified."
REMOTE TECH SINGAPORE PTE. LTD.,,"Senior Product Manager, Economic Design",Islandwide,Full Time,Professional,Consulting,15000,18000,Monthly,5,02 Apr 2024,,3,16 Apr 2024,"Roles & Responsibilities
Job Overview:
You will be responsible for defining, creating and delivering several key Economics products from inception to MVP to roll-out in production. Example products include (1) reward schemes for Operators to incentivize high-quality sign-ups, (2) auctions to allocate contracts to Operators in a fair and efficient manner, and (3) surveys to better understand our user population. You will use a highly data-driven approach for your requirements analysis and to evaluate the impact and success of your products. You will do whatever it takes to ensure that the products are correctly implemented, tested, and successfully deployed in practice – this includes hands-on, operational contributions from yourself whenever necessary. Your work will directly impact operations in the field, shaping the mechanisms that are used at a global scale as part of Worldcoin's incentive design.

Responsibilities and Duties:
● Analyze the requirements of Worldcoin’s users and Operators and derive hypotheses for improving the economic design of our products and market operations
● Work closely with your key stakeholders across the Worldcoin organization (in particular Market Operations, Product, Legal, and Engineering) regarding the implementation of new mechanisms
● Take full ownership of your projects, plan them, manage them, execute them, and independently drive them to success
● Collaborate closely with experts on the Economics and Data Science team on the design of new economic mechanisms
● Analyze data yourself and together with data scientists to make data-driven decisions related to your projects

Qualifications:
● Bachelor’s or Master’s degree in a quantitative field like computer science, data science, mathematics, business, economics, or similar, or relevant work experience
● 3+ years of experience in consulting at one of the top consulting firms or a comparable role
● 2+ years of experience working with data (e.g., using SQL, R, Python or similar)
● Outstanding communication and collaboration skills
● Each of the following is a plus: good understanding of economic concepts like gametheory, auctions, etc.; project management experience; experience with statistical methods; basic understanding of blockchain technology"
SPRAOI SOFTWARE SERVICES PTE. LTD.,,Teradata Engineer (Contract),Central,Contract,Professional,Information Technology,9000,12500,Monthly,1,02 Apr 2024,,8,16 Apr 2024,"Roles & Responsibilities
Role:
· Provide technical vision and create roadmaps to align with the long-term technology strategy
· Proficient in building data ingestion pipelines to ingest data from heterogeneous sources like RDBMS, Hadoop, Flat Files, REST APIs, AWS S3
· Key player in Hadoop Data Ingestion team which enables data science community to develop analytical/predictive models and implementing ingestion pipelines using Hadoop Eco-System Tools Flume, Sqoop, Hive, HDFS, Pyspark , Trino and Presto sql.
· Work on governance aspects for the Data Analytics applications such as documentation, design reviews, metadata etc
· Extensively use DataStage, Teradata\Oracle utility scripts and Data stage jobs to perform data transformation/Loading across multiple FSLDM layers
· Review and help streamline the design for big data applications and ensure that the right tools are used for the relevant use cases
· Engage users to achieve concurrence on technology provided solution. Conduct review of solution documents along with Functional Business Analyst and Business Unit for sign-off
· Create technical documents (functional/non-functional specification, design specification, training manual) for the solutions. Review interface design specifications created by development team
· Participate in selection of product/tools via RFP/POC.
· Provide inputs to help with the detailed estimation of projects and change requests
· Execute continuous service improvement and process improvement plans

Responsibilities
· 8 - 10 years of experience with Data Engineering experience in the banking domain including implementation of Data Lake, Data Warehouse, Data Marts, Lake Houses etc
· Experience in data modeling for large scale data warehouses, business marts on Hadoop based databases, Teradata, Oracle etc for a bank
· Expertise in Big Data Ecosystem such as Cloudera (Hive, Impala, Hbase, Ozone, Iceberg), Spark, Presto, Kafka
· Experience in a Metadata tool such as IDMC, Axon, Watson Knowledge Catalog, Collibra etc
· Expertise in designing frameworks using Java, Scala, Python and creation of applications, utilities using these tools
· Expertise in operationalizing machine learning models including optimizing feature pipelines and deployment using batch/API, model monitoring, implementation of feedback loops
· Knowledge of report/dashboards using a reporting tool such as Qliksense, PowerBI
· Expertise in integrating applications with Devops tools
· Knowledge of building applications on MPP appliances such as Teradata, Greenplum, Netezza is a mandatory
· Domain knowledge of the banking industry include subject areas such as Customer, Products, CASA, Cards, Loans, Trade, Treasury, General Ledger, Origination, Channels, Limits, Collaterals, Campaigns etc"
